"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","26-167","PHO","","DAL",-16,0,"20:13",5,9,0.556,1,3,0.333,3,4,0.75,2,5,7,3,0,1,0,3,14,13.8,1,29.8
2,2,"2015-10-30","26-169","PHO","","POR",18,0,"14:36",0,3,0,0,0,NA,1,2,0.5,0,8,8,2,0,0,0,2,1,1.5,5,14
3,3,"2015-10-31","26-170","PHO","@","POR",11,0,"21:54",3,7,0.429,2,3,0.667,0,0,NA,1,7,8,1,0,0,1,2,8,6,-8,20
4,4,"2015-11-02","26-172","PHO","@","LAC",-6,0,"11:32",3,4,0.75,1,2,0.5,0,0,NA,2,1,3,0,1,0,0,1,7,7.7,1,13.3
5,5,"2015-11-04","26-174","PHO","","SAC",21,0,"14:59",2,3,0.667,1,1,1,0,2,0,0,3,3,0,0,0,0,3,5,2.6,9,9.3
6,6,"2015-11-06","26-176","PHO","","DET",-8,0,"13:04",1,4,0.25,1,2,0.5,0,0,NA,2,2,4,1,0,0,2,1,3,0.9,-2,9
7,7,"2015-11-08","26-178","PHO","@","OKC",-21,0,"11:39",3,6,0.5,1,2,0.5,0,0,NA,0,0,0,0,1,0,0,3,7,3.8,5,9.5
8,8,"2015-11-12","26-182","PHO","","LAC",14,0,"24:25",4,13,0.308,1,3,0.333,1,1,1,2,9,11,2,0,1,1,1,10,7.3,5,30.3
9,9,"2015-11-14","26-184","PHO","","DEN",24,1,"18:49",2,6,0.333,1,2,0.5,2,2,1,0,5,5,2,0,0,1,2,7,4.7,13,16.3
10,10,"2015-11-16","26-186","PHO","","LAL",19,1,"21:02",1,5,0.2,1,2,0.5,0,0,NA,0,3,3,1,1,0,1,0,3,1.5,6,10.3
11,11,"2015-11-18","26-188","PHO","","CHI",-6,0,"6:17",0,2,0,0,1,0,1,2,0.5,0,2,2,0,1,0,0,0,1,0.8,-8,5.5
12,12,"2015-11-20","26-190","PHO","@","DEN",7,0,"21:15",1,4,0.25,1,2,0.5,0,0,NA,0,5,5,2,2,0,1,6,3,2.1,19,16.3
13,13,"2015-11-22","26-192","PHO","@","NOP",-6,0,"7:20",1,1,1,1,1,1,0,0,NA,2,2,4,0,0,0,1,1,3,3.3,-1,8
14,14,"2015-11-23","26-193","PHO","@","SAS",-14,0,"11:51",2,3,0.667,0,0,NA,2,2,1,0,4,4,0,1,1,2,2,6,4.8,-6,14
15,15,"2015-11-25","26-195","PHO","","NOP",-6,0,"25:03",9,15,0.6,2,4,0.5,0,0,NA,2,10,12,1,0,0,0,4,20,16.6,6,39
16,16,"2015-11-27","26-197","PHO","","GSW",-19,0,"10:30",0,3,0,0,2,0,0,0,NA,2,3,5,1,2,0,2,2,0,0.1,-5,10.8
17,17,"2015-11-29","26-199","PHO","@","TOR",5,0,"22:41",6,10,0.6,2,4,0.5,2,2,1,0,4,4,2,0,1,0,1,16,14.3,4,27
18,18,"2015-12-01","26-201","PHO","@","BRK",-3,0,"11:44",1,3,0.333,0,1,0,0,0,NA,1,1,2,0,0,0,0,0,2,1.3,6,4.5
19,19,"2015-12-02","26-202","PHO","@","DET",-5,1,"38:36",8,13,0.615,2,3,0.667,2,2,1,1,5,6,5,2,1,0,4,20,20.9,-10,42
20,20,"2015-12-04","26-204","PHO","@","WAS",-3,1,"22:41",6,7,0.857,1,2,0.5,0,1,0,0,2,2,1,0,0,1,0,13,10.4,10,17
