"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-27","30-046","GSW","","NOP",16,0,"21:20",3,6,0.5,0,2,0,0,0,NA,0,3,3,2,0,1,0,1,6,5.6,12,14.8
2,2,"2015-10-30","30-049","GSW","@","HOU",20,0,"19:59",0,3,0,0,0,NA,4,5,0.8,0,1,1,0,0,0,0,0,4,1.8,11,5.3
3,3,"2015-10-31","30-050","GSW","@","NOP",14,0,"21:50",0,3,0,0,0,NA,2,2,1,0,1,1,3,2,0,2,2,2,1.5,4,10.8
4,4,"2015-11-02","30-052","GSW","","MEM",50,0,"10:19",2,2,1,0,0,NA,0,0,NA,0,2,2,2,0,1,0,0,4,6.1,4,11.5
5,5,"2015-11-04","30-054","GSW","","LAC",4,0,"17:19",2,5,0.4,0,0,NA,0,0,NA,1,2,3,3,0,0,2,4,4,1.1,-9,11.3
6,6,"2015-11-06","30-056","GSW","","DEN",15,0,"18:34",1,2,0.5,0,0,NA,0,0,NA,2,2,4,2,0,1,3,2,2,1.3,6,10.5
7,7,"2015-11-07","30-057","GSW","@","SAC",9,0,"18:02",3,5,0.6,0,1,0,0,0,NA,0,1,1,3,1,0,1,2,6,5.3,10,13.3
8,8,"2015-11-09","30-059","GSW","","DET",14,0,"19:21",2,4,0.5,0,0,NA,0,0,NA,1,1,2,2,1,0,1,2,4,3.6,1,11
9,9,"2015-11-11","30-061","GSW","@","MEM",16,0,"22:45",3,3,1,0,0,NA,0,0,NA,0,0,0,2,1,0,0,1,6,7.1,14,11
10,10,"2015-11-12","30-062","GSW","@","MIN",13,0,"22:23",3,5,0.6,0,0,NA,2,2,1,1,0,1,3,0,0,0,4,8,6.9,-12,13.8
11,11,"2015-11-14","30-064","GSW","","BRK",8,0,"29:57",3,8,0.375,0,0,NA,0,0,NA,1,0,1,2,0,0,0,5,6,1.7,17,10.3
