"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","27-210","BRK","","CHI",-15,1,"33:20",10,17,0.588,0,0,NA,6,7,0.857,4,3,7,2,0,1,3,2,26,19.7,-20,38.3
2,2,"2015-10-30","27-212","BRK","@","SAS",-27,1,"31:59",6,11,0.545,0,0,NA,5,6,0.833,0,3,3,4,0,1,2,3,17,12.5,-23,27.8
3,3,"2015-10-31","27-213","BRK","@","MEM",-10,1,"28:18",4,11,0.364,0,0,NA,4,6,0.667,2,8,10,0,0,1,0,3,12,8.4,-2,28
4,4,"2015-11-02","27-215","BRK","","MIL",-7,1,"34:24",6,10,0.6,0,1,0,6,7,0.857,1,8,9,1,0,2,4,5,18,12.2,3,32.8
5,5,"2015-11-04","27-217","BRK","@","ATL",-14,1,"36:00",11,16,0.688,0,0,NA,5,7,0.714,5,6,11,3,0,1,2,1,27,25.1,-6,47.8
6,6,"2015-11-06","27-219","BRK","","LAL",-6,1,"38:40",8,19,0.421,0,1,0,7,7,1,4,6,10,1,0,4,2,3,23,17.8,-4,45.5
7,7,"2015-11-07","27-220","BRK","@","MIL",-8,1,"28:53",9,17,0.529,0,0,NA,2,2,1,1,3,4,1,0,2,4,2,20,10.6,-9,28.5
8,8,"2015-11-11","27-224","BRK","@","HOU",8,1,"35:23",6,17,0.353,0,0,NA,2,3,0.667,5,7,12,0,1,5,1,1,14,12.8,7,42
9,9,"2015-11-13","27-226","BRK","@","SAC",-2,1,"35:44",5,15,0.333,0,0,NA,7,8,0.875,4,6,10,1,0,4,3,5,17,11.2,6,39
10,10,"2015-11-14","27-227","BRK","@","GSW",-8,1,"41:52",8,21,0.381,0,1,0,2,2,1,4,5,9,1,1,3,1,3,18,12.4,0,38.3
11,11,"2015-11-17","27-230","BRK","","ATL",2,1,"35:25",11,21,0.524,0,0,NA,2,4,0.5,2,8,10,1,1,3,1,3,24,18.3,3,47
12,12,"2015-11-18","27-231","BRK","@","CHO",-5,1,"35:12",8,19,0.421,0,0,NA,7,8,0.875,2,3,5,3,0,2,1,5,23,15.3,6,37.3
13,13,"2015-11-20","27-233","BRK","@","BOS",-25,1,"26:54",5,9,0.556,0,0,NA,4,4,1,3,4,7,2,0,0,2,1,14,12,-15,24.8
14,14,"2015-11-22","27-235","BRK","","BOS",10,1,"34:38",10,20,0.5,0,0,NA,3,4,0.75,5,5,10,0,1,0,2,3,23,15.4,3,38
15,15,"2015-11-25","27-238","BRK","@","OKC",-11,1,"33:50",11,23,0.478,0,0,NA,4,4,1,6,2,8,2,2,2,3,3,26,19.7,-9,45.5
16,16,"2015-11-28","27-241","BRK","@","CLE",-2,1,"37:30",10,15,0.667,0,0,NA,2,5,0.4,1,8,9,2,1,2,2,5,22,17.2,5,41.3
17,17,"2015-11-29","27-242","BRK","","DET",4,1,"35:34",6,18,0.333,0,0,NA,3,5,0.6,2,7,9,5,4,6,3,6,15,13.8,-4,52.3
18,18,"2015-12-01","27-244","BRK","","PHO",3,1,"36:50",10,20,0.5,0,0,NA,3,5,0.6,1,5,6,2,0,1,2,3,23,13.3,10,34.5
19,19,"2015-12-04","27-247","BRK","@","NYK",-17,1,"34:31",8,20,0.4,0,0,NA,5,5,1,2,2,4,2,1,2,2,3,21,12.8,-19,34
20,20,"2015-12-06","27-249","BRK","","GSW",-16,1,"27:44",7,14,0.5,0,0,NA,4,4,1,3,5,8,3,1,1,3,3,18,14.2,-15,35
21,21,"2015-12-08","27-251","BRK","","HOU",5,1,"38:41",9,14,0.643,0,0,NA,6,6,1,4,4,8,0,1,5,6,3,24,19.1,5,43
22,22,"2015-12-10","27-253","BRK","","PHI",9,1,"19:03",2,3,0.667,0,0,NA,3,5,0.6,2,5,7,1,0,1,5,5,7,2.2,15,16.8
23,23,"2015-12-12","27-255","BRK","","LAC",-5,1,"31:35",5,11,0.455,0,0,NA,4,4,1,8,4,12,0,1,1,5,2,14,11,-14,32
24,24,"2015-12-14","27-257","BRK","","ORL",-23,1,"32:20",4,15,0.267,0,0,NA,3,4,0.75,2,4,6,0,0,0,1,2,11,2.5,-12,18
25,25,"2015-12-16","27-259","BRK","","MIA",-6,1,"28:09",12,16,0.75,0,0,NA,1,2,0.5,3,3,6,0,0,0,0,4,25,19.6,-3,32.5
26,26,"2015-12-18","27-261","BRK","@","IND",-7,1,"32:35",7,15,0.467,0,0,NA,4,4,1,2,3,5,1,0,1,2,5,18,10,-4,26.8
27,27,"2015-12-20","27-263","BRK","","MIN",-15,1,"39:36",8,11,0.727,0,1,0,4,5,0.8,2,10,12,5,1,2,4,3,20,20.2,-7,48
28,28,"2015-12-21","27-264","BRK","@","CHI",3,1,"35:10",8,18,0.444,0,0,NA,5,6,0.833,3,9,12,2,2,3,3,3,21,17.3,6,49
29,29,"2015-12-23","27-266","BRK","","DAL",-1,1,"35:02",6,15,0.4,0,0,NA,1,3,0.333,2,4,6,2,1,2,0,3,13,9.3,-1,29.5
30,30,"2015-12-26","27-269","BRK","","WAS",-15,1,"30:02",9,16,0.563,0,0,NA,1,3,0.333,6,5,11,3,0,2,1,3,19,17.6,-22,42.3
31,31,"2015-12-28","27-271","BRK","@","MIA",6,1,"35:14",10,24,0.417,0,0,NA,6,7,0.857,5,7,12,0,2,1,2,4,26,17.5,2,47.5
32,32,"2015-12-30","27-273","BRK","@","ORL",-7,1,"39:12",7,18,0.389,0,1,0,10,12,0.833,6,9,15,2,3,5,2,3,24,25,-5,62.3
33,33,"2016-01-02","27-276","BRK","@","BOS",3,1,"38:11",11,24,0.458,0,0,NA,8,8,1,5,8,13,2,1,1,4,4,30,21,17,52.8
34,34,"2016-01-04","27-278","BRK","","BOS",-9,1,"36:58",6,14,0.429,0,0,NA,7,7,1,0,5,5,1,0,1,3,4,19,9.9,-8,27.3
35,35,"2016-01-06","27-280","BRK","","TOR",-17,1,"40:17",11,21,0.524,0,0,NA,2,5,0.4,5,8,13,1,1,3,3,2,24,18.4,-9,49.8
36,36,"2016-01-08","27-282","BRK","","ORL",-6,1,"34:32",6,15,0.4,0,0,NA,5,8,0.625,3,5,8,0,1,1,3,0,17,10,-11,29.5
37,37,"2016-01-09","27-283","BRK","@","DET",-14,1,"30:08",8,11,0.727,0,0,NA,3,3,1,1,6,7,1,0,3,3,4,19,15.2,-3,33.8
38,38,"2016-01-11","27-285","BRK","","SAS",-27,1,"31:53",8,17,0.471,0,0,NA,2,2,1,1,4,5,2,0,2,1,3,18,11.8,-14,30.8
