"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","29-217","TOR","","IND",7,1,"38:58",8,17,0.471,2,4,0.5,5,6,0.833,1,2,3,6,2,0,5,4,23,14.8,8,38.3
2,2,"2015-10-30","29-219","TOR","@","BOS",10,1,"34:14",3,11,0.273,0,1,0,8,10,0.8,1,6,7,9,3,2,3,4,14,15.3,3,44.8
3,3,"2015-11-01","29-221","TOR","","MIL",19,1,"29:18",5,10,0.5,1,5,0.2,4,4,1,2,3,5,7,4,0,1,3,15,19,19,39.8
4,4,"2015-11-03","29-223","TOR","@","DAL",11,1,"36:48",9,15,0.6,4,5,0.8,5,5,1,0,5,5,10,3,2,4,4,27,27.4,25,59.8
5,5,"2015-11-04","29-224","TOR","@","OKC",5,1,"33:51",5,14,0.357,3,8,0.375,4,6,0.667,0,4,4,1,2,0,5,4,17,5.7,3,26.5
6,6,"2015-11-06","29-226","TOR","@","ORL",-5,1,"31:44",6,16,0.375,3,7,0.429,2,3,0.667,1,4,5,3,1,0,3,3,17,8.6,-2,29.8
7,7,"2015-11-08","29-228","TOR","@","MIA",-20,1,"36:52",4,16,0.25,2,8,0.25,5,6,0.833,1,5,6,8,1,0,2,2,15,11,-16,36.5
8,8,"2015-11-10","29-230","TOR","","NYK",-2,1,"36:59",8,18,0.444,2,5,0.4,5,7,0.714,1,5,6,9,3,1,4,5,23,19,9,51
9,9,"2015-11-11","29-231","TOR","@","PHI",16,1,"28:57",6,12,0.5,2,6,0.333,9,10,0.9,0,3,3,8,2,0,2,2,23,22.3,14,42.8
10,10,"2015-11-13","29-233","TOR","","NOP",19,1,"34:38",4,13,0.308,4,8,0.5,8,8,1,0,6,6,5,4,1,2,1,20,20.1,9,46
11,11,"2015-11-15","29-235","TOR","@","SAC",-6,1,"38:55",8,19,0.421,6,12,0.5,0,0,NA,0,2,2,7,4,1,5,3,22,15.9,-5,45.5
12,12,"2015-11-17","29-237","TOR","@","GSW",-5,1,"38:37",7,15,0.467,2,7,0.286,12,12,1,3,3,6,3,2,1,2,6,28,23.7,0,46
13,13,"2015-11-18","29-238","TOR","@","UTA",-4,1,"37:13",6,17,0.353,1,7,0.143,7,7,1,0,3,3,6,3,0,5,2,20,12.8,0,36.8
