"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","19-357","UTA","@","DET",-5,0,"8:14",0,1,0,0,0,NA,0,0,NA,0,1,1,1,0,0,0,0,0,0.3,-15,2.8
2,2,"2015-10-30","19-359","UTA","@","PHI",28,0,"7:33",0,3,0,0,0,NA,0,0,NA,0,2,2,0,0,0,1,2,0,-3.3,3,2
3,3,"2015-10-31","19-360","UTA","@","IND",21,0,"4:31",0,2,0,0,0,NA,2,4,0.5,3,1,4,0,0,0,1,1,2,0.8,2,6.5
4,4,"2015-11-04","19-364","UTA","","POR",-16,0,"9:07",0,2,0,0,1,0,0,0,NA,0,0,0,1,0,0,0,1,0,-1.1,-8,1.5
5,5,"2015-11-05","20-000","UTA","@","DEN",12,0,"7:12",2,5,0.4,0,0,NA,0,0,NA,2,1,3,0,1,0,0,3,4,2.8,1,9.8
6,6,"2015-11-07","20-002","UTA","","MEM",10,0,"1:08",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
7,7,"2015-11-10","20-005","UTA","@","CLE",-4,0,"6:06",1,2,0.5,1,1,1,0,0,NA,2,0,2,0,0,0,1,1,3,2,-6,5.5
8,8,"2015-11-12","20-007","UTA","@","MIA",-1,1,"17:39",1,4,0.25,0,1,0,0,0,NA,1,4,5,0,0,0,1,0,2,0.5,-9,7.8
9,9,"2015-11-13","20-008","UTA","@","ORL",-9,1,"16:44",3,7,0.429,0,2,0,0,0,NA,0,3,3,1,0,1,1,2,6,2.8,3,12.8
12,10,"2015-11-20","20-015","UTA","@","DAL",-9,0,"4:41",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,2,0,-0.8,5,0
13,11,"2015-11-23","20-018","UTA","","OKC",-22,0,"7:11",1,1,1,0,0,NA,0,0,NA,1,3,4,0,0,0,0,0,2,3.3,6,7
14,12,"2015-11-25","20-020","UTA","@","LAC",11,0,"2:31",2,2,1,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,4,3,-1,4
15,13,"2015-11-28","20-023","UTA","","NOP",14,0,"18:16",2,7,0.286,0,1,0,0,0,NA,1,3,4,0,0,1,1,2,4,0.4,-9,10.5
16,14,"2015-11-30","20-025","UTA","","GSW",-3,0,"1:25",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0.3,0,1.3
17,15,"2015-12-03","20-028","UTA","","ORL",-9,0,"10:03",1,2,0.5,0,0,NA,1,2,0.5,0,2,2,0,0,0,1,0,3,1.2,1,5
18,16,"2015-12-05","20-030","UTA","","IND",3,1,"19:51",2,4,0.5,0,0,NA,0,0,NA,2,3,5,1,0,0,0,1,4,4.6,11,11.8
19,17,"2015-12-08","20-033","UTA","@","SAC",-8,1,"17:52",3,5,0.6,1,1,1,0,0,NA,1,2,3,0,0,0,0,2,7,5.2,-12,11.3
20,18,"2015-12-09","20-034","UTA","","NYK",21,1,"29:03",2,7,0.286,0,0,NA,2,2,1,1,9,10,1,0,0,1,4,6,3.4,10,19.5
21,19,"2015-12-11","20-036","UTA","","OKC",-4,1,"23:58",0,4,0,0,1,0,0,0,NA,2,0,2,1,1,1,0,1,0,0.6,-5,8
22,20,"2015-12-13","20-038","UTA","@","OKC",-6,1,"20:28",0,2,0,0,0,NA,0,0,NA,2,5,7,1,0,1,1,4,0,0.3,-10,11.8
23,21,"2015-12-14","20-039","UTA","@","SAS",-37,1,"19:21",1,3,0.333,0,0,NA,0,0,NA,0,2,2,0,0,0,0,3,2,-0.3,-28,4.5
24,22,"2015-12-16","20-041","UTA","","NOP",-10,0,"14:29",1,1,1,0,0,NA,0,0,NA,0,3,3,1,0,0,1,2,2,1.5,-14,6.8
25,23,"2015-12-18","20-043","UTA","","DEN",9,1,"26:06",3,6,0.5,0,0,NA,0,0,NA,1,5,6,1,0,0,1,1,6,4.5,-3,14.5
26,24,"2015-12-21","20-046","UTA","","PHO",21,1,"24:41",2,4,0.5,0,0,NA,2,2,1,1,6,7,1,0,0,0,0,6,7.2,17,16.3
27,25,"2015-12-23","20-048","UTA","@","GSW",-18,1,"14:53",1,2,0.5,0,0,NA,0,0,NA,1,1,2,0,0,0,1,1,2,0.6,1,4
28,26,"2015-12-26","20-051","UTA","","LAC",-5,1,"18:53",1,3,0.333,1,2,0.5,3,4,0.75,2,4,6,2,0,1,1,1,6,7.2,2,18.5
29,27,"2015-12-28","20-053","UTA","","PHI",4,1,"23:19",1,7,0.143,0,2,0,2,2,1,3,4,7,0,0,0,1,1,4,1.4,17,12.3
30,28,"2015-12-30","20-055","UTA","@","MIN",-14,1,"18:11",3,5,0.6,2,2,1,0,0,NA,0,4,4,0,0,0,0,2,8,6.1,-3,14
31,29,"2015-12-31","20-056","UTA","","POR",13,1,"31:53",2,7,0.286,1,2,0.5,0,0,NA,2,6,8,4,1,0,1,3,5,5.7,13,23
32,30,"2016-01-02","20-058","UTA","","MEM",5,1,"18:51",2,2,1,1,1,1,2,2,1,0,3,3,1,0,0,2,0,7,6,-7,11.8
33,31,"2016-01-04","20-060","UTA","","HOU",-2,1,"21:57",6,10,0.6,1,3,0.333,0,0,NA,1,3,4,0,0,0,1,3,13,7.8,4,18
34,32,"2016-01-06","20-062","UTA","@","SAS",-25,1,"29:52",3,6,0.5,0,0,NA,0,0,NA,0,4,4,2,0,0,0,1,6,5.2,-18,14
35,33,"2016-01-07","20-063","UTA","@","HOU",-9,1,"33:42",4,11,0.364,0,1,0,1,4,0.25,1,8,9,3,2,2,4,4,9,4.7,-15,30.8
36,34,"2016-01-09","20-065","UTA","","MIA",15,1,"32:29",1,5,0.2,1,2,0.5,0,0,NA,0,10,10,0,3,0,1,1,3,4.5,17,21.5
37,35,"2016-01-10","20-066","UTA","@","LAL",12,1,"26:04",0,1,0,0,0,NA,0,0,NA,0,9,9,2,0,0,0,1,0,3,0,14.3
38,36,"2016-01-13","20-069","UTA","@","POR",-14,1,"25:46",6,7,0.857,2,2,1,2,4,0.5,1,1,2,0,0,0,0,2,16,12.9,-9,19.5
39,37,"2016-01-14","20-070","UTA","","SAC",-2,1,"38:55",8,13,0.615,1,3,0.333,2,4,0.5,1,2,3,2,2,0,1,2,19,15.2,-2,29.8
40,38,"2016-01-16","20-072","UTA","","LAL",27,1,"30:28",6,10,0.6,2,4,0.5,3,4,0.75,2,7,9,2,0,1,2,1,17,15.2,35,33.3
41,39,"2016-01-18","20-074","UTA","@","CHO",-5,1,"26:48",2,7,0.286,1,2,0.5,0,0,NA,3,5,8,2,0,2,1,1,5,5.9,0,22
42,40,"2016-01-20","20-076","UTA","@","NYK",-7,1,"27:17",4,7,0.571,3,4,0.75,2,4,0.5,3,1,4,1,1,1,4,4,13,8.1,0,23
43,41,"2016-01-22","20-078","UTA","@","BRK",22,1,"24:11",4,9,0.444,1,2,0.5,1,2,0.5,2,3,5,0,1,0,3,0,10,5.2,10,17.3
44,42,"2016-01-25","20-081","UTA","","DET",-3,1,"16:28",1,6,0.167,0,2,0,0,0,NA,0,3,3,0,0,0,1,2,2,-2.7,4,5.3
45,43,"2016-01-27","20-083","UTA","","CHO",29,1,"18:50",0,4,0,0,2,0,0,0,NA,0,3,3,0,0,0,1,2,0,-3.7,-3,3.3
46,44,"2016-01-29","20-085","UTA","","MIN",13,0,"4:18",0,1,0,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,0,0,-7,1.5
47,45,"2016-02-01","20-088","UTA","","CHI",9,0,"11:39",1,1,1,0,0,NA,0,0,NA,0,3,3,1,0,0,0,2,2,2.5,-2,7.3
48,46,"2016-02-03","20-090","UTA","","DEN",4,0,"9:46",3,4,0.75,0,0,NA,1,1,1,0,3,3,0,0,0,0,2,7,5.5,5,10.8
