"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
6,1,"2015-11-04","25-196","ATL","","BRK",14,0,"7:45",0,2,0,0,0,NA,0,0,NA,0,2,2,0,0,0,2,1,0,-3.2,0,1.5
11,2,"2015-11-13","25-205","ATL","@","BOS",-13,0,"0:34",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
12,3,"2015-11-15","25-207","ATL","","UTA",-1,0,"14:30",3,7,0.429,0,1,0,1,1,1,0,0,0,2,2,0,2,1,7,4.3,-11,13
13,4,"2015-11-17","25-209","ATL","@","BRK",-2,0,"18:43",3,8,0.375,2,4,0.5,0,0,NA,0,2,2,2,2,0,0,1,8,7.2,4,18.5
14,5,"2015-11-18","25-210","ATL","","SAC",6,0,"15:32",2,6,0.333,0,3,0,2,2,1,0,4,4,5,1,0,1,0,6,7.3,3,20
15,6,"2015-11-21","25-213","ATL","@","CLE",-12,0,"5:57",2,3,0.667,0,0,NA,0,0,NA,0,0,0,2,0,0,0,0,4,4.1,6,7
16,7,"2015-11-24","25-216","ATL","","BOS",24,0,"3:11",1,2,0.5,0,0,NA,0,0,NA,0,1,1,1,0,0,0,0,2,2,0,4.8
19,8,"2015-11-28","25-220","ATL","@","SAS",-20,0,"8:16",1,2,0.5,0,0,NA,0,0,NA,1,1,2,5,0,0,0,0,2,5.5,6,12
25,9,"2015-12-12","25-234","ATL","","SAS",-25,0,"7:09",2,4,0.5,0,2,0,0,0,NA,0,0,0,1,0,0,0,0,4,2.7,-3,5.5
27,10,"2015-12-16","25-238","ATL","","PHI",21,0,"7:59",4,6,0.667,0,1,0,0,0,NA,0,0,0,1,1,0,1,0,8,6.1,-2,11
32,11,"2015-12-26","25-248","ATL","","NYK",19,0,"2:24",1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2,1.7,-1,2
34,12,"2015-12-29","25-251","ATL","@","HOU",6,0,"14:26",2,9,0.222,0,5,0,1,1,1,0,0,0,3,0,0,1,1,5,0.2,-17,9
35,13,"2016-01-03","25-256","ATL","@","NYK",-14,0,"18:26",5,10,0.5,0,1,0,0,0,NA,1,0,1,5,1,0,3,1,10,6.8,-2,19.3
37,14,"2016-01-07","25-260","ATL","@","PHI",28,0,"7:21",3,5,0.6,2,3,0.667,0,0,NA,0,1,1,2,0,0,0,1,8,7,-2,13.3
38,15,"2016-01-09","25-262","ATL","","CHI",15,0,"2:38",0,2,0,0,1,0,0,0,NA,0,0,0,0,0,0,1,0,0,-2.4,-2,-0.5
39,16,"2016-01-13","25-266","ATL","@","CHO",-23,0,"9:18",3,6,0.5,0,1,0,2,3,0.667,0,3,3,3,0,0,1,0,8,6.6,2,15.8
41,17,"2016-01-16","25-269","ATL","","BRK",28,0,"5:46",2,3,0.667,0,0,NA,2,4,0.5,0,0,0,1,0,0,0,0,6,4.6,2,7.5
42,18,"2016-01-18","25-271","ATL","","ORL",17,0,"6:21",0,2,0,0,0,NA,0,0,NA,0,2,2,1,0,0,0,0,0,-0.1,-5,4
46,19,"2016-01-25","25-278","ATL","@","DEN",14,0,"3:32",0,2,0,0,1,0,0,0,NA,0,0,0,1,0,0,0,0,0,-0.7,-8,1.5
