"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
2,1,"2015-10-30","27-076","SAS","","BRK",27,0,"4:37",2,5,0.4,0,0,NA,2,2,1,3,2,5,1,0,0,2,0,6,4.7,4,12.8
4,2,"2015-11-02","27-079","SAS","@","NYK",10,0,"1:22",0,0,NA,0,0,NA,1,2,0.5,0,0,0,0,0,0,0,0,1,0.6,-3,1
6,3,"2015-11-07","27-084","SAS","","CHO",20,0,"3:48",1,2,0.5,0,0,NA,0,0,NA,1,0,1,0,0,0,0,3,2,0.5,-3,3.3
7,4,"2015-11-09","27-086","SAS","@","SAC",18,0,"3:28",1,2,0.5,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2,1,-2,2
9,5,"2015-11-14","27-091","SAS","","PHI",9,0,"0:20",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0.3,1,1.3
12,6,"2015-11-20","27-097","SAS","@","NOP",-14,0,"2:59",1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,1,1,2,0.3,-2,1.5
14,7,"2015-11-23","27-100","SAS","","PHO",14,0,"4:55",1,1,1,0,0,NA,0,2,0,1,0,1,0,0,1,1,1,2,0.9,-1,4.8
16,8,"2015-11-27","27-104","SAS","@","DEN",11,1,"6:15",0,0,NA,0,0,NA,2,2,1,2,2,4,1,0,0,0,2,2,3.9,-5,8.5
17,9,"2015-11-28","27-105","SAS","","ATL",20,0,"6:16",0,2,0,0,0,NA,1,2,0.5,1,1,2,0,0,0,0,0,1,0.2,-8,3.5
20,10,"2015-12-03","27-110","SAS","@","MEM",20,0,"3:45",0,1,0,0,0,NA,0,0,NA,0,1,1,0,0,0,0,1,0,-0.8,1,1.3
22,11,"2015-12-07","27-114","SAS","@","PHI",51,0,"17:13",8,10,0.8,0,0,NA,2,2,1,2,2,4,1,2,0,2,4,18,15.3,10,27.5
24,12,"2015-12-11","27-118","SAS","","LAL",22,0,"5:29",3,4,0.75,0,0,NA,0,1,0,1,2,3,0,0,0,0,1,6,4.9,1,9.8
27,13,"2015-12-16","27-123","SAS","","WAS",19,0,"15:00",2,4,0.5,0,0,NA,3,4,0.75,2,4,6,0,0,2,1,1,7,7.2,17,18
29,14,"2015-12-21","27-128","SAS","","IND",14,0,"1:57",1,1,1,0,0,NA,0,0,NA,0,2,2,0,0,1,0,0,2,3,-2,6.5
