"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
24,1,"2015-12-11","24-114","PHI","","DET",-12,1,"16:22",2,4,0.5,1,1,1,0,0,NA,0,1,1,6,0,0,1,0,5,6.5,-8,15.3
25,2,"2015-12-13","24-116","PHI","@","TOR",-20,0,"20:07",1,3,0.333,0,1,0,0,0,NA,1,2,3,5,1,0,3,0,2,3.1,-1,13.8
27,3,"2015-12-16","24-119","PHI","@","ATL",-21,1,"15:22",3,6,0.5,1,3,0.333,0,0,NA,0,0,0,4,0,0,4,0,7,2.8,-6,11.5
28,4,"2015-12-18","24-121","PHI","","NYK",-10,1,"15:44",1,4,0.25,0,2,0,0,0,NA,0,1,1,3,2,0,2,1,2,1.6,-13,10.8
29,5,"2015-12-20","24-123","PHI","@","CLE",-22,1,"17:59",3,7,0.429,0,2,0,2,2,1,0,2,2,4,0,0,3,1,8,4.3,-18,15
31,6,"2015-12-23","24-126","PHI","@","MIL",-13,1,"24:08",2,4,0.5,1,1,1,0,2,0,0,0,0,7,0,0,6,2,5,0.3,-5,13
32,7,"2015-12-26","24-129","PHI","@","PHO",7,0,"14:34",1,7,0.143,1,4,0.25,2,2,1,0,3,3,3,0,0,1,2,5,1.7,18,13.3
33,8,"2015-12-28","24-131","PHI","@","UTA",-4,0,"4:07",1,2,0.5,0,0,NA,0,0,NA,0,0,0,0,0,0,1,1,2,-0.4,-7,1.5
36,9,"2016-01-02","24-136","PHI","@","LAC",-31,0,"17:12",1,7,0.143,1,5,0.2,0,0,NA,0,0,0,3,0,0,2,0,3,-1.4,-8,7
38,10,"2016-01-07","24-141","PHI","","ATL",-28,0,"11:24",0,3,0,0,0,NA,0,0,NA,0,0,0,2,0,0,0,0,0,-0.7,-3,3
42,11,"2016-01-16","24-150","PHI","","POR",25,0,"7:45",2,3,0.667,1,1,1,0,0,NA,0,2,2,0,0,0,2,0,5,2.3,-4,7
45,12,"2016-01-24","24-158","PHI","","BOS",-20,0,"7:44",1,3,0.333,0,1,0,0,0,NA,0,1,1,2,3,0,0,1,2,4.6,3,12.3
49,13,"2016-02-03","24-168","PHI","","ATL",-38,0,"7:45",0,3,0,0,2,0,0,0,NA,0,0,0,3,0,0,1,1,0,-1.4,-7,4
51,14,"2016-02-06","24-171","PHI","","BRK",5,0,"19:52",2,5,0.4,0,0,NA,0,0,NA,0,0,0,3,1,0,5,3,4,-1.8,-1,8
54,15,"2016-02-19","24-184","PHI","@","NOP",-7,0,"10:49",3,3,1,2,2,1,1,2,0.5,0,0,0,3,1,0,0,2,9,10,3,16.5
55,16,"2016-02-21","24-186","PHI","@","DAL",-26,0,"6:17",1,2,0.5,1,1,1,0,0,NA,0,1,1,2,1,0,1,2,3,2.9,-1,9.3
56,17,"2016-02-23","24-188","PHI","","ORL",-9,0,"4:13",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,0,-1,-4,-0.5
57,18,"2016-02-24","24-189","PHI","@","DET",-20,0,"21:45",4,8,0.5,1,3,0.333,3,4,0.75,0,1,1,4,0,0,2,2,12,7.9,-1,18.8
66,19,"2016-03-12","24-206","PHI","","DET",-14,0,"14:13",3,5,0.6,1,3,0.333,0,0,NA,0,1,1,3,0,0,0,1,7,6.7,5,13.3
67,20,"2016-03-15","24-209","PHI","@","BRK",-17,0,"19:19",2,3,0.667,0,0,NA,0,0,NA,0,1,1,2,0,1,2,3,4,1.9,-9,9.3
68,21,"2016-03-17","24-211","PHI","","WAS",-5,0,"9:22",1,4,0.25,0,1,0,1,1,1,0,1,1,1,4,0,1,2,3,3.8,10,13.3
70,22,"2016-03-20","24-214","PHI","","BOS",-15,0,"10:37",1,3,0.333,0,1,0,0,0,NA,0,0,0,1,0,0,0,0,2,1,-5,3.5
73,23,"2016-03-26","24-220","PHI","@","POR",-3,0,"9:16",0,2,0,0,2,0,0,0,NA,0,0,0,2,0,0,1,0,0,-1,4,2.5
74,24,"2016-03-27","24-221","PHI","@","GSW",-12,0,"9:04",0,3,0,0,1,0,0,0,NA,0,0,0,0,0,0,1,0,0,-3.1,-12,-0.5
75,25,"2016-03-29","24-223","PHI","","CHO",-15,0,"11:51",1,2,0.5,0,1,0,0,0,NA,0,2,2,2,1,1,1,1,2,3.3,2,11
76,26,"2016-04-01","24-226","PHI","@","CHO",-9,0,"8:05",0,2,0,0,1,0,0,0,NA,0,1,1,0,0,0,0,0,0,-1.1,2,1.3
77,27,"2016-04-02","24-227","PHI","","IND",-13,0,"5:46",1,4,0.25,1,1,1,0,0,NA,0,0,0,0,0,0,0,1,3,0.2,-14,3.5
79,28,"2016-04-08","24-233","PHI","","NYK",-7,0,"7:52",1,3,0.333,0,2,0,0,0,NA,0,0,0,0,1,0,0,2,2,0.5,-18,4
81,29,"2016-04-12","24-237","PHI","@","TOR",-24,0,"14:24",1,5,0.2,1,3,0.333,0,0,NA,0,4,4,3,0,0,1,0,3,2.2,-15,12.5
82,30,"2016-04-13","24-238","PHI","@","CHI",-10,1,"36:41",4,8,0.5,3,4,0.75,0,0,NA,1,2,3,5,1,0,1,2,11,11,-1,25.3
