"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
12,1,"2015-11-19","28-014","MIL","@","CLE",-15,0,"14:09",1,2,0.5,1,2,0.5,0,0,NA,0,1,1,1,2,0,0,2,3,4.2,-14,10.3
13,2,"2015-11-21","28-016","MIL","@","IND",-37,0,"22:23",4,8,0.5,2,5,0.4,0,0,NA,0,2,2,1,0,0,2,2,10,4.5,-23,14
14,3,"2015-11-23","28-018","MIL","","DET",21,0,"19:12",2,3,0.667,2,3,0.667,0,0,NA,0,3,3,2,2,0,0,4,6,7.4,8,17.8
15,4,"2015-11-25","28-020","MIL","","SAC",-11,0,"29:22",5,15,0.333,2,12,0.167,0,0,NA,0,3,3,2,0,0,0,1,12,5.4,-8,19.8
16,5,"2015-11-27","28-022","MIL","@","ORL",-24,0,"25:19",1,6,0.167,0,4,0,3,3,1,1,3,4,4,0,0,2,4,5,2,-4,15
17,6,"2015-11-29","28-024","MIL","@","CHO",-5,1,"44:16",5,13,0.385,2,8,0.25,0,2,0,1,3,4,5,2,0,1,4,12,8.6,-2,29
18,7,"2015-11-30","28-025","MIL","","DEN",18,1,"30:57",3,8,0.375,2,5,0.4,1,1,1,0,4,4,1,2,0,2,4,9,4.9,23,19.5
19,8,"2015-12-02","28-027","MIL","@","SAS",-25,1,"24:03",1,6,0.167,0,1,0,0,0,NA,1,5,6,3,1,0,3,2,2,-0.3,-22,14.5
20,9,"2015-12-04","28-029","MIL","@","DET",-7,1,"33:43",5,13,0.385,0,4,0,3,3,1,0,5,5,4,1,0,2,6,13,6.8,-11,26.3
21,10,"2015-12-05","28-030","MIL","","NYK",15,1,"35:09",8,12,0.667,1,1,1,0,0,NA,0,3,3,5,1,0,1,4,17,14.6,17,30.3
22,11,"2015-12-07","28-032","MIL","","POR",2,1,"36:25",5,13,0.385,3,7,0.429,2,2,1,0,1,1,2,3,0,1,5,15,9.6,11,26.3
23,12,"2015-12-09","28-034","MIL","","LAC",-14,1,"36:05",7,15,0.467,0,3,0,0,0,NA,0,4,4,8,2,0,3,5,14,10.1,-13,33.5
24,13,"2015-12-11","28-036","MIL","@","TOR",-7,1,"34:39",4,13,0.308,1,4,0.25,0,0,NA,1,2,3,4,3,1,3,1,9,5.9,3,25.8
25,14,"2015-12-12","28-037","MIL","","GSW",13,1,"28:33",6,13,0.462,4,8,0.5,2,2,1,0,1,1,1,1,0,2,2,18,10.5,6,23.8
26,15,"2015-12-15","28-040","MIL","@","LAL",-18,1,"27:05",3,11,0.273,2,5,0.4,1,2,0.5,0,1,1,2,2,0,3,4,9,1.2,-9,16.8
27,16,"2015-12-16","28-041","MIL","@","LAC",-13,1,"38:20",7,18,0.389,3,9,0.333,0,0,NA,1,3,4,6,3,0,1,5,17,13,1,38
28,17,"2015-12-18","28-043","MIL","@","GSW",-9,0,"21:55",3,11,0.273,0,6,0,6,6,1,2,1,3,4,0,0,2,4,12,6.4,-4,20.8
29,18,"2015-12-20","28-045","MIL","@","PHO",6,1,"41:02",5,11,0.455,1,5,0.2,1,4,0.25,0,5,5,5,2,1,2,2,12,10,9,31.3
30,19,"2015-12-23","28-048","MIL","","PHI",13,0,"22:26",2,7,0.286,0,2,0,0,0,NA,0,1,1,4,0,0,4,0,4,-1,1,9.3
31,20,"2015-12-26","28-051","MIL","","TOR",-21,0,"21:56",1,7,0.143,0,2,0,4,4,1,0,1,1,4,0,1,2,2,6,2.5,-5,14.3
32,21,"2015-12-28","28-053","MIL","@","DAL",-10,0,"31:22",5,8,0.625,3,5,0.6,0,0,NA,0,4,4,0,1,0,1,2,13,9.8,3,21
