"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
2,1,"2015-10-30","24-140","SAS","","BRK",27,0,"5:50",1,1,1,0,0,NA,0,0,NA,0,0,0,0,2,0,1,1,2,2.3,5,5.5
4,2,"2015-11-02","24-143","SAS","@","NYK",10,0,"1:22",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,-3,0
6,3,"2015-11-07","24-148","SAS","","CHO",20,0,"3:51",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,1,0,-0.1,-4,1.3
7,4,"2015-11-09","24-150","SAS","@","SAC",18,0,"3:28",0,1,0,0,0,NA,0,0,NA,0,0,0,1,0,0,1,0,0,-1,-2,1
8,5,"2015-11-11","24-152","SAS","@","POR",12,0,"0:55",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,2,0
9,6,"2015-11-14","24-155","SAS","","PHI",9,0,"13:18",4,5,0.8,0,0,NA,0,0,NA,0,3,3,0,0,0,1,0,8,6,-13,11.3
12,7,"2015-11-20","24-161","SAS","@","NOP",-14,0,"6:35",0,1,0,0,0,NA,0,0,NA,0,2,2,0,0,0,0,1,0,-0.5,-3,2.5
13,8,"2015-11-21","24-162","SAS","","MEM",10,0,"0:09",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
14,9,"2015-11-23","24-164","SAS","","PHO",14,0,"1:28",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-3,0
16,10,"2015-11-27","24-168","SAS","@","DEN",11,0,"6:15",0,2,0,0,1,0,0,0,NA,0,1,1,1,0,0,0,0,0,-0.4,-3,2.8
22,11,"2015-12-07","24-178","SAS","@","PHI",51,0,"24:31",1,2,0.5,0,1,0,4,4,1,0,5,5,3,0,0,1,0,6,7.6,23,16.3
24,12,"2015-12-11","24-182","SAS","","LAL",22,1,"23:28",2,8,0.25,1,2,0.5,0,0,NA,1,2,3,5,0,2,1,3,5,4.2,9,20.3
32,13,"2015-12-26","24-197","SAS","","DEN",15,0,"1:14",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-4,0
34,14,"2015-12-30","24-201","SAS","","PHO",33,0,"8:17",1,2,0.5,0,0,NA,0,0,NA,0,0,0,3,0,0,1,0,2,2.1,5,6
36,15,"2016-01-04","24-206","SAS","@","MIL",25,0,"17:12",1,2,0.5,0,1,0,0,0,NA,0,1,1,4,0,0,0,0,2,4.1,6,9.3
37,16,"2016-01-06","24-208","SAS","","UTA",25,0,"24:55",4,7,0.571,0,1,0,2,2,1,0,0,0,3,2,1,1,3,10,9.3,12,20
43,17,"2016-01-21","24-223","SAS","@","PHO",28,1,"28:42",5,10,0.5,1,3,0.333,0,0,NA,2,2,4,3,0,0,0,2,11,9.3,15,21
44,18,"2016-01-22","24-224","SAS","@","LAL",13,0,"7:29",0,2,0,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,0,-2.4,-12,-0.5
