"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
53,1,"2016-02-08","21-003","BRK","","DEN",1,0,"10:49",1,3,0.333,0,0,NA,0,0,NA,1,1,2,0,1,1,1,3,2,0.8,-2,8
54,2,"2016-02-10","21-005","BRK","","MEM",-19,0,"13:59",2,5,0.4,1,3,0.333,0,0,NA,0,1,1,0,0,0,2,3,5,-0.6,-5,5.8
55,3,"2016-02-19","21-014","BRK","","NYK",11,0,"6:04",1,3,0.333,0,0,NA,0,0,NA,0,0,0,0,1,0,0,0,2,1.3,0,4
56,4,"2016-02-21","21-016","BRK","","CHO",-8,0,"9:50",1,4,0.25,0,1,0,0,0,NA,1,0,1,0,0,0,0,0,2,0.3,-2,3.3
58,5,"2016-02-25","21-020","BRK","@","PHO",10,0,"9:11",1,3,0.333,0,0,NA,2,2,1,0,1,1,0,2,0,0,2,4,3.8,-2,9.3
60,6,"2016-02-29","21-024","BRK","@","LAC",-10,0,"10:13",0,2,0,0,1,0,0,0,NA,0,1,1,0,2,0,1,2,0,-0.9,-2,4.8
62,7,"2016-03-04","21-028","BRK","@","DEN",1,0,"12:22",3,3,1,0,0,NA,0,0,NA,0,1,1,0,0,2,0,2,6,6,2,11.3
63,8,"2016-03-05","21-029","BRK","@","MIN",-14,0,"15:51",1,2,0.5,0,1,0,0,0,NA,2,3,5,1,0,0,0,2,2,3.2,3,9.8
65,9,"2016-03-11","21-035","BRK","@","PHI",-6,0,"8:06",0,2,0,0,0,NA,0,0,NA,1,0,1,0,0,1,0,1,0,-0.4,-5,3.3
66,10,"2016-03-13","21-037","BRK","","MIL",-9,0,"11:25",1,1,1,1,1,1,1,2,0.5,0,0,0,0,0,2,0,2,4,3.9,3,8.5
67,11,"2016-03-15","21-039","BRK","","PHI",17,0,"6:37",0,1,0,0,0,NA,1,2,0.5,0,1,1,0,1,0,0,2,1,0.4,1,4.3
68,12,"2016-03-17","21-041","BRK","@","CHI",-16,0,"15:13",2,4,0.5,1,1,1,0,0,NA,2,1,3,1,1,0,0,2,5,5.6,-22,12.8
71,13,"2016-03-24","21-048","BRK","","CLE",9,0,"17:09",2,6,0.333,1,2,0.5,0,0,NA,3,3,6,1,2,0,0,2,5,6.5,6,18.5
72,14,"2016-03-26","21-050","BRK","","IND",10,0,"12:50",0,4,0,0,0,NA,0,0,NA,0,3,3,0,1,0,0,1,0,-1.3,-2,5.8
73,15,"2016-03-28","21-052","BRK","@","MIA",-11,0,"17:05",2,6,0.333,1,2,0.5,0,0,NA,1,2,3,0,1,0,2,0,5,1.9,-9,10.3
74,16,"2016-03-29","21-053","BRK","@","ORL",-34,0,"16:21",2,3,0.667,1,2,0.5,0,0,NA,0,1,1,1,1,1,1,3,5,4.2,-13,11.8
75,17,"2016-03-31","21-055","BRK","@","CLE",-20,0,"20:11",3,6,0.5,0,1,0,1,2,0.5,2,4,6,1,2,1,1,4,7,7,4,21.5
76,18,"2016-04-01","21-056","BRK","@","NYK",-14,0,"20:47",2,7,0.286,1,4,0.25,0,0,NA,1,7,8,0,0,0,2,1,5,1.3,-2,14.5
77,19,"2016-04-03","21-058","BRK","","NOP",-19,0,"21:03",2,9,0.222,0,3,0,2,2,1,3,2,5,0,0,0,1,2,6,1.4,-20,11.8
78,20,"2016-04-06","21-061","BRK","@","WAS",-18,0,"24:33",3,6,0.5,1,2,0.5,3,4,0.75,0,3,3,1,5,1,0,2,10,13.1,-7,27.8
79,21,"2016-04-08","21-063","BRK","@","CHO",-14,1,"24:31",5,9,0.556,2,3,0.667,0,2,0,0,3,3,1,3,0,1,1,12,10.1,-5,23.8
80,22,"2016-04-10","21-065","BRK","@","IND",-24,1,"12:43",2,4,0.5,2,2,1,0,2,0,2,1,3,1,1,0,1,0,6,5.6,-22,13.8
81,23,"2016-04-11","21-066","BRK","","WAS",-9,1,"23:46",5,9,0.556,1,2,0.5,1,5,0.2,4,1,5,0,1,2,1,2,12,9.8,-17,24.3
82,24,"2016-04-13","21-068","BRK","","TOR",-7,1,"21:44",3,7,0.429,0,3,0,0,0,NA,2,3,5,1,3,1,1,0,6,8,-1,21.3
