"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","22-259","SAC","","LAC",-7,1,"20:04",2,5,0.4,1,2,0.5,0,0,NA,0,0,0,0,1,0,0,4,5,1.7,-14,7.5
2,2,"2015-10-30","22-261","SAC","","LAL",18,1,"24:59",2,8,0.25,1,3,0.333,2,2,1,1,2,3,1,0,0,1,4,7,1.6,25,12.3
3,3,"2015-10-31","22-262","SAC","@","LAC",-5,1,"10:25",1,3,0.333,0,0,NA,1,1,1,0,1,1,0,0,0,0,1,3,1.2,-9,4.3
4,4,"2015-11-03","22-265","SAC","","MEM",-14,1,"20:27",1,5,0.2,0,2,0,0,0,NA,0,2,2,2,0,0,2,3,2,-2.3,-12,6.5
5,5,"2015-11-04","22-266","SAC","@","PHO",-21,0,"14:29",4,6,0.667,1,1,1,0,0,NA,0,2,2,1,0,0,3,4,9,3.1,-2,12
6,6,"2015-11-06","22-268","SAC","","HOU",-6,0,"22:38",3,8,0.375,1,5,0.2,4,6,0.667,0,4,4,4,3,0,3,2,11,9,12,27
7,7,"2015-11-07","22-269","SAC","","GSW",-9,0,"16:24",1,4,0.25,0,1,0,0,1,0,1,0,1,0,1,0,4,2,2,-3.9,2,3.3
8,8,"2015-11-09","22-271","SAC","","SAS",-18,0,"12:55",2,6,0.333,1,3,0.333,2,2,1,1,0,1,0,0,0,0,0,7,4.3,-10,8.8
9,9,"2015-11-11","22-273","SAC","","DET",9,0,"2:57",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-0.4,3,0
10,10,"2015-11-13","22-275","SAC","","BRK",2,0,"24:57",5,8,0.625,3,4,0.75,2,2,1,1,0,1,3,1,0,1,2,15,13.4,2,23.8
11,11,"2015-11-15","22-277","SAC","","TOR",6,1,"25:22",3,6,0.5,2,4,0.5,0,0,NA,1,3,4,1,1,0,0,1,8,7.9,10,17.5
12,12,"2015-11-18","22-280","SAC","@","ATL",-6,1,"17:55",4,8,0.5,3,3,1,0,0,NA,1,0,1,0,1,0,0,0,11,8.7,-6,15.8
13,13,"2015-11-19","22-281","SAC","@","MIA",-7,1,"32:11",7,12,0.583,3,4,0.75,0,1,0,0,1,1,3,0,0,4,1,17,9,-2,22.3
14,14,"2015-11-21","22-283","SAC","@","ORL",6,1,"25:10",3,12,0.25,0,3,0,2,2,1,1,2,3,2,0,0,4,3,8,-1.7,-7,12.8
15,15,"2015-11-23","22-285","SAC","@","CHO",-5,1,"19:23",4,6,0.667,0,2,0,2,2,1,0,1,1,1,1,1,2,5,10,6.1,10,15.8
16,16,"2015-11-25","22-287","SAC","@","MIL",11,1,"27:14",2,5,0.4,0,1,0,4,4,1,0,4,4,1,3,0,3,4,8,5.6,4,19
17,17,"2015-11-27","22-289","SAC","","MIN",-10,1,"26:05",3,9,0.333,0,2,0,0,0,NA,0,2,2,0,2,0,2,0,6,1.5,0,11.5
18,18,"2015-11-28","22-290","SAC","@","GSW",-19,1,"27:25",3,7,0.429,2,3,0.667,2,3,0.667,0,3,3,5,3,1,2,0,10,12,-6,29.3
19,19,"2015-11-30","22-292","SAC","","DAL",14,1,"17:33",2,6,0.333,0,2,0,0,0,NA,0,2,2,0,0,0,0,0,4,1.2,7,6.5
20,20,"2015-12-03","22-295","SAC","","BOS",-17,1,"24:45",3,6,0.5,0,2,0,5,6,0.833,1,3,4,1,0,0,0,4,11,8.3,-13,17.5
21,21,"2015-12-05","22-297","SAC","@","HOU",-7,1,"41:33",8,14,0.571,3,5,0.6,0,0,NA,2,7,9,2,3,1,1,3,19,18.8,8,42.3
22,22,"2015-12-06","22-298","SAC","@","OKC",-3,1,"19:48",1,2,0.5,0,0,NA,0,0,NA,0,1,1,0,0,0,1,2,2,-0.5,-8,2.8
23,23,"2015-12-08","22-300","SAC","","UTA",8,1,"26:16",4,6,0.667,2,4,0.5,0,0,NA,2,0,2,2,2,0,1,2,10,10.4,10,20
24,24,"2015-12-10","22-302","SAC","","NYK",2,1,"23:32",2,5,0.4,1,2,0.5,2,2,1,0,2,2,0,1,0,0,0,7,5.9,8,12
25,25,"2015-12-15","22-307","SAC","","HOU",10,1,"23:42",3,4,0.75,0,0,NA,2,3,0.667,0,0,0,2,2,0,3,3,8,5.2,4,13.5
26,26,"2015-12-18","22-310","SAC","@","MIN",-4,1,"20:35",3,5,0.6,0,1,0,0,1,0,0,0,0,1,2,0,1,3,6,3.8,-14,11
27,27,"2015-12-20","22-312","SAC","@","TOR",10,1,"19:06",5,7,0.714,2,4,0.5,0,1,0,1,2,3,0,0,1,1,3,12,8.5,22,18.3
28,28,"2015-12-21","22-313","SAC","@","WAS",-14,1,"24:29",3,6,0.5,1,1,1,2,2,1,2,4,6,0,1,0,1,0,9,8.6,-6,18.5
29,29,"2015-12-23","22-315","SAC","@","IND",2,1,"12:48",1,4,0.25,0,2,0,0,0,NA,0,2,2,0,0,0,0,1,2,-0.2,-10,4.5
30,30,"2015-12-27","22-319","SAC","","POR",-4,1,"19:11",1,1,1,1,1,1,2,2,1,0,2,2,0,0,0,2,1,5,2.9,3,7
31,31,"2015-12-28","22-320","SAC","@","GSW",-19,1,"21:02",1,5,0.2,0,3,0,1,2,0.5,1,2,3,0,0,0,1,3,3,-1.4,-18,6.3
32,32,"2015-12-30","22-322","SAC","","PHI",-5,1,"18:42",3,4,0.75,2,3,0.667,1,2,0.5,0,1,1,1,0,0,2,2,9,5.2,-10,11.8
33,33,"2016-01-02","22-325","SAC","","PHO",23,1,"22:07",0,3,0,0,2,0,3,4,0.75,0,1,1,3,0,0,4,1,3,-1.5,-6,6.8
34,34,"2016-01-04","22-327","SAC","@","OKC",12,1,"7:19",1,2,0.5,1,1,1,0,0,NA,0,0,0,0,0,0,1,0,3,1,-13,3
35,35,"2016-01-05","22-328","SAC","@","DAL",-1,1,"18:58",2,5,0.4,0,2,0,0,0,NA,0,1,1,3,1,0,1,2,4,2.9,-3,11.3
36,36,"2016-01-07","22-330","SAC","","LAL",3,1,"24:51",7,15,0.467,1,5,0.2,1,3,0.333,2,2,4,1,1,0,3,1,16,7.8,8,23.5
37,37,"2016-01-09","22-332","SAC","","GSW",-12,1,"27:16",2,4,0.5,0,2,0,2,3,0.667,0,2,2,4,1,0,2,3,6,4.8,-6,15.5
