"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2016-01-29","24-307","PHO","@","NYK",-18,0,"25:06",4,9,0.444,1,2,0.5,3,4,0.75,0,2,2,4,1,0,2,2,12,8.5,2,NA
2,2,"2016-01-31","24-309","PHO","@","DAL",-13,0,"13:10",1,3,0.333,0,2,0,2,2,1,1,0,1,1,0,0,3,0,4,0.7,8,5.3
3,3,"2016-02-02","24-311","PHO","","TOR",-7,0,"1:38",0,1,0,0,1,0,2,2,1,0,0,0,0,0,0,0,0,2,1.3,-2,2
4,4,"2016-02-04","24-313","PHO","","HOU",-6,0,"15:10",3,5,0.6,1,2,0.5,1,1,1,0,2,2,1,1,0,0,1,8,7.6,4,14.5
5,5,"2016-02-06","24-315","PHO","","UTA",-9,0,"10:10",1,3,0.333,0,2,0,1,2,0.5,0,1,1,1,0,0,0,1,3,1.5,-10,5.8
6,6,"2016-02-08","24-317","PHO","","OKC",-16,0,"2:39",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
8,7,"2016-02-19","24-328","PHO","","HOU",-16,0,"14:35",2,5,0.4,1,2,0.5,3,4,0.75,1,1,2,3,1,0,1,3,8,6.8,11,NA
9,8,"2016-02-28","24-337","CLE","@","WAS",-14,0,"6:59",2,4,0.5,1,2,0.5,3,3,1,0,1,1,0,0,0,0,0,8,6.3,15,NA
11,9,"2016-03-04","24-342","CLE","","WAS",25,0,"5:50",2,4,0.5,1,2,0.5,0,0,NA,0,0,0,0,0,0,1,1,5,1.6,-2,5
12,10,"2016-03-05","24-343","CLE","","BOS",17,0,"1:26",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,2,0
15,11,"2016-03-10","24-348","CLE","@","LAL",12,0,"1:25",1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2,1.7,0,2
16,12,"2016-03-13","24-351","CLE","@","LAC",24,0,"3:17",0,1,0,0,0,NA,0,0,NA,0,1,1,1,0,1,0,1,0,0.6,1,4.8
20,13,"2016-03-19","24-357","CLE","@","MIA",-21,0,"15:48",0,3,0,0,0,NA,1,2,0.5,0,3,3,2,0,0,2,1,1,-1.6,8,6.8
21,14,"2016-03-21","24-359","CLE","","DEN",33,0,"5:18",1,1,1,1,1,1,0,0,NA,0,0,0,2,0,0,1,0,3,3.1,5,6
22,15,"2016-03-23","24-361","CLE","","MIL",9,0,"0:12",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-2,0
23,16,"2016-03-24","24-362","CLE","@","BRK",-9,0,"0:23",1,1,1,1,1,1,0,0,NA,0,0,0,0,0,0,0,0,3,2.7,3,3.5
24,17,"2016-03-26","24-364","CLE","@","NYK",14,0,"1:14",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,0,0
26,18,"2016-03-31","25-003","CLE","","BRK",20,0,"6:44",0,3,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,2,0,-2.9,-7,0
29,19,"2016-04-05","25-008","CLE","@","MIL",29,0,"5:41",1,1,1,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,2,2.4,1,3.5
30,20,"2016-04-06","25-009","CLE","@","IND",-14,0,"5:08",0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,0,0.7,4,1.5
32,21,"2016-04-11","25-014","CLE","","ATL",15,0,"6:58",1,3,0.333,0,0,NA,0,0,NA,1,2,3,1,0,0,0,0,2,2.3,0,7.3
33,22,"2016-04-13","25-016","CLE","","DET",-2,1,"47:06",14,29,0.483,3,5,0.6,5,8,0.625,1,3,4,7,0,0,5,5,36,19.6,3,50.5
