"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","28-242","MIA","","CHO",10,0,"13:28",0,0,NA,0,0,NA,0,0,NA,0,3,3,2,0,0,0,1,0,1.9,5,6.8
2,2,"2015-10-30","28-244","MIA","@","CLE",-10,0,"13:22",1,2,0.5,0,1,0,0,0,NA,1,1,2,1,0,0,1,2,2,0.9,-17,5.5
3,3,"2015-11-01","28-246","MIA","","HOU",20,0,"5:11",0,0,NA,0,0,NA,0,0,NA,0,2,2,0,0,0,2,0,0,-1.4,-10,1.5
4,4,"2015-11-03","28-248","MIA","","ATL",-6,0,"10:24",0,2,0,0,2,0,0,0,NA,0,2,2,1,0,0,0,5,0,-2.1,-6,4
5,5,"2015-11-05","28-250","MIA","@","MIN",12,0,"17:10",0,1,0,0,0,NA,0,0,NA,0,2,2,2,0,0,0,1,0,0.9,0,5.5
6,6,"2015-11-06","28-251","MIA","@","IND",-3,0,"16:38",3,4,0.75,2,3,0.667,0,0,NA,0,2,2,5,0,0,2,1,8,8.1,14,18
7,7,"2015-11-08","28-253","MIA","","TOR",20,0,"19:26",2,7,0.286,0,2,0,1,2,0.5,3,0,3,3,3,0,1,1,5,6.3,19,18.8
8,8,"2015-11-10","28-255","MIA","","LAL",13,0,"18:23",2,5,0.4,0,1,0,0,0,NA,2,2,4,3,1,0,2,1,4,4,0,14.5
9,9,"2015-11-12","28-257","MIA","","UTA",1,0,"18:14",0,3,0,0,1,0,4,4,1,1,3,4,0,0,0,0,3,4,2.3,14,9
10,10,"2015-11-17","28-262","MIA","","MIN",-12,0,"11:37",0,1,0,0,0,NA,0,0,NA,0,3,3,1,0,0,3,3,0,-3.3,-18,3.8
11,11,"2015-11-19","28-264","MIA","","SAC",7,0,"16:31",0,1,0,0,0,NA,0,2,0,3,1,4,2,2,0,0,2,0,3.5,9,12
12,12,"2015-11-21","28-266","MIA","","PHI",5,0,"13:43",1,3,0.333,0,1,0,1,2,0.5,0,2,2,1,1,1,0,1,3,3.5,-7,11
13,13,"2015-11-23","28-268","MIA","","NYK",17,0,"19:22",0,3,0,0,2,0,2,2,1,3,6,9,2,0,0,0,2,2,4.4,18,16.3
14,14,"2015-11-25","28-270","MIA","@","DET",-23,0,"13:16",1,6,0.167,1,5,0.2,0,0,NA,0,1,1,1,0,0,1,1,3,-1.2,-13,5.8
15,15,"2015-11-27","28-272","MIA","@","NYK",19,0,"23:53",1,1,1,0,0,NA,0,1,0,0,4,4,3,0,0,1,2,2,2.8,14,11
16,16,"2015-11-30","28-275","MIA","","BOS",-10,0,"23:59",2,3,0.667,0,0,NA,2,2,1,1,1,2,2,0,1,1,4,6,5.2,-7,13
17,17,"2015-12-03","28-278","MIA","","OKC",2,0,"18:53",5,7,0.714,0,2,0,2,2,1,1,2,3,4,1,1,1,0,12,13.9,6,25.3
18,18,"2015-12-05","28-280","MIA","","CLE",15,0,"19:05",2,3,0.667,0,0,NA,2,2,1,0,4,4,2,1,0,1,1,6,6.9,8,15.5
19,19,"2015-12-07","28-282","MIA","","WAS",-11,0,"14:33",4,7,0.571,0,2,0,1,3,0.333,0,2,2,1,1,0,1,1,9,5.8,-7,14.5
20,20,"2015-12-09","28-284","MIA","@","CHO",-18,0,"3:35",0,1,0,0,0,NA,0,0,NA,0,1,1,0,0,0,0,1,0,-0.8,-7,1.3
47,21,"2016-01-29","28-335","MIA","@","MIL",4,0,"16:08",1,3,0.333,0,0,NA,0,0,NA,0,1,1,2,1,1,2,3,2,0.5,8,9.3
48,22,"2016-01-31","28-337","MIA","","ATL",18,0,"17:43",1,3,0.333,0,1,0,4,4,1,0,2,2,1,0,0,2,2,6,2.8,0,9
49,23,"2016-02-02","28-339","MIA","@","HOU",-13,0,"3:15",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-1.1,-5,0
50,24,"2016-02-03","28-340","MIA","@","DAL",3,0,"9:31",1,3,0.333,0,1,0,0,0,NA,0,3,3,0,0,0,0,0,2,1.2,4,5.8
53,25,"2016-02-09","28-346","MIA","","SAS",-18,0,"10:47",1,2,0.5,0,0,NA,0,0,NA,0,3,3,2,2,1,0,2,2,5.2,-2,14.8
54,26,"2016-02-19","28-356","MIA","@","ATL",4,0,"29:49",8,13,0.615,3,5,0.6,0,0,NA,2,4,6,10,0,0,1,1,19,21.3,1,44
55,27,"2016-02-20","28-357","MIA","","WAS",20,0,"19:10",1,6,0.167,0,1,0,1,2,0.5,0,3,3,3,0,0,0,2,3,1,19,11.3
56,28,"2016-02-22","28-359","MIA","","IND",8,0,"21:52",4,8,0.5,1,3,0.333,1,3,0.333,0,6,6,3,2,0,2,3,10,7.9,-2,25.5
