"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","29-135","DAL","@","PHO",16,0,"2:13",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0.3,-9,1.3
2,2,"2015-10-29","29-136","DAL","@","LAC",-16,0,"7:13",0,1,0,0,0,NA,0,0,NA,1,2,3,0,1,1,0,1,0,1.9,13,7.8
4,3,"2015-11-03","29-141","DAL","","TOR",-11,0,"0:42",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,2,0
7,4,"2015-11-10","29-148","DAL","@","NOP",-15,0,"9:34",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,1,1,0,0,0,9,2.8
8,5,"2015-11-11","29-149","DAL","","LAC",10,0,"0:00",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,2,0,-0.8,-1,0
40,6,"2016-01-13","29-212","DAL","@","OKC",-19,0,"25:03",7,8,0.875,0,0,NA,3,5,0.6,2,7,9,1,0,1,2,3,17,15.1,-3,30.8
45,7,"2016-01-22","29-221","DAL","","OKC",-3,0,"7:59",1,1,1,0,0,NA,3,4,0.75,0,1,1,0,0,2,0,0,5,6,12,10.3
46,8,"2016-01-24","29-223","DAL","@","HOU",-11,1,"29:18",4,6,0.667,0,0,NA,2,2,1,6,5,11,0,0,3,3,5,10,10.2,-22,29.8
47,9,"2016-01-26","29-225","DAL","@","LAL",2,1,"22:56",4,5,0.8,0,0,NA,1,2,0.5,1,3,4,1,0,0,1,2,9,7.2,4,15
48,10,"2016-01-27","29-226","DAL","@","GSW",-20,1,"13:50",1,2,0.5,0,0,NA,0,0,NA,1,2,3,0,0,0,1,1,2,0.9,-7,5.3
49,11,"2016-01-29","29-228","DAL","","BRK",12,0,"9:26",2,3,0.667,0,0,NA,3,4,0.75,3,0,3,0,0,0,0,2,7,6.6,1,10.8
50,12,"2016-01-31","29-230","DAL","","PHO",13,0,"3:38",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,-3,0
53,13,"2016-02-05","29-235","DAL","","SAS",-26,0,"13:51",1,3,0.333,0,0,NA,1,2,0.5,0,3,3,0,1,0,0,2,3,2,-19,8.8
54,14,"2016-02-06","29-236","DAL","@","MEM",4,0,"4:18",0,0,NA,0,0,NA,0,0,NA,0,2,2,0,0,0,1,0,0,-0.4,0,2
56,15,"2016-02-19","29-249","DAL","@","ORL",-6,0,"4:40",0,0,NA,0,0,NA,0,0,NA,1,1,2,0,0,0,0,1,0,0.6,-5,2.5
57,16,"2016-02-21","29-251","DAL","","PHI",26,0,"14:28",2,4,0.5,0,0,NA,0,0,NA,4,2,6,0,1,1,0,3,4,5.9,17,15.5
58,17,"2016-02-24","29-254","DAL","","OKC",-13,0,"9:19",1,3,0.333,0,1,0,0,0,NA,2,4,6,0,0,4,0,0,2,5.7,-2,17.5
59,18,"2016-02-26","29-256","DAL","","DEN",6,0,"2:07",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,0,-1,-5,-0.5
60,19,"2016-02-28","29-258","DAL","","MIN",27,0,"5:48",1,1,1,0,0,NA,0,0,NA,0,1,1,0,0,1,0,2,2,1.9,-1,5.3
61,20,"2016-03-01","29-260","DAL","","ORL",13,0,"3:35",1,1,1,0,0,NA,1,2,0.5,1,0,1,0,0,0,0,1,3,2.6,-8,4.3
63,21,"2016-03-06","29-265","DAL","@","DEN",-2,0,"1:12",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-0.4,-3,0
64,22,"2016-03-07","29-266","DAL","","LAC",-19,0,"5:54",2,3,0.667,0,0,NA,0,0,NA,1,5,6,0,0,1,0,0,4,5.6,11,13.5
69,23,"2016-03-18","29-277","DAL","","GSW",-18,0,"1:06",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-2,0
70,24,"2016-03-20","29-279","DAL","","POR",12,0,"32:39",4,6,0.667,0,0,NA,5,9,0.556,3,11,14,1,1,6,2,5,13,16.1,30,46.5
71,25,"2016-03-23","29-282","DAL","@","POR",-6,1,"29:50",6,12,0.5,0,0,NA,2,2,1,3,9,12,1,1,3,4,2,14,11.8,4,38
72,26,"2016-03-25","29-284","DAL","@","GSW",-8,1,"15:58",0,1,0,0,0,NA,1,2,0.5,2,1,3,1,1,2,2,2,1,1.9,-13,11.3
73,27,"2016-03-27","29-286","DAL","@","SAC",-22,1,"7:01",1,1,1,0,0,NA,0,2,0,0,2,2,1,0,1,0,3,2,1.7,1,8
76,28,"2016-04-01","29-291","DAL","@","DET",9,0,"24:18",3,3,1,0,0,NA,0,0,NA,3,4,7,1,1,2,2,3,6,8.3,12,21.3
77,29,"2016-04-03","29-293","DAL","@","MIN",10,0,"19:22",0,1,0,0,0,NA,0,0,NA,3,2,5,0,0,2,0,2,0,2.6,-1,10.3
78,30,"2016-04-06","29-296","DAL","","HOU",2,0,"15:52",2,2,1,0,0,NA,0,0,NA,3,2,5,1,0,3,1,2,4,7.1,9,17.3
79,31,"2016-04-08","29-298","DAL","","MEM",10,0,"13:12",3,3,1,0,0,NA,3,4,0.75,0,3,3,0,0,1,0,1,9,8.9,12,14.8
