"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","24-077","MIL","","NYK",-25,1,"35:19",4,15,0.267,3,6,0.5,0,0,NA,1,1,2,0,0,0,2,4,11,-0.5,-12,14
2,2,"2015-10-30","24-079","MIL","","WAS",-5,1,"38:53",6,14,0.429,1,4,0.25,5,6,0.833,0,3,3,5,1,0,1,4,18,13,1,31.3
3,3,"2015-11-01","24-081","MIL","@","TOR",-19,1,"29:13",3,10,0.3,0,2,0,2,2,1,0,2,2,0,0,0,2,5,8,-1.2,-11,9.5
4,4,"2015-11-02","24-082","MIL","@","BRK",7,1,"38:57",6,12,0.5,2,5,0.4,3,4,0.75,1,4,5,3,1,1,0,2,17,15.5,-2,32.8
5,5,"2015-11-04","24-084","MIL","","PHI",4,1,"35:38",7,20,0.35,3,7,0.429,4,4,1,1,2,3,3,1,0,1,2,21,12.4,7,32.3
6,6,"2015-11-06","24-086","MIL","@","NYK",7,1,"38:15",3,9,0.333,1,3,0.333,6,6,1,0,5,5,2,1,0,2,5,13,7.8,14,23.8
7,7,"2015-11-07","24-087","MIL","","BRK",8,1,"33:23",4,6,0.667,3,3,1,3,5,0.6,0,9,9,7,1,0,1,2,14,17.4,11,38.8
8,8,"2015-11-10","24-090","MIL","","BOS",-16,1,"37:14",3,12,0.25,2,6,0.333,5,5,1,0,2,2,2,0,1,1,1,13,7.1,-1,21
9,9,"2015-11-11","24-091","MIL","@","DEN",-1,1,"42:26",5,13,0.385,3,5,0.6,0,0,NA,0,1,1,2,4,0,2,2,13,8.8,5,25.8
10,10,"2015-11-14","24-094","MIL","","CLE",3,1,"41:48",4,13,0.308,1,2,0.5,2,2,1,0,4,4,1,3,0,1,4,11,5.8,6,23.5
11,11,"2015-11-17","24-097","MIL","@","WAS",-29,1,"27:19",6,12,0.5,2,6,0.333,0,0,NA,0,2,2,0,1,0,1,4,14,7,-16,19
12,12,"2015-11-19","24-099","MIL","@","CLE",-15,1,"31:58",4,10,0.4,0,1,0,7,7,1,0,1,1,4,1,0,2,6,15,9.3,5,23.3
13,13,"2015-11-21","24-101","MIL","@","IND",-37,1,"27:37",3,11,0.273,1,4,0.25,1,2,0.5,0,2,2,1,2,1,1,1,8,3.7,-13,18
14,14,"2015-11-23","24-103","MIL","","DET",21,1,"22:35",5,7,0.714,2,2,1,4,5,0.8,0,3,3,4,1,0,1,2,16,15.6,10,28.3
15,15,"2015-11-25","24-105","MIL","","SAC",-11,1,"24:15",8,15,0.533,5,8,0.625,0,1,0,1,1,2,6,1,0,1,5,21,16.5,-7,36.5
