"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","28-193","IND","@","TOR",-7,1,"35:40",6,14,0.429,4,8,0.5,2,2,1,1,0,1,1,3,0,3,3,18,10.8,-6,27.3
2,2,"2015-10-29","28-194","IND","","MEM",-9,0,"20:46",6,8,0.75,4,6,0.667,2,3,0.667,0,1,1,2,1,0,2,3,18,13.9,1,25.3
3,3,"2015-10-31","28-196","IND","","UTA",-21,1,"26:22",1,9,0.111,0,6,0,3,4,0.75,0,2,2,2,2,1,1,2,5,1.6,-9,16
4,4,"2015-11-03","28-199","IND","@","DET",12,1,"29:48",2,9,0.222,2,5,0.4,2,2,1,1,2,3,1,2,0,2,1,8,4.1,3,17.3
8,5,"2015-11-09","28-205","IND","","ORL",13,1,"26:48",3,8,0.375,2,6,0.333,1,2,0.5,0,2,2,0,2,0,2,2,9,4,11,15.5
9,6,"2015-11-11","28-207","IND","@","BOS",11,1,"29:06",6,10,0.6,1,4,0.25,4,4,1,1,4,5,1,2,0,4,4,17,11.4,2,27.3
10,7,"2015-11-13","28-209","IND","","MIN",4,1,"20:37",3,10,0.3,1,6,0.167,1,2,0.5,0,0,0,1,0,2,2,0,8,1.9,-14,13
11,8,"2015-11-16","28-212","IND","@","CHI",-1,1,"27:04",6,12,0.5,5,8,0.625,2,3,0.667,0,2,2,0,1,0,0,2,19,13.4,7,26
12,9,"2015-11-18","28-214","IND","@","PHI",27,1,"30:01",7,12,0.583,4,7,0.571,2,2,1,1,1,2,4,1,0,1,2,20,17.4,29,32
13,10,"2015-11-21","28-217","IND","","MIL",37,1,"24:30",7,16,0.438,3,9,0.333,4,5,0.8,0,1,1,1,3,0,1,3,21,14,11,30.8
14,11,"2015-11-24","28-220","IND","@","WAS",17,1,"32:49",10,16,0.625,8,9,0.889,4,4,1,0,3,3,3,1,0,2,1,32,26.4,27,45.3
15,12,"2015-11-27","28-223","IND","","CHI",12,1,"31:58",6,12,0.5,3,8,0.375,1,1,1,0,3,3,1,0,0,0,4,16,10,0,22.8
16,13,"2015-11-29","28-225","IND","@","LAL",4,1,"30:20",3,13,0.231,2,9,0.222,1,2,0.5,1,2,3,2,0,1,0,3,9,2.9,12,18.8
17,14,"2015-12-02","28-228","IND","@","LAC",12,0,"24:25",3,9,0.333,2,7,0.286,2,3,0.667,0,3,3,2,0,0,1,5,10,3.8,8,17.3
18,15,"2015-12-03","28-229","IND","@","POR",-12,1,"31:57",9,14,0.643,8,11,0.727,1,2,0.5,0,6,6,0,1,1,2,3,27,20.7,-1,41.5
19,16,"2015-12-05","28-231","IND","@","UTA",-3,1,"34:38",2,10,0.2,1,6,0.167,7,8,0.875,1,2,3,0,0,0,0,3,12,5.5,-2,16.3
20,17,"2015-12-08","28-234","IND","","GSW",-8,1,"34:12",8,15,0.533,5,11,0.455,3,3,1,1,3,4,1,0,0,1,3,24,16.8,-10,32.5
21,18,"2015-12-11","28-237","IND","","MIA",13,0,"34:09",5,18,0.278,1,10,0.1,1,2,0.5,2,6,8,2,0,2,0,2,12,6.2,9,29.5
22,19,"2015-12-12","28-238","IND","@","DET",-22,1,"23:44",3,7,0.429,1,2,0.5,0,0,NA,0,1,1,0,1,0,0,2,7,3.8,-25,10.8
23,20,"2015-12-14","28-240","IND","","TOR",16,1,"22:33",6,7,0.857,5,5,1,0,0,NA,0,4,4,0,1,1,0,2,17,16.6,-11,28.5
24,21,"2015-12-16","28-242","IND","","DAL",26,0,"28:41",7,13,0.538,3,9,0.333,3,5,0.6,1,6,7,2,1,0,1,3,20,15.6,13,34.8
25,22,"2015-12-18","28-244","IND","","BRK",7,1,"26:33",4,12,0.333,2,8,0.25,5,5,1,1,2,3,1,1,2,1,3,15,10.4,3,26.8
26,23,"2015-12-19","28-245","IND","@","MEM",-12,1,"24:20",0,9,0,0,5,0,0,0,NA,1,2,3,0,0,0,3,2,0,-8.8,-17,2.3
27,24,"2015-12-21","28-247","IND","@","SAS",-14,0,"17:51",4,9,0.444,1,5,0.2,0,0,NA,0,2,2,1,0,0,1,3,9,3.4,-15,13
28,25,"2015-12-23","28-249","IND","","SAC",-2,1,"30:52",7,15,0.467,4,9,0.444,2,4,0.5,1,2,3,3,1,1,0,1,20,16.2,10,34.3
29,26,"2015-12-26","28-252","IND","@","MIN",14,1,"17:00",2,8,0.25,1,6,0.167,1,2,0.5,0,0,0,0,1,0,0,2,6,1,-9,8.5
32,27,"2015-12-31","28-257","IND","","MIL",-4,1,"29:30",7,16,0.438,5,10,0.5,0,0,NA,0,5,5,1,1,0,3,2,19,10,-8,29.8
33,28,"2016-01-02","28-259","IND","","DET",12,0,"25:38",3,8,0.375,1,5,0.2,1,2,0.5,0,0,0,0,1,2,1,1,8,4.2,-2,14
34,29,"2016-01-04","28-261","IND","@","MIA",-3,1,"7:14",2,5,0.4,2,5,0.4,1,1,1,0,1,1,0,1,0,1,1,7,4.2,4,10.8
35,30,"2016-01-06","28-263","IND","@","ORL",9,0,"22:26",1,10,0.1,1,6,0.167,0,0,NA,0,1,1,0,2,0,1,3,3,-3.5,-10,8.3
36,31,"2016-01-08","28-265","IND","@","NOP",5,0,"28:20",6,12,0.5,3,8,0.375,0,0,NA,0,7,7,0,1,1,0,2,15,12,-5,29.3
