"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","27-078","SAS","@","OKC",-6,0,"22:11",3,7,0.429,2,3,0.667,1,2,0.5,0,3,3,2,0,0,0,3,9,6,-4,16.8
2,2,"2015-10-30","27-080","SAS","","BRK",27,0,"18:24",4,6,0.667,3,5,0.6,0,0,NA,1,2,3,3,0,0,0,0,11,11.8,-1,20.8
3,3,"2015-11-01","27-082","SAS","@","BOS",8,0,"20:35",3,3,1,2,2,1,0,0,NA,0,1,1,1,0,0,2,1,8,5.7,14,10.8
4,4,"2015-11-02","27-083","SAS","@","NYK",10,0,"25:09",2,6,0.333,1,3,0.333,0,0,NA,0,2,2,2,2,0,1,1,5,4.2,2,14.5
5,5,"2015-11-04","27-085","SAS","@","WAS",-3,0,"21:20",2,4,0.5,0,2,0,0,0,NA,0,1,1,1,0,0,2,3,4,-0.2,14,5.8
6,6,"2015-11-07","27-088","SAS","","CHO",20,0,"18:44",6,9,0.667,3,6,0.5,0,0,NA,0,2,2,4,2,0,1,3,15,14.3,39,28.5
7,7,"2015-11-09","27-090","SAS","@","SAC",18,0,"23:03",4,11,0.364,1,5,0.2,0,0,NA,1,0,1,8,4,0,1,0,9,12.2,11,30.3
8,8,"2015-11-11","27-092","SAS","@","POR",12,0,"18:18",3,3,1,1,1,1,0,0,NA,0,1,1,1,0,0,1,0,7,6.1,14,9.8
9,9,"2015-11-14","27-095","SAS","","PHI",9,0,"21:23",2,11,0.182,1,6,0.167,0,0,NA,0,1,1,1,3,0,1,0,5,1.1,4,13.8
10,10,"2015-11-16","27-097","SAS","","POR",13,0,"21:24",2,8,0.25,0,2,0,0,0,NA,1,2,3,3,1,0,1,0,4,2.6,5,13.8
11,11,"2015-11-18","27-099","SAS","","DEN",11,0,"25:09",7,15,0.467,3,6,0.5,0,0,NA,0,6,6,3,1,1,1,0,17,13.9,-8,34
12,12,"2015-11-20","27-101","SAS","@","NOP",-14,0,"21:58",4,9,0.444,3,5,0.6,0,0,NA,0,1,1,3,2,1,3,1,11,8,-19,22.8
13,13,"2015-11-21","27-102","SAS","","MEM",10,0,"20:06",1,4,0.25,1,4,0.25,0,0,NA,1,1,2,1,0,0,1,2,3,0.5,7,7
14,14,"2015-11-23","27-104","SAS","","PHO",14,0,"28:18",4,8,0.5,2,5,0.4,0,0,NA,0,0,0,1,3,0,2,2,10,6.9,8,17.5
15,15,"2015-11-25","27-106","SAS","","DAL",5,0,"16:52",1,7,0.143,1,5,0.2,0,0,NA,0,2,2,0,2,0,0,2,3,0.3,-7,10
16,16,"2015-11-27","27-108","SAS","@","DEN",11,0,"21:15",4,7,0.571,1,4,0.25,0,0,NA,0,3,3,1,1,0,2,3,9,5.1,10,15.8
17,17,"2015-11-28","27-109","SAS","","ATL",20,0,"19:41",5,6,0.833,3,4,0.75,0,0,NA,0,1,1,1,1,0,0,3,13,11.6,9,19.3
18,18,"2015-11-30","27-111","SAS","@","CHI",-3,0,"16:41",2,8,0.25,0,2,0,0,0,NA,0,0,0,1,0,0,0,0,4,-0.1,-12,5.5
19,19,"2015-12-02","27-113","SAS","","MIL",25,0,"22:28",5,11,0.455,3,6,0.5,0,0,NA,0,3,3,3,0,0,0,0,13,10.3,8,22.8
20,20,"2015-12-03","27-114","SAS","@","MEM",20,0,"20:16",2,6,0.333,0,3,0,0,0,NA,0,2,2,2,2,0,2,2,4,1.8,15,12.5
