"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-27","24-258","CHI","","CLE",2,1,"25:14",6,11,0.545,3,4,0.75,4,4,1,2,7,9,1,1,0,4,5,19,12.9,9,33.3
2,2,"2015-10-28","24-259","CHI","@","BRK",15,1,"29:37",5,10,0.5,4,8,0.5,4,4,1,0,9,9,1,2,1,2,3,18,15.9,30,37.8
3,3,"2015-10-30","24-261","CHI","@","DET",-4,1,"38:30",7,14,0.5,3,8,0.375,5,6,0.833,1,5,6,0,2,0,4,1,22,14.4,2,33
4,4,"2015-11-01","24-263","CHI","","ORL",5,1,"28:23",4,12,0.333,3,8,0.375,5,6,0.833,1,2,3,0,0,2,2,1,16,9.1,5,24.3
5,5,"2015-11-03","24-265","CHI","@","CHO",-25,1,"23:58",2,11,0.182,1,5,0.2,0,0,NA,1,4,5,2,0,0,2,1,5,-1,-15,13.8
6,6,"2015-11-05","24-267","CHI","","OKC",6,1,"15:59",1,5,0.2,0,3,0,0,0,NA,1,3,4,1,0,0,2,1,2,-1.2,-12,7.5
7,7,"2015-11-07","24-269","CHI","","MIN",-9,1,"17:02",1,8,0.125,0,5,0,2,2,1,0,3,3,0,1,0,1,5,4,-2.3,5,9.3
8,8,"2015-11-09","24-271","CHI","@","PHI",23,1,"28:22",6,11,0.545,3,7,0.429,5,7,0.714,1,9,10,0,2,0,4,3,20,14.1,22,37.5
9,9,"2015-11-13","24-275","CHI","","CHO",5,1,"22:33",0,3,0,0,2,0,3,4,0.75,1,6,7,3,1,0,1,2,3,4.3,-6,17.8
10,10,"2015-11-16","24-278","CHI","","IND",1,1,"16:33",2,7,0.286,1,3,0.333,1,2,0.5,1,5,6,0,0,0,1,1,6,2.3,6,13.5
11,11,"2015-11-18","24-280","CHI","@","PHO",6,1,"21:01",4,12,0.333,2,5,0.4,0,0,NA,1,4,5,3,2,0,1,2,10,7.4,-1,25.3
12,12,"2015-11-20","24-282","CHI","@","GSW",-12,1,"35:57",6,17,0.353,0,6,0,6,6,1,3,7,10,5,1,0,1,3,18,15,5,41
13,13,"2015-11-24","24-286","CHI","@","POR",5,1,"29:20",4,8,0.5,3,4,0.75,2,4,0.5,2,6,8,3,0,0,4,2,13,8.7,3,27
14,14,"2015-11-27","24-289","CHI","@","IND",-12,1,"29:09",8,14,0.571,2,4,0.5,7,8,0.875,2,5,7,2,0,1,2,4,25,19.4,-4,38.8
15,15,"2015-11-30","24-292","CHI","","SAS",3,1,"24:06",3,8,0.375,2,5,0.4,0,0,NA,1,4,5,2,0,0,2,3,8,3.7,-5,17.3
16,16,"2015-12-02","24-294","CHI","","DEN",9,1,"4:39",1,2,0.5,1,2,0.5,0,0,NA,1,2,3,0,1,0,0,0,3,4.3,0,9.3
17,17,"2015-12-05","24-297","CHI","","CHO",-6,1,"27:06",3,11,0.273,1,6,0.167,0,2,0,1,6,7,2,1,0,1,2,7,2.8,-8,20.8
18,18,"2015-12-07","24-299","CHI","","PHO",-2,1,"28:00",6,13,0.462,1,7,0.143,0,0,NA,4,3,7,4,1,1,2,1,13,12.1,11,31.3
19,19,"2015-12-09","24-301","CHI","@","BOS",-5,0,"22:09",4,10,0.4,2,6,0.333,0,0,NA,1,2,3,2,1,1,1,3,10,6.8,2,21.3
20,20,"2015-12-10","24-302","CHI","","LAC",3,0,"14:27",2,8,0.25,1,5,0.2,0,0,NA,0,11,11,1,1,0,0,1,5,4.8,-2,22.8
21,21,"2015-12-12","24-304","CHI","","NOP",4,0,"18:06",3,6,0.5,2,3,0.667,2,2,1,1,9,10,2,0,0,0,1,10,11.4,-1,28
22,22,"2015-12-14","24-306","CHI","","PHI",19,0,"18:39",6,10,0.6,5,8,0.625,0,0,NA,0,2,2,0,0,1,3,3,17,9.5,-1,22.5
23,23,"2015-12-16","24-308","CHI","","MEM",13,0,"14:35",1,2,0.5,1,2,0.5,0,0,NA,0,2,2,2,2,0,0,1,3,5.6,8,13
24,24,"2015-12-18","24-310","CHI","","DET",-3,0,"23:56",1,6,0.167,1,3,0.333,2,2,1,0,5,5,0,0,0,0,3,5,1.5,-7,11.8
25,25,"2015-12-19","24-311","CHI","@","NYK",-16,0,"24:43",1,8,0.125,0,5,0,0,0,NA,0,3,3,0,1,0,3,4,2,-5.9,-10,6.3
26,26,"2015-12-21","24-313","CHI","","BRK",-3,1,"21:34",3,9,0.333,1,4,0.25,1,2,0.5,1,3,4,1,3,2,1,0,8,8.2,-4,24.5
27,27,"2015-12-25","24-317","CHI","@","OKC",9,1,"15:56",1,5,0.2,1,5,0.2,3,3,1,0,7,7,2,1,2,1,2,6,7,20,23.8
28,28,"2015-12-26","24-318","CHI","@","DAL",-7,1,"40:04",6,10,0.6,4,7,0.571,7,11,0.636,1,6,7,1,2,3,0,4,23,22.5,-3,45.3
29,29,"2015-12-28","24-320","CHI","","TOR",7,1,"16:43",1,6,0.167,0,4,0,0,0,NA,0,7,7,0,0,1,1,2,2,-0.8,-10,12.3
30,30,"2015-12-30","24-322","CHI","","IND",2,1,"19:55",0,2,0,0,1,0,0,0,NA,0,4,4,1,0,1,1,0,0,0.2,1,8
31,31,"2016-01-01","24-324","CHI","","NYK",27,1,"30:54",6,8,0.75,4,6,0.667,1,2,0.5,0,5,5,7,2,2,0,4,17,21.6,25,43.8
32,32,"2016-01-03","24-326","CHI","@","TOR",2,1,"28:36",4,9,0.444,3,6,0.5,6,6,1,1,2,3,1,1,0,1,2,17,13.5,0,25.3
33,33,"2016-01-05","24-328","CHI","","MIL",11,1,"28:32",5,10,0.5,1,4,0.25,3,3,1,0,6,6,0,1,1,1,1,14,11.1,6,25.5
34,34,"2016-01-07","24-330","CHI","","BOS",9,1,"27:13",3,10,0.3,2,7,0.286,3,4,0.75,2,6,8,1,1,1,2,1,11,8,22,26.5
35,35,"2016-01-09","24-332","CHI","@","ATL",-15,1,"38:17",8,17,0.471,5,9,0.556,3,4,0.75,2,8,10,1,1,2,1,4,24,19.2,-16,47.5
36,36,"2016-01-11","24-334","CHI","","WAS",-14,1,"28:46",3,8,0.375,1,3,0.333,0,2,0,1,8,9,2,1,2,0,0,7,8.7,1,27.8
37,37,"2016-01-12","24-335","CHI","@","MIL",-5,1,"31:20",6,13,0.462,3,8,0.375,2,2,1,2,3,5,1,0,2,2,4,17,11.1,1,29.3
38,38,"2016-01-14","24-337","CHI","@","PHI",4,1,"23:45",2,13,0.154,1,5,0.2,2,2,1,0,5,5,0,0,1,5,3,7,-5.3,-3,13.3
39,39,"2016-01-15","24-338","CHI","","DAL",-6,0,"14:38",0,4,0,0,2,0,2,2,1,1,1,2,1,0,0,0,3,2,-0.3,-3,6
40,40,"2016-01-18","24-341","CHI","@","DET",10,0,"21:10",3,6,0.5,2,2,1,2,4,0.5,1,2,3,1,0,0,2,0,10,6.2,10,15.3
41,41,"2016-01-20","24-343","CHI","","GSW",-31,0,"14:21",0,5,0,0,3,0,0,0,NA,0,4,4,2,1,0,1,2,0,-1.7,-16,9.5
42,42,"2016-01-22","24-345","CHI","@","BOS",-9,0,"25:33",1,7,0.143,0,2,0,3,4,0.75,1,4,5,0,2,1,3,0,5,1.7,0,15.8
43,43,"2016-01-23","24-346","CHI","@","CLE",13,0,"25:12",5,9,0.556,3,5,0.6,4,5,0.8,1,5,6,1,1,0,0,2,17,15.4,6,29.5
44,44,"2016-01-25","24-348","CHI","","MIA",-5,0,"21:54",6,11,0.545,1,2,0.5,2,3,0.667,3,5,8,2,1,1,2,0,15,14,-5,31.5
61,45,"2016-03-05","25-023","CHI","","HOU",8,0,"15:47",2,5,0.4,2,3,0.667,1,2,0.5,0,2,2,1,1,0,1,2,7,4.4,0,13.5
62,46,"2016-03-07","25-025","CHI","","MIL",10,0,"19:47",4,9,0.444,2,5,0.4,4,5,0.8,1,5,6,3,1,2,3,2,14,11.8,10,31.5
63,47,"2016-03-10","25-028","CHI","@","SAS",-8,0,"28:10",3,7,0.429,2,5,0.4,0,0,NA,1,9,10,2,2,1,3,3,8,7.6,4,29
64,48,"2016-03-11","25-029","CHI","","MIA",-22,0,"19:15",1,4,0.25,0,2,0,4,4,1,0,3,3,1,1,0,1,2,6,4.4,-1,12.8
