"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
2,1,"2015-10-30","22-207","POR","@","PHO",-18,0,"2:24",0,1,0,0,0,NA,0,0,NA,0,1,1,0,0,0,1,0,0,-1.4,1,0.8
6,2,"2015-11-05","22-213","POR","","MEM",19,0,"3:34",1,1,1,1,1,1,0,0,NA,0,0,0,0,0,0,0,0,3,2.7,-5,3.5
30,3,"2015-12-21","22-259","POR","@","ATL",-9,0,"0:50",2,2,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,4,3.4,2,4
31,4,"2015-12-23","22-261","POR","@","NOP",-26,0,"6:16",0,3,0,0,2,0,2,2,1,0,0,0,1,0,0,0,1,2,0.2,-2,3.5
32,5,"2015-12-26","22-264","POR","","CLE",29,0,"4:09",1,3,0.333,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,2,-0.7,-3,1.5
35,6,"2015-12-31","22-269","POR","@","UTA",-13,0,"3:02",1,2,0.5,0,1,0,0,0,NA,0,1,1,0,0,0,0,0,2,1.3,5,3.3
38,7,"2016-01-06","22-275","POR","","LAC",-11,0,"2:43",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,-4,0
75,8,"2016-03-28","22-357","POR","","SAC",12,0,"4:41",0,2,0,0,1,0,1,2,0.5,0,1,1,0,0,0,0,0,1,-0.5,-15,2.3
77,9,"2016-04-02","22-362","POR","","MIA",17,0,"2:04",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-1,0
78,10,"2016-04-03","22-363","POR","@","GSW",-25,0,"3:09",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,1,0,0,-1.7,-4,-0.5
80,11,"2016-04-06","23-000","POR","","OKC",5,0,"0:09",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-3,0
82,12,"2016-04-13","23-007","POR","","DEN",8,0,"9:02",0,3,0,0,2,0,0,0,NA,0,1,1,0,0,0,1,0,0,-2.8,-10,0.8
