"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
21,1,"2015-12-05","25-076","HOU","","SAC",7,0,"6:10",0,4,0,0,1,0,0,0,NA,1,0,1,0,0,0,2,1,0,-4.5,3,0.3
22,2,"2015-12-08","25-079","HOU","@","BRK",-5,0,"6:45",0,0,NA,0,0,NA,0,0,NA,0,1,1,1,0,0,2,0,0,-1,-7,1.8
23,3,"2015-12-09","25-080","HOU","@","WAS",6,0,"8:32",1,2,0.5,0,0,NA,0,0,NA,0,3,3,0,0,0,3,5,2,-3.1,-2,4.3
24,4,"2015-12-12","25-083","HOU","","LAL",29,0,"14:42",4,4,1,1,1,1,2,4,0.5,0,1,1,1,1,0,4,1,11,6.6,16,14.3
25,5,"2015-12-14","25-085","HOU","@","DEN",-6,0,"21:46",7,11,0.636,3,4,0.75,2,2,1,1,1,2,2,0,0,1,5,19,13.5,-14,25.5
26,6,"2015-12-15","25-086","HOU","@","SAC",-10,1,"14:28",2,7,0.286,0,3,0,0,0,NA,0,3,3,0,3,1,3,2,4,0.7,-15,14.3
27,7,"2015-12-17","25-088","HOU","@","LAL",20,0,"19:09",3,7,0.429,1,1,1,1,4,0.25,2,2,4,2,0,0,3,2,8,2.7,4,15
28,8,"2015-12-19","25-090","HOU","","LAC",10,0,"20:06",4,5,0.8,0,1,0,2,2,1,0,3,3,1,1,0,1,5,10,7.7,8,16.8
29,9,"2015-12-21","25-092","HOU","","CHO",7,0,"22:43",2,7,0.286,0,2,0,2,2,1,1,3,4,4,0,0,1,1,6,4.9,8,16.5
30,10,"2015-12-23","25-094","HOU","@","ORL",-3,0,"7:41",1,2,0.5,0,0,NA,0,0,NA,0,1,1,1,0,0,2,0,2,0,-8,3.8
31,11,"2015-12-25","25-096","HOU","","SAS",4,0,"6:00",2,4,0.5,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,4,2,-3,4
32,12,"2015-12-26","25-097","HOU","@","NOP",-2,0,"6:37",2,3,0.667,0,1,0,0,0,NA,0,0,0,0,0,0,1,0,4,1.7,2,3.5
33,13,"2015-12-29","25-100","HOU","","ATL",-6,0,"27:26",2,4,0.5,2,2,1,0,0,NA,2,5,7,2,1,1,2,2,6,7.2,7,21.8
34,14,"2015-12-31","25-102","HOU","","GSW",-4,0,"6:15",1,2,0.5,0,1,0,0,0,NA,0,0,0,0,0,0,0,1,2,0.6,1,2
60,15,"2016-02-27","25-160","HOU","","SAS",-10,0,"8:53",1,4,0.25,0,2,0,0,0,NA,1,0,1,1,0,0,2,3,2,-2.2,-7,3.8
61,16,"2016-02-29","25-162","HOU","@","MIL",-7,0,"19:22",1,3,0.333,1,1,1,3,4,0.75,2,3,5,2,1,0,2,2,6,5.8,-5,16.8
62,17,"2016-03-02","25-164","HOU","","NOP",5,1,"22:04",3,7,0.429,0,1,0,1,4,0.25,1,2,3,2,0,0,0,2,7,4,-16,13.8
63,18,"2016-03-05","25-167","HOU","@","CHI",-8,1,"14:12",2,4,0.5,0,1,0,2,2,1,1,2,3,1,0,0,0,4,6,4.4,-8,11.3
64,19,"2016-03-06","25-168","HOU","@","TOR",6,1,"20:04",1,5,0.2,0,2,0,2,4,0.5,1,4,5,1,0,0,2,2,4,-0.1,-18,10.8
65,20,"2016-03-09","25-171","HOU","@","PHI",14,1,"6:45",0,1,0,0,0,NA,0,0,NA,0,1,1,0,0,0,0,3,0,-1.6,-4,1.3
66,21,"2016-03-11","25-173","HOU","@","BOS",4,1,"10:15",1,3,0.333,0,2,0,0,0,NA,1,3,4,1,0,0,0,0,2,2.6,6,8.5
67,22,"2016-03-12","25-174","HOU","@","CHO",-16,1,"4:58",2,3,0.667,0,1,0,0,0,NA,1,1,2,0,0,0,0,0,4,3.7,-3,6.5
68,23,"2016-03-14","25-176","HOU","","MEM",49,1,"20:35",7,14,0.5,1,2,0.5,3,5,0.6,2,4,6,2,1,0,0,2,18,14.4,37,31
