"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-27","29-103","CLE","@","CHI",-2,1,"20:54",2,6,0.333,0,0,NA,1,2,0.5,2,3,5,2,0,2,3,2,5,2.5,-1,16.8
2,2,"2015-10-28","29-104","CLE","@","MEM",30,1,"25:04",4,8,0.5,0,1,0,1,1,1,1,3,4,0,0,0,2,2,9,3.8,3,13
3,3,"2015-10-30","29-106","CLE","","MIA",10,1,"18:04",4,6,0.667,0,0,NA,1,1,1,1,4,5,0,0,1,1,2,9,7.2,0,16.8
4,4,"2015-11-02","29-109","CLE","@","PHI",7,1,"22:06",2,7,0.286,0,0,NA,2,2,1,3,4,7,1,0,4,2,2,6,5.9,-1,23.3
5,5,"2015-11-04","29-111","CLE","","NYK",10,1,"21:55",3,6,0.5,0,0,NA,4,4,1,0,3,3,2,0,0,0,1,10,8.9,-7,16.8
6,6,"2015-11-06","29-113","CLE","","PHI",6,1,"18:51",6,7,0.857,0,0,NA,1,2,0.5,2,4,6,0,0,0,1,2,13,10.9,12,20
7,7,"2015-11-08","29-115","CLE","","IND",4,1,"22:58",2,5,0.4,1,2,0.5,4,5,0.8,2,4,6,0,0,1,0,3,9,8,-12,19
8,8,"2015-11-10","29-117","CLE","","UTA",4,1,"19:02",0,1,0,0,0,NA,3,4,0.75,1,1,2,0,0,1,1,3,3,1.4,-4,7
9,9,"2015-11-13","29-120","CLE","@","NYK",6,1,"26:38",4,5,0.8,0,0,NA,3,5,0.6,1,6,7,0,1,0,1,1,11,10.4,-2,21.3
10,10,"2015-11-14","29-121","CLE","@","MIL",-3,1,"15:37",1,5,0.2,0,0,NA,6,6,1,2,2,4,0,0,3,0,3,8,7.8,-3,19
