"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","22-349","MIN","@","LAL",1,0,"18:55",3,5,0.6,1,2,0.5,3,4,0.75,0,1,1,0,0,0,1,1,10,6.2,-7,11.3
2,2,"2015-10-30","22-351","MIN","@","DEN",17,0,"16:11",1,5,0.2,0,2,0,0,0,NA,0,1,1,0,0,0,1,3,2,-3,1,2.8
3,3,"2015-11-02","22-354","MIN","","POR",-5,0,"17:22",2,5,0.4,0,0,NA,5,6,0.833,0,4,4,0,1,0,0,1,9,7.7,-5,16
4,4,"2015-11-05","22-357","MIN","","MIA",-12,0,"22:38",5,10,0.5,0,1,0,4,5,0.8,4,2,6,1,0,1,1,2,14,11.6,6,24.5
5,5,"2015-11-07","22-359","MIN","@","CHI",9,0,"21:17",1,4,0.25,0,0,NA,2,2,1,0,2,2,1,0,0,2,3,4,-0.3,-17,7
6,6,"2015-11-09","22-361","MIN","@","ATL",10,0,"10:21",3,3,1,0,0,NA,0,0,NA,0,1,1,0,0,0,2,0,6,3.4,0,6.3
7,7,"2015-11-10","22-362","MIN","","CHO",-9,0,"14:13",2,4,0.5,0,1,0,0,2,0,0,1,1,0,0,0,1,0,4,0.5,-21,4.8
8,8,"2015-11-12","22-364","MIN","","GSW",-13,0,"19:12",6,8,0.75,0,1,0,4,5,0.8,2,2,4,0,0,0,0,2,16,13.6,6,21
9,9,"2015-11-13","23-000","MIN","@","IND",-4,0,"18:38",4,8,0.5,0,2,0,1,1,1,2,2,4,1,0,0,2,2,9,4.9,3,14.5
10,10,"2015-11-15","23-002","MIN","","MEM",-8,0,"16:33",4,8,0.5,0,1,0,0,0,NA,2,2,4,0,0,0,1,0,8,5,-6,12.5
11,11,"2015-11-17","23-004","MIN","@","MIA",12,0,"20:17",6,8,0.75,2,3,0.667,2,2,1,0,0,0,2,0,0,0,1,16,13.8,12,20
12,12,"2015-11-18","23-005","MIN","@","ORL",-3,0,"17:29",2,7,0.286,0,3,0,0,0,NA,1,1,2,0,0,0,0,2,4,0.1,-7,6.5
13,13,"2015-11-20","23-007","MIN","","DET",-10,0,"17:13",0,3,0,0,0,NA,0,0,NA,0,3,3,0,0,0,1,1,0,-2.6,2,3.3
14,14,"2015-11-23","23-010","MIN","","PHI",5,0,"16:02",3,7,0.429,1,1,1,0,0,NA,0,1,1,0,0,0,1,3,7,1.4,-11,8.3
15,15,"2015-11-25","23-012","MIN","","ATL",4,0,"16:05",2,7,0.286,1,2,0.5,0,0,NA,0,2,2,1,0,0,0,3,5,1,-2,9.5
16,16,"2015-11-27","23-014","MIN","@","SAC",10,0,"15:42",5,8,0.625,3,5,0.6,2,2,1,0,1,1,0,0,0,2,2,15,8.9,10,16.8
17,17,"2015-11-29","23-016","MIN","@","LAC",-8,0,"18:44",2,6,0.333,0,2,0,2,2,1,1,2,3,0,0,0,1,1,6,2.5,-3,9.3
18,18,"2015-12-01","23-018","MIN","","ORL",-3,0,"16:36",4,9,0.444,0,2,0,1,2,0.5,0,2,2,0,0,0,1,2,9,2.7,0,11
19,19,"2015-12-05","23-022","MIN","","POR",-6,0,"11:21",1,5,0.2,0,0,NA,1,2,0.5,0,1,1,0,1,0,0,1,3,0.4,-1,6.3
20,20,"2015-12-07","23-024","MIN","","LAC",-4,0,"26:18",4,10,0.4,0,3,0,5,7,0.714,4,5,9,0,0,0,1,0,13,10.1,15,23.8
21,21,"2015-12-09","23-026","MIN","","LAL",1,0,"15:15",6,8,0.75,1,2,0.5,2,2,1,2,3,5,1,0,0,2,1,15,12.4,-5,22.3
22,22,"2015-12-11","23-028","MIN","@","DEN",-3,0,"16:04",3,6,0.5,0,0,NA,1,1,1,0,2,2,0,0,1,0,0,7,5.3,7,11.5
23,23,"2015-12-13","23-030","MIN","@","PHO",-7,0,"22:18",2,2,1,0,0,NA,5,6,0.833,0,5,5,0,1,0,2,3,9,7.3,2,16.3
24,24,"2015-12-15","23-032","MIN","","DEN",-12,0,"14:08",1,5,0.2,0,0,NA,1,2,0.5,0,0,0,0,0,0,2,0,3,-2.5,-7,2
25,25,"2015-12-16","23-033","MIN","@","NYK",-5,0,"17:48",3,8,0.375,0,1,0,2,2,1,3,6,9,0,1,0,0,1,8,8.1,-16,21.3
26,26,"2015-12-18","23-035","MIN","","SAC",4,0,"27:02",7,13,0.538,2,4,0.5,0,0,NA,2,5,7,1,0,0,0,2,16,12.5,-3,27.3
27,27,"2015-12-20","23-037","MIN","@","BRK",15,0,"10:10",0,4,0,0,2,0,0,0,NA,1,0,1,0,0,0,0,0,0,-2.1,-11,1.3
28,28,"2015-12-21","23-038","MIN","@","BOS",-14,0,"16:11",3,4,0.75,0,1,0,2,2,1,0,1,1,0,0,0,0,0,8,6.7,-15,9.3
29,29,"2015-12-23","23-040","MIN","","SAS",-25,0,"21:06",5,9,0.556,1,1,1,4,4,1,3,0,3,1,0,0,0,0,15,13.5,-16,20.8
30,30,"2015-12-26","23-043","MIN","","IND",-14,0,"10:20",0,2,0,0,0,NA,2,2,1,0,1,1,0,1,0,1,1,2,0.5,-14,4.8
31,31,"2015-12-28","23-045","MIN","@","SAS",-6,0,"11:30",3,4,0.75,2,2,1,0,0,NA,0,0,0,0,0,0,0,0,8,6.4,-2,9
32,32,"2015-12-30","23-047","MIN","","UTA",14,0,"18:56",2,5,0.4,1,2,0.5,0,0,NA,0,2,2,0,0,0,0,1,5,2.5,3,8
33,33,"2015-12-31","23-048","MIN","@","DET",-25,0,"22:49",5,7,0.714,1,2,0.5,4,6,0.667,1,2,3,1,1,0,0,2,15,13.5,-4,22.8
34,34,"2016-01-02","23-050","MIN","","MIL",-10,0,"26:25",5,11,0.455,1,2,0.5,1,3,0.333,2,2,4,1,1,0,0,2,12,8.4,-1,21
35,35,"2016-01-04","23-052","MIN","@","PHI",-10,0,"34:21",8,11,0.727,1,1,1,3,4,0.75,3,0,3,1,1,0,2,0,20,16.9,-10,26.8
36,36,"2016-01-06","23-054","MIN","","DEN",-4,0,"15:58",3,6,0.5,0,1,0,1,2,0.5,0,0,0,0,0,0,0,1,7,3.2,-5,7
37,37,"2016-01-08","23-056","MIN","","CLE",-26,0,"26:12",6,13,0.462,2,3,0.667,8,10,0.8,2,0,2,2,0,0,1,0,22,16.3,-10,28
38,38,"2016-01-10","23-058","MIN","","DAL",-6,0,"27:37",5,10,0.5,1,4,0.25,5,8,0.625,1,4,5,0,0,0,0,4,16,10.1,-7,22.8
39,39,"2016-01-12","23-060","MIN","","OKC",-5,0,"34:05",8,15,0.533,1,4,0.25,3,4,0.75,1,3,4,3,0,0,3,0,20,13,12,28.5
40,40,"2016-01-13","23-061","MIN","@","HOU",-3,0,"15:50",1,5,0.2,0,1,0,0,0,NA,1,1,2,1,1,0,2,0,2,-0.4,-15,7
41,41,"2016-01-15","23-063","MIN","@","OKC",-20,0,"33:40",5,12,0.417,1,1,1,4,4,1,1,3,4,0,0,0,3,2,15,6.4,-10,19
42,42,"2016-01-17","23-065","MIN","","PHO",30,0,"25:41",4,10,0.4,0,3,0,3,6,0.5,1,7,8,0,0,0,2,3,11,4,15,20
43,43,"2016-01-19","23-067","MIN","@","NOP",-15,0,"27:56",5,10,0.5,0,2,0,3,4,0.75,2,3,5,0,0,1,1,0,13,9.6,-14,20.8
44,44,"2016-01-20","23-068","MIN","@","DAL",-12,0,"35:04",6,16,0.375,2,7,0.286,0,0,NA,3,4,7,1,0,1,2,0,14,7.9,-17,26.3
45,45,"2016-01-23","23-071","MIN","","MEM",5,0,"32:33",8,15,0.533,1,4,0.25,8,8,1,0,3,3,0,0,0,1,1,25,17.2,13,28.8
46,46,"2016-01-25","23-073","MIN","@","CLE",-7,0,"26:43",5,13,0.385,0,2,0,0,0,NA,1,2,3,3,1,0,0,1,10,6.9,7,20.3
