"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
2,1,"2016-03-17","23-290","MEM","@","MIL",-10,0,"11:00",0,3,0,0,1,0,2,2,1,0,1,1,0,2,0,1,2,2,0.4,4,NA
3,2,"2016-03-19","23-292","MEM","","LAC",11,0,"19:42",3,5,0.6,0,1,0,1,2,0.5,2,1,3,1,0,0,0,2,7,5.9,-8,12.3
4,3,"2016-03-21","23-294","MEM","@","PHO",6,0,"9:36",1,2,0.5,1,2,0.5,0,0,NA,0,1,1,1,1,0,0,1,3,3.6,3,8.3
5,4,"2016-03-22","23-295","MEM","@","LAL",-7,0,"3:28",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,1,0,1,1,0,-0.4,4,1.5
6,5,"2016-03-25","23-298","MEM","@","SAS",-6,0,"6:47",0,0,NA,0,0,NA,0,0,NA,0,3,3,2,0,0,0,0,0,2.3,-2,6.8
7,6,"2016-03-28","23-301","MEM","","SAS",-14,0,"6:22",2,4,0.5,1,1,1,0,1,0,0,1,1,0,0,1,0,1,5,3.2,3,8.8
8,7,"2016-03-30","23-303","MEM","","DEN",-4,0,"11:59",4,8,0.5,1,2,0.5,0,1,0,0,3,3,1,0,0,1,2,9,4.4,-1,14.3
9,8,"2016-04-01","23-305","MEM","","TOR",-4,0,"22:02",5,7,0.714,2,3,0.667,0,0,NA,0,2,2,3,1,0,2,0,12,10.8,7,21
10,9,"2016-04-03","23-307","MEM","@","ORL",-12,0,"33:46",4,8,0.5,1,1,1,1,2,0.5,0,2,2,1,2,0,3,3,10,4.7,-5,17
11,10,"2016-04-05","23-309","MEM","","CHI",16,0,"17:30",3,7,0.429,2,2,1,0,0,NA,0,3,3,0,0,0,2,1,8,2.8,4,11.8
12,11,"2016-04-08","23-312","MEM","@","DAL",-10,0,"14:51",0,2,0,0,2,0,1,2,0.5,0,0,0,1,1,0,1,3,1,-1.3,-3,4
13,12,"2016-04-09","23-313","MEM","","GSW",-1,0,"29:32",3,10,0.3,1,3,0.333,1,2,0.5,1,6,7,4,3,1,0,2,8,10,2,31.3
14,13,"2016-04-12","23-316","MEM","@","LAC",-26,0,"32:06",5,11,0.455,0,3,0,1,1,1,0,3,3,4,0,0,4,4,11,3.4,-17,18.8
15,14,"2016-04-13","23-317","MEM","@","GSW",-21,0,"25:36",2,10,0.2,0,2,0,0,1,0,0,2,2,4,2,1,0,3,4,2.3,-16,18.5
