"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-27","24-118","ATL","","DET",-12,0,"7:59",0,1,0,0,0,NA,0,0,NA,0,1,1,0,0,0,1,2,0,-2.2,5,0.8
6,2,"2015-11-04","24-126","ATL","","BRK",14,0,"1:37",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,0,0
8,3,"2015-11-07","24-129","ATL","","WAS",15,0,"19:19",3,4,0.75,1,1,1,0,0,NA,0,2,2,2,0,0,1,1,7,6,-1,12.5
10,4,"2015-11-11","24-133","ATL","","NOP",8,0,"7:38",1,2,0.5,1,1,1,0,0,NA,0,1,1,1,0,1,0,0,3,3.7,2,8.3
11,5,"2015-11-13","24-135","ATL","@","BOS",-13,0,"5:54",1,1,1,0,0,NA,5,7,0.714,0,0,0,1,0,0,0,0,7,6.6,8,8.5
12,6,"2015-11-15","24-137","ATL","","UTA",-1,0,"9:38",0,0,NA,0,0,NA,0,0,NA,0,1,1,1,1,0,1,1,0,0.6,-7,4.3
13,7,"2015-11-17","24-139","ATL","@","BRK",-2,0,"14:29",2,4,0.5,1,1,1,0,0,NA,0,3,3,1,0,0,1,1,5,3.2,1,10.3
14,8,"2015-11-18","24-140","ATL","","SAC",6,0,"9:56",1,2,0.5,0,0,NA,0,0,NA,0,0,0,0,1,1,0,0,2,2.7,5,6
15,9,"2015-11-21","24-143","ATL","@","CLE",-12,0,"18:49",1,3,0.333,1,1,1,4,4,1,0,2,2,0,0,1,0,1,7,6.2,4,12
16,10,"2015-11-24","24-146","ATL","","BOS",24,0,"15:29",1,3,0.333,1,3,0.333,0,0,NA,0,3,3,0,1,2,0,2,3,3.8,-10,13.3
17,11,"2015-11-25","24-147","ATL","@","MIN",-4,0,"17:39",2,5,0.4,1,4,0.25,3,4,0.75,1,2,3,0,0,2,4,3,8,2.4,0,14.3
18,12,"2015-11-27","24-149","ATL","@","MEM",15,0,"23:50",5,10,0.5,1,5,0.2,0,0,NA,1,5,6,2,0,2,1,2,11,9.2,11,25.5
19,13,"2015-11-28","24-150","ATL","@","SAS",-20,0,"23:10",3,8,0.375,0,1,0,0,0,NA,1,3,4,1,1,1,2,1,6,3.2,0,15.5
20,14,"2015-11-30","24-152","ATL","","OKC",6,0,"16:42",3,5,0.6,0,1,0,0,0,NA,2,4,6,0,2,0,1,2,6,6.5,-3,17
21,15,"2015-12-02","24-154","ATL","","TOR",-10,0,"19:10",1,4,0.25,0,1,0,0,0,NA,1,3,4,1,0,1,0,4,2,1,-5,10.5
22,16,"2015-12-04","24-156","ATL","","LAL",13,0,"12:14",2,4,0.5,1,1,1,1,1,1,2,1,3,0,0,1,1,0,6,5.4,-9,11.8
23,17,"2015-12-09","24-161","ATL","@","DAL",3,0,"11:17",4,7,0.571,0,2,0,0,0,NA,2,3,5,1,0,1,0,0,8,8.4,-2,17.8
24,18,"2015-12-10","24-162","ATL","@","OKC",-13,0,"20:22",4,8,0.5,0,2,0,0,0,NA,1,1,2,1,0,2,1,3,8,4.9,-10,15.5
25,19,"2015-12-12","24-164","ATL","","SAS",-25,0,"19:31",1,3,0.333,0,1,0,0,0,NA,1,2,3,0,2,0,2,5,2,-0.4,-3,8.8
26,20,"2015-12-14","24-166","ATL","","MIA",-12,0,"10:24",0,1,0,0,0,NA,0,0,NA,1,1,2,1,0,0,0,1,0,0.6,-1,4
