"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
2,1,"2015-10-30","24-108","ORL","","OKC",-3,0,"0:30",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
3,2,"2015-11-01","24-110","ORL","@","CHI",-5,0,"16:09",2,5,0.4,1,2,0.5,2,2,1,0,0,0,1,1,0,0,3,7,4.8,7,11
4,3,"2015-11-03","24-112","ORL","@","NOP",9,0,"0:53",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-3,0
5,4,"2015-11-04","24-113","ORL","@","HOU",-5,0,"9:07",1,3,0.333,0,2,0,0,0,NA,0,1,1,2,0,0,1,0,2,1,3,5.8
6,5,"2015-11-06","24-115","ORL","","TOR",5,0,"16:39",2,4,0.5,1,2,0.5,0,0,NA,0,2,2,6,0,0,1,1,5,6.4,12,16.5
7,6,"2015-11-07","24-116","ORL","@","PHI",8,0,"9:39",0,1,0,0,0,NA,1,2,0.5,0,2,2,1,0,0,2,0,1,-0.8,1,4
8,7,"2015-11-09","24-118","ORL","@","IND",-13,0,"2:11",0,1,0,0,1,0,0,0,NA,1,1,2,0,0,0,0,0,0,0.3,-2,2.5
9,8,"2015-11-11","24-120","ORL","","LAL",2,0,"30:11",8,16,0.5,5,9,0.556,1,1,1,0,0,0,3,1,0,2,3,22,13.9,2,30
10,9,"2015-11-13","24-122","ORL","","UTA",9,0,"18:14",1,4,0.25,0,1,0,0,0,NA,0,1,1,0,2,0,4,2,2,-2.9,-4,5.3
11,10,"2015-11-14","24-123","ORL","@","WAS",-9,0,"16:24",3,5,0.6,0,1,0,0,0,NA,0,0,0,1,1,0,4,1,6,1,3,7.5
12,11,"2015-11-18","24-127","ORL","","MIN",3,0,"14:43",3,9,0.333,2,4,0.5,1,1,1,0,0,0,1,1,0,0,0,9,5.6,-15,13.5
13,12,"2015-11-21","24-130","ORL","","SAC",-6,0,"11:57",1,1,1,1,1,1,0,0,NA,1,2,3,3,0,0,0,1,3,5.7,0,11.8
