"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","31-025","WAS","@","ORL",1,0,"18:12",3,8,0.375,0,2,0,0,0,NA,0,2,2,0,0,0,0,0,6,2.2,-5,8.5
2,2,"2015-10-30","31-027","WAS","@","MIL",5,0,"21:58",3,9,0.333,1,2,0.5,6,6,1,1,1,2,2,0,0,0,1,13,9.9,8,19
3,3,"2015-10-31","31-028","WAS","","NYK",-7,0,"15:21",3,7,0.429,0,1,0,0,0,NA,0,0,0,1,0,0,2,1,6,0.6,-1,6.5
4,4,"2015-11-04","31-032","WAS","","SAS",3,0,"15:54",4,6,0.667,1,1,1,0,0,NA,0,0,0,0,0,0,0,1,9,6,-10,9.5
5,5,"2015-11-06","31-034","WAS","@","BOS",-20,0,"16:36",1,4,0.25,0,1,0,0,0,NA,0,1,1,0,0,0,2,2,2,-2.9,-24,2.3
6,6,"2015-11-07","31-035","WAS","@","ATL",-15,0,"17:39",3,7,0.429,2,4,0.5,0,0,NA,0,1,1,3,2,0,1,1,8,7.3,-10,18.3
7,7,"2015-11-10","31-038","WAS","","OKC",-24,1,"25:46",6,15,0.4,0,4,0,2,2,1,0,1,1,1,1,0,1,0,14,6.9,-12,18.3
8,8,"2015-11-14","31-042","WAS","","ORL",9,0,"16:50",3,5,0.6,1,2,0.5,0,0,NA,0,2,2,2,0,0,1,3,7,4.5,3,12.5
9,9,"2015-11-17","31-045","WAS","","MIL",29,0,"24:00",4,6,0.667,2,2,1,0,0,NA,0,3,3,0,2,0,0,1,10,9.9,9,18.8
10,10,"2015-11-21","31-049","WAS","@","DET",2,0,"14:49",1,4,0.25,0,2,0,0,0,NA,0,4,4,1,0,0,0,0,2,1.5,2,8.5
11,11,"2015-11-24","31-052","WAS","","IND",-17,0,"28:53",8,14,0.571,5,8,0.625,2,2,1,1,2,3,0,1,0,3,1,23,15.3,-10,29.8
12,12,"2015-11-25","31-053","WAS","@","CHO",-14,0,"27:48",7,13,0.538,2,3,0.667,2,2,1,0,3,3,1,1,0,0,3,18,13.1,-15,26.3
13,13,"2015-11-27","31-055","WAS","@","BOS",-33,0,"18:10",2,7,0.286,0,0,NA,1,1,1,0,2,2,0,0,0,1,0,5,0.5,-16,7
16,14,"2015-12-02","31-060","WAS","","LAL",-4,0,"12:34",2,4,0.5,0,0,NA,3,3,1,0,3,3,0,0,0,2,0,7,3.9,-4,9.8
17,15,"2015-12-04","31-062","WAS","","PHO",3,0,"20:28",4,7,0.571,2,3,0.667,2,2,1,1,5,6,1,0,0,2,2,12,8.8,-1,21
18,16,"2015-12-06","31-064","WAS","","DAL",-12,0,"34:05",8,14,0.571,2,7,0.286,0,1,0,1,2,3,3,0,0,0,1,18,14,-1,27.3
19,17,"2015-12-07","31-065","WAS","@","MIA",11,0,"36:22",9,12,0.75,3,4,0.75,0,0,NA,1,1,2,4,2,0,1,4,21,19.4,17,34.5
20,18,"2015-12-09","31-067","WAS","","HOU",-6,0,"26:24",2,11,0.182,1,6,0.167,2,2,1,0,2,2,0,0,0,1,0,7,-0.3,-16,9.5
21,19,"2015-12-11","31-069","WAS","@","NOP",-2,0,"26:14",5,10,0.5,3,4,0.75,2,2,1,1,3,4,2,0,0,0,2,15,12.2,-3,24.5
22,20,"2015-12-12","31-070","WAS","@","DAL",3,0,"21:45",3,9,0.333,1,4,0.25,1,1,1,0,0,0,0,0,0,1,1,8,1.5,-7,8
23,21,"2015-12-14","31-072","WAS","@","MEM",-17,0,"30:57",9,14,0.643,3,4,0.75,3,5,0.6,1,1,2,0,1,0,0,1,24,18.6,-5,30
24,22,"2015-12-16","31-074","WAS","@","SAS",-19,1,"22:04",3,10,0.3,0,0,NA,2,2,1,1,2,3,2,0,0,0,3,8,3.7,-22,14.8
25,23,"2015-12-19","31-077","WAS","","CHO",8,0,"22:00",1,7,0.143,0,4,0,2,2,1,0,0,0,5,2,0,1,1,4,3.6,9,15
27,24,"2015-12-23","31-081","WAS","","MEM",9,0,"16:05",1,2,0.5,0,0,NA,3,5,0.6,0,0,0,2,0,0,2,2,5,1.8,-4,7
33,25,"2016-01-06","31-095","WAS","","CLE",-6,0,"20:45",5,8,0.625,1,3,0.333,2,3,0.667,0,1,1,1,0,0,0,1,13,9.6,-16,16.3
34,26,"2016-01-08","31-097","WAS","","TOR",-9,0,"14:59",1,9,0.111,0,4,0,0,0,NA,1,2,3,0,2,0,0,1,2,-1,-5,9.8
35,27,"2016-01-09","31-098","WAS","@","ORL",6,0,"22:06",7,13,0.538,2,2,1,0,0,NA,0,1,1,3,0,1,1,2,16,11,-2,24.3
36,28,"2016-01-11","31-100","WAS","@","CHI",14,0,"14:59",4,9,0.444,1,1,1,2,2,1,2,0,2,3,2,0,2,2,11,9,1,21.5
37,29,"2016-01-13","31-102","WAS","","MIL",5,0,"6:28",1,1,1,1,1,1,0,0,NA,0,1,1,1,1,0,0,0,3,4.7,5,8.3
38,30,"2016-01-15","31-104","WAS","@","IND",14,0,"23:35",5,10,0.5,2,3,0.667,0,0,NA,0,4,4,3,0,0,1,2,12,8.5,1,22
39,31,"2016-01-16","31-105","WAS","","BOS",-2,0,"25:00",2,9,0.222,0,4,0,6,7,0.857,0,3,3,0,1,0,0,2,10,5.2,4,15.8
40,32,"2016-01-18","31-107","WAS","","POR",-10,0,"22:10",5,9,0.556,0,0,NA,1,1,1,0,4,4,1,0,0,1,1,11,7.2,1,17
41,33,"2016-01-20","31-109","WAS","","MIA",19,0,"22:18",3,6,0.5,1,1,1,0,0,NA,0,2,2,0,0,0,1,1,7,3.2,4,9.5
42,34,"2016-01-25","31-114","WAS","","BOS",-25,0,"11:46",3,5,0.6,1,2,0.5,0,0,NA,0,2,2,2,0,0,1,4,7,4.1,-12,12.5
43,35,"2016-01-26","31-115","WAS","@","TOR",-17,0,"21:33",6,12,0.5,0,2,0,2,2,1,0,2,2,0,0,0,0,4,14,7,-20,16.5
45,36,"2016-01-30","31-119","WAS","@","HOU",1,0,"16:26",5,5,1,2,2,1,0,0,NA,0,1,1,0,0,0,0,0,12,10.8,-3,14.3
46,37,"2016-02-01","31-121","WAS","@","OKC",-16,0,"5:18",0,1,0,0,0,NA,0,0,NA,0,1,1,0,0,0,0,1,0,-0.8,-1,1.3
47,38,"2016-02-03","31-123","WAS","","GSW",-13,0,"18:08",3,6,0.5,1,2,0.5,0,0,NA,0,5,5,1,0,0,1,2,7,4.4,2,14.8
48,39,"2016-02-05","31-125","WAS","","PHI",12,0,"15:39",5,10,0.5,0,2,0,1,2,0.5,0,2,2,2,2,0,0,1,11,9.2,-7,20.5
49,40,"2016-02-06","31-126","WAS","@","CHO",-4,0,"15:23",1,7,0.143,0,3,0,0,0,NA,0,0,0,0,0,0,0,0,2,-2.5,4,2
