"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","33-261","DEN","@","HOU",20,0,"24:30",4,9,0.444,2,5,0.4,0,0,NA,0,5,5,3,1,0,3,6,10,4.5,6,22.3
2,2,"2015-10-30","33-263","DEN","","MIN",-17,0,"25:42",1,10,0.1,1,4,0.25,0,0,NA,0,2,2,4,1,0,1,2,3,-1,2,13.5
3,3,"2015-11-01","33-265","DEN","@","OKC",-24,0,"27:03",5,13,0.385,2,5,0.4,1,1,1,1,0,1,7,1,0,2,3,13,9.3,-6,26.8
4,4,"2015-11-03","33-267","DEN","@","LAL",11,0,"25:50",1,7,0.143,0,3,0,2,2,1,0,4,4,9,0,0,3,4,4,2.4,9,21
5,5,"2015-11-05","33-269","DEN","","UTA",-12,0,"19:00",1,4,0.25,0,2,0,2,3,0.667,0,1,1,4,1,0,2,0,4,3.3,-12,12.3
6,6,"2015-11-06","33-270","DEN","@","GSW",-15,0,"21:25",4,8,0.5,2,6,0.333,0,0,NA,0,1,1,4,2,0,4,3,10,5.9,-12,20.3
9,7,"2015-11-13","33-277","DEN","","HOU",9,0,"27:55",5,8,0.625,0,1,0,3,5,0.6,1,4,5,3,0,0,1,2,13,10.8,15,23.3
10,8,"2015-11-14","33-278","DEN","@","PHO",-24,0,"25:51",2,11,0.182,0,5,0,2,2,1,0,0,0,1,0,0,1,2,6,-2,-20,7
11,9,"2015-11-17","33-281","DEN","@","NOP",17,0,"25:58",6,11,0.545,4,6,0.667,0,0,NA,1,3,4,4,1,0,0,4,16,14.5,9,31
12,10,"2015-11-18","33-282","DEN","@","SAS",-11,0,"21:10",3,8,0.375,1,4,0.25,0,0,NA,0,2,2,4,0,0,1,3,7,3.8,7,15.5
13,11,"2015-11-20","33-284","DEN","","PHO",-7,0,"24:10",1,8,0.125,0,4,0,0,0,NA,1,1,2,7,0,0,0,2,2,1.9,0,15
14,12,"2015-11-22","33-286","DEN","","GSW",-13,0,"23:59",2,4,0.5,0,1,0,0,0,NA,0,2,2,2,0,0,4,3,4,-1.2,-12,7.5
15,13,"2015-11-24","33-288","DEN","","LAC",-17,0,"24:26",1,5,0.2,0,1,0,0,0,NA,0,1,1,3,0,0,1,1,2,-0.1,1,7.3
16,14,"2015-11-27","33-291","DEN","","SAS",-11,0,"21:37",5,10,0.5,2,4,0.5,0,0,NA,0,1,1,2,0,0,1,3,12,6.5,-4,16.8
17,15,"2015-11-28","33-292","DEN","@","DAL",-11,0,"17:13",1,4,0.25,0,2,0,0,0,NA,0,2,2,3,1,0,2,1,2,0.9,-5,10
18,16,"2015-11-30","33-294","DEN","@","MIL",-18,0,"24:44",3,7,0.429,0,3,0,0,0,NA,0,1,1,4,2,0,2,5,6,3.4,-7,16.3
