"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","23-162","UTA","@","DET",-5,1,"26:27",3,6,0.5,2,2,1,0,0,NA,0,1,1,3,0,0,1,1,8,6,12,14.3
2,2,"2015-10-30","23-164","UTA","@","PHI",28,1,"20:32",2,5,0.4,2,2,1,1,2,0.5,0,0,0,3,3,0,0,2,7,8.2,14,18.5
3,3,"2015-10-31","23-165","UTA","@","IND",21,1,"19:46",0,5,0,0,1,0,0,0,NA,2,0,2,2,0,0,3,1,0,-4.1,17,4
4,4,"2015-11-04","23-169","UTA","","POR",-16,1,"15:26",2,5,0.4,2,5,0.4,0,0,NA,1,2,3,0,1,0,1,0,6,4.6,-10,12.3
5,5,"2015-11-05","23-170","UTA","@","DEN",12,1,"12:36",1,4,0.25,0,2,0,0,0,NA,0,1,1,0,1,1,0,2,2,0.8,-5,7.3
6,6,"2015-11-07","23-172","UTA","","MEM",10,1,"12:25",2,7,0.286,0,4,0,0,0,NA,0,2,2,2,0,0,1,0,4,0.9,3,9
7,7,"2015-11-10","23-175","UTA","@","CLE",-4,1,"12:33",0,2,0,0,1,0,0,0,NA,0,0,0,5,2,0,0,3,0,2.9,4,11.5
8,8,"2015-11-12","23-177","UTA","@","MIA",-1,1,"15:46",0,3,0,0,1,0,0,0,NA,0,0,0,1,1,0,1,4,0,-3,-6,3
9,9,"2015-11-13","23-178","UTA","@","ORL",-9,1,"23:50",2,5,0.4,1,2,0.5,0,0,NA,0,1,1,7,2,0,2,1,5,7.1,-5,20.3
10,10,"2015-11-15","23-180","UTA","@","ATL",1,1,"11:36",1,2,0.5,0,1,0,0,0,NA,0,1,1,1,0,0,1,0,2,1,-1,4.3
11,11,"2015-11-18","23-183","UTA","","TOR",4,1,"17:41",3,5,0.6,0,1,0,0,0,NA,0,0,0,2,2,0,2,1,6,4.7,9,12
12,12,"2015-11-20","23-185","UTA","@","DAL",-9,1,"15:08",3,7,0.429,2,4,0.5,0,0,NA,0,2,2,1,0,0,2,3,8,2.4,-10,12
13,13,"2015-11-23","23-188","UTA","","OKC",-22,1,"22:57",2,6,0.333,0,1,0,2,3,0.667,1,2,3,2,1,0,0,4,6,4.3,3,14.8
14,14,"2015-11-25","23-190","UTA","@","LAC",11,1,"25:54",4,6,0.667,1,2,0.5,1,2,0.5,0,1,1,6,3,0,1,3,10,12.3,9,26.3
15,15,"2015-11-28","23-193","UTA","","NOP",14,1,"17:33",2,6,0.333,0,1,0,0,0,NA,0,2,2,3,2,0,1,3,4,3.1,2,14.5
16,16,"2015-11-30","23-195","UTA","","GSW",-3,1,"14:40",0,6,0,0,1,0,0,0,NA,0,1,1,2,0,0,1,1,0,-3.9,-1,3.8
17,17,"2015-12-03","23-198","UTA","","ORL",-9,1,"11:34",1,3,0.333,1,1,1,1,1,1,0,3,3,1,0,0,2,2,4,1.1,-8,8.8
18,18,"2015-12-05","23-200","UTA","","IND",3,1,"18:24",5,8,0.625,2,3,0.667,1,1,1,0,2,2,1,1,0,2,2,13,8.9,-1,19
19,19,"2015-12-08","23-203","UTA","@","SAC",-8,1,"10:58",2,5,0.4,1,3,0.333,0,0,NA,0,0,0,1,0,0,2,1,5,0.6,-11,6
20,20,"2015-12-09","23-204","UTA","","NYK",21,1,"22:59",1,4,0.25,1,3,0.333,0,0,NA,0,2,2,6,2,0,2,0,3,5.4,15,18
21,21,"2015-12-11","23-206","UTA","","OKC",-4,1,"10:05",1,3,0.333,0,2,0,0,0,NA,0,2,2,0,0,0,1,0,2,-0.1,-10,4
23,22,"2015-12-14","23-209","UTA","@","SAS",-37,1,"21:26",5,7,0.714,2,2,1,0,0,NA,0,3,3,1,1,0,2,1,12,9.3,-14,19.3
24,23,"2015-12-16","23-211","UTA","","NOP",-10,0,"10:06",3,3,1,2,2,1,0,0,NA,0,0,0,2,0,0,0,0,8,8.5,2,12
25,24,"2015-12-18","23-213","UTA","","DEN",9,1,"14:36",3,5,0.6,1,2,0.5,1,1,1,0,1,1,0,0,0,1,2,8,4.2,-10,9.3
26,25,"2015-12-21","23-216","UTA","","PHO",21,1,"19:55",4,8,0.5,1,3,0.333,0,0,NA,1,3,4,3,1,0,2,1,9,7.3,22,20
27,26,"2015-12-23","23-218","UTA","@","GSW",-18,1,"15:29",1,2,0.5,0,0,NA,0,0,NA,0,2,2,0,2,0,2,1,2,1.2,-4,7.5
28,27,"2015-12-26","23-221","UTA","","LAC",-5,1,"29:47",4,9,0.444,1,3,0.333,0,0,NA,0,1,1,4,3,0,3,4,9,5.8,7,21.3
29,28,"2015-12-28","23-223","UTA","","PHI",4,1,"24:45",2,3,0.667,1,1,1,2,2,1,0,1,1,1,1,1,2,3,7,5.2,4,13.3
30,29,"2015-12-30","23-225","UTA","@","MIN",-14,1,"10:50",1,6,0.167,0,4,0,0,0,NA,1,0,1,2,0,0,3,2,2,-3.5,-12,4.8
31,30,"2015-12-31","23-226","UTA","","POR",13,1,"18:38",3,5,0.6,1,2,0.5,0,0,NA,2,2,4,1,0,0,0,1,7,7,1,14
32,31,"2016-01-02","23-228","UTA","","MEM",5,1,"19:30",1,7,0.143,0,3,0,0,0,NA,0,1,1,2,0,0,1,1,2,-2.2,-6,5.8
33,32,"2016-01-04","23-230","UTA","","HOU",-2,1,"18:53",1,4,0.25,0,1,0,2,2,1,0,1,1,2,0,0,0,0,4,3.3,-6,8.3
34,33,"2016-01-06","23-232","UTA","@","SAS",-25,1,"23:42",2,8,0.25,1,2,0.5,2,2,1,1,1,2,2,0,0,2,2,7,1.8,-22,12
35,34,"2016-01-07","23-233","UTA","@","HOU",-9,1,"23:59",2,3,0.667,1,2,0.5,0,0,NA,0,2,2,7,2,0,3,1,5,7.8,-1,21
36,35,"2016-01-09","23-235","UTA","","MIA",15,1,"33:09",5,10,0.5,1,3,0.333,2,2,1,0,2,2,5,3,0,2,2,13,12.3,14,28.5
37,36,"2016-01-10","23-236","UTA","@","LAL",12,1,"26:28",3,5,0.6,1,1,1,0,0,NA,0,1,1,2,1,0,3,0,7,4.4,0,12.3
38,37,"2016-01-13","23-239","UTA","@","POR",-14,1,"25:52",1,6,0.167,1,3,0.333,1,2,0.5,1,0,1,2,0,0,1,0,4,0.9,-9,8.3
39,38,"2016-01-14","23-240","UTA","","SAC",-2,1,"20:18",5,9,0.556,2,4,0.5,1,4,0.25,0,2,2,4,1,0,3,4,13,7.3,-10,23
40,39,"2016-01-16","23-242","UTA","","LAL",27,1,"25:14",3,6,0.5,1,1,1,1,1,1,0,0,0,2,2,0,1,3,8,6.2,14,15
41,40,"2016-01-18","23-244","UTA","@","CHO",-5,1,"22:16",2,8,0.25,2,6,0.333,2,2,1,0,0,0,3,0,0,0,1,8,4.9,4,13.5
42,41,"2016-01-20","23-246","UTA","@","NYK",-7,1,"22:11",2,5,0.4,1,1,1,0,0,NA,2,0,2,3,0,0,0,1,5,5.4,-3,12.5
43,42,"2016-01-22","23-248","UTA","@","BRK",22,1,"24:31",5,6,0.833,0,1,0,0,0,NA,0,2,2,2,0,0,1,3,10,7.6,15,15
44,43,"2016-01-25","23-251","UTA","","DET",-3,1,"6:12",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,1,0,0,-1.7,-6,-0.5
45,44,"2016-01-27","23-253","UTA","","CHO",29,1,"20:25",0,7,0,0,4,0,0,0,NA,0,1,1,2,0,0,1,3,0,-5.4,-6,3.8
46,45,"2016-01-29","23-255","UTA","","MIN",13,1,"25:23",3,5,0.6,1,1,1,2,2,1,0,1,1,6,0,0,1,0,9,10.2,-1,19.3
47,46,"2016-02-01","23-258","UTA","","CHI",9,1,"31:51",6,8,0.75,2,2,1,0,2,0,0,3,3,2,1,0,2,2,14,10.5,18,22.8
48,47,"2016-02-03","23-260","UTA","","DEN",4,1,"26:55",3,9,0.333,2,4,0.5,2,2,1,0,4,4,4,0,0,2,3,10,5.7,3,21
49,48,"2016-02-05","23-262","UTA","","MIL",3,1,"33:04",3,8,0.375,1,3,0.333,1,2,0.5,0,3,3,4,1,0,2,2,8,5.1,9,19.3
50,49,"2016-02-06","23-263","UTA","@","PHO",9,1,"37:14",6,12,0.5,1,2,0.5,0,0,NA,1,1,2,4,1,0,2,3,13,8.6,12,23
51,50,"2016-02-09","23-266","UTA","@","DAL",2,1,"18:47",3,4,0.75,1,2,0.5,1,2,0.5,0,0,0,2,1,0,1,6,8,5,7,13
