"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
3,1,"2015-11-01","25-328","ORL","@","CHI",-5,0,"4:06",0,1,0,0,0,NA,0,0,NA,0,1,1,0,0,0,1,1,0,-1.8,6,0.8
10,2,"2015-11-13","25-340","ORL","","UTA",9,0,"2:59",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,1,0,1,0,-0.4,-9,2
12,3,"2015-11-18","25-345","ORL","","MIN",3,0,"21:33",3,12,0.25,2,3,0.667,0,0,NA,2,5,7,0,0,0,0,2,8,2.9,17,17.8
13,4,"2015-11-21","25-348","ORL","","SAC",-6,0,"7:21",2,5,0.4,0,0,NA,0,0,NA,2,0,2,1,0,0,0,1,4,3,-4,8
14,5,"2015-11-23","25-350","ORL","@","CLE",-14,0,"24:15",6,9,0.667,3,5,0.6,3,3,1,1,7,8,0,1,0,2,4,18,14.3,-4,30.5
15,6,"2015-11-25","25-352","ORL","","NYK",9,0,"24:56",3,9,0.333,1,4,0.25,0,0,NA,0,2,2,1,0,1,0,1,7,3.5,9,13.5
16,7,"2015-11-27","25-354","ORL","","MIL",24,0,"25:14",1,7,0.143,1,4,0.25,0,0,NA,1,6,7,1,0,2,2,1,3,0.7,4,16.8
17,8,"2015-11-29","25-356","ORL","","BOS",19,0,"23:29",6,9,0.667,2,4,0.5,0,0,NA,2,6,8,0,0,2,0,0,14,14.7,15,29
18,9,"2015-12-01","25-358","ORL","@","MIN",3,0,"31:00",6,11,0.545,0,1,0,3,4,0.75,2,4,6,0,0,0,1,0,15,10.9,-5,22
19,10,"2015-12-03","25-360","ORL","@","UTA",9,0,"23:58",6,10,0.6,2,4,0.5,0,0,NA,1,1,2,0,1,0,1,1,14,10,3,19
20,11,"2015-12-05","25-362","ORL","@","LAC",-2,0,"22:56",2,5,0.4,2,3,0.667,0,0,NA,0,7,7,1,0,0,1,0,6,5.1,10,16.8
21,12,"2015-12-08","26-000","ORL","@","DEN",11,0,"20:54",4,7,0.571,0,1,0,0,0,NA,2,12,14,0,0,0,3,2,8,5.9,-4,24
22,13,"2015-12-09","26-001","ORL","@","PHO",-3,0,"13:30",3,5,0.6,1,1,1,2,2,1,0,3,3,0,0,0,1,5,9,4.6,6,12.8
23,14,"2015-12-11","26-003","ORL","","CLE",-35,0,"23:09",4,7,0.571,0,2,0,0,0,NA,0,6,6,0,0,1,1,2,8,5.4,-7,17
24,15,"2015-12-14","26-006","ORL","@","BRK",23,0,"24:40",6,9,0.667,2,5,0.4,1,2,0.5,0,3,3,0,2,0,2,2,15,10.8,5,22.8
25,16,"2015-12-16","26-008","ORL","","CHO",15,0,"17:35",2,4,0.5,1,2,0.5,2,2,1,0,1,1,0,0,1,1,3,7,3.8,-8,10.3
26,17,"2015-12-18","26-010","ORL","","POR",8,0,"24:53",3,9,0.333,0,2,0,2,3,0.667,2,2,4,0,0,0,1,2,8,2.7,-4,12.5
27,18,"2015-12-20","26-012","ORL","","ATL",-3,0,"17:16",2,4,0.5,1,2,0.5,7,7,1,1,5,6,0,1,1,3,3,12,9.7,-5,22.5
28,19,"2015-12-21","26-013","ORL","@","NYK",8,0,"12:26",2,8,0.25,1,2,0.5,0,0,NA,0,1,1,0,0,0,0,1,5,0.1,2,6.8
29,20,"2015-12-23","26-015","ORL","","HOU",3,0,"8:10",1,3,0.333,1,2,0.5,0,0,NA,0,0,0,0,0,0,1,0,3,0.3,-1,3
30,21,"2015-12-26","26-018","ORL","","MIA",-7,0,"7:55",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,1,0,-0.1,-2,1.3
31,22,"2015-12-28","26-020","ORL","","NOP",15,0,"20:33",6,10,0.6,1,2,0.5,0,3,0,1,4,5,1,1,0,0,2,13,10,3,23.3
32,23,"2015-12-30","26-022","ORL","","BRK",7,0,"7:17",3,5,0.6,0,1,0,0,0,NA,1,0,1,0,0,0,1,0,6,3.4,0,6.8
33,24,"2016-01-01","26-024","ORL","@","WAS",-12,0,"10:16",3,4,0.75,0,1,0,2,2,1,0,1,1,0,0,0,0,0,8,6.7,4,9.3
34,25,"2016-01-02","26-025","ORL","@","CLE",-25,0,"27:34",2,6,0.333,1,3,0.333,1,2,0.5,1,5,6,0,0,0,0,3,6,3.2,-9,14
35,26,"2016-01-04","26-027","ORL","@","DET",-26,0,"21:11",6,10,0.6,2,3,0.667,0,0,NA,1,6,7,1,0,0,1,0,14,11.6,-1,24.8
36,27,"2016-01-06","26-029","ORL","","IND",-9,0,"23:17",2,7,0.286,0,4,0,0,0,NA,2,4,6,2,0,1,2,0,4,2.6,5,15.5
37,28,"2016-01-08","26-031","ORL","@","BRK",6,0,"9:14",0,4,0,0,3,0,0,0,NA,0,5,5,2,0,0,1,1,0,-1.3,-2,8.8
38,29,"2016-01-09","26-032","ORL","","WAS",-6,0,"1:45",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,1,0,-0.1,4,1.3
39,30,"2016-01-14","26-037","ORL","","TOR",-3,0,"3:06",0,2,0,0,2,0,0,0,NA,0,0,0,0,0,0,0,2,0,-2.2,-12,0
40,31,"2016-01-18","26-041","ORL","@","ATL",-17,0,"9:19",0,3,0,0,1,0,0,0,NA,1,1,2,1,0,0,1,2,0,-2.2,-5,3.5
42,32,"2016-01-22","26-045","ORL","","CHO",-4,0,"4:58",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0.3,-3,1.3
