"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-27","30-244","CHI","","CLE",2,0,"17:07",0,0,NA,0,0,NA,0,2,0,2,7,9,4,1,0,1,1,0,5.1,1,18.8
2,2,"2015-10-28","30-245","CHI","@","BRK",15,0,"17:46",0,3,0,0,0,NA,0,2,0,1,5,6,2,2,1,2,5,0,-0.6,-8,15.5
3,3,"2015-10-30","30-247","CHI","@","DET",-4,0,"17:27",1,1,1,0,0,NA,0,2,0,0,3,3,2,0,1,2,0,2,1.9,2,9.8
4,4,"2015-11-01","30-249","CHI","","ORL",5,0,"24:18",3,6,0.5,0,0,NA,2,2,1,3,6,9,4,1,1,2,3,8,10.2,-3,28.3
5,5,"2015-11-03","30-251","CHI","@","CHO",-25,0,"17:03",0,1,0,0,0,NA,0,0,NA,0,5,5,2,0,0,4,4,0,-3.4,-22,7.3
6,6,"2015-11-05","30-253","CHI","","OKC",6,0,"25:57",2,5,0.4,0,0,NA,0,0,NA,4,3,7,5,0,1,1,4,4,6.6,16,21.8
7,7,"2015-11-07","30-255","CHI","","MIN",-9,0,"24:41",1,6,0.167,0,0,NA,1,2,0.5,5,6,11,7,1,1,3,4,3,6.1,-2,29.8
9,8,"2015-11-13","30-261","CHI","","CHO",5,0,"22:53",1,4,0.25,0,0,NA,1,2,0.5,7,11,18,6,1,1,0,3,3,13.1,11,38.5
10,9,"2015-11-16","30-264","CHI","","IND",1,0,"21:04",4,7,0.571,0,0,NA,0,1,0,0,6,6,4,1,0,0,2,8,9.1,-2,23.5
11,10,"2015-11-18","30-266","CHI","@","PHO",6,0,"20:08",0,2,0,0,0,NA,0,0,NA,2,9,11,2,0,1,3,3,0,0.6,5,17.3
12,11,"2015-11-20","30-268","CHI","@","GSW",-12,0,"17:13",0,3,0,0,0,NA,0,0,NA,5,2,7,0,1,0,4,2,0,-1.8,-15,8.8
13,12,"2015-11-24","30-272","CHI","@","POR",5,0,"20:12",3,6,0.5,0,0,NA,1,2,0.5,0,6,6,1,0,2,1,3,7,5.3,5,19.5
14,13,"2015-11-27","30-275","CHI","@","IND",-12,0,"18:47",0,2,0,0,0,NA,0,0,NA,1,4,5,0,0,2,2,2,0,-0.9,-6,9.3
15,14,"2015-11-30","30-278","CHI","","SAS",3,0,"23:06",4,6,0.667,0,0,NA,0,2,0,4,7,11,7,0,0,0,5,8,12.4,10,32.3
16,15,"2015-12-02","30-280","CHI","","DEN",9,0,"34:55",3,5,0.6,0,0,NA,3,4,0.75,5,6,11,1,0,4,3,3,9,10.9,-3,30.8
17,16,"2015-12-05","30-283","CHI","","CHO",-6,0,"22:05",0,3,0,0,0,NA,2,2,1,2,8,10,6,0,1,2,1,2,6.2,0,24.5
18,17,"2015-12-07","30-285","CHI","","PHO",-2,0,"20:48",1,3,0.333,0,0,NA,1,4,0.25,2,7,9,6,1,0,1,0,3,7.8,-1,24.8
19,18,"2015-12-09","30-287","CHI","@","BOS",-5,0,"20:49",2,5,0.4,0,0,NA,1,2,0.5,2,3,5,6,2,1,2,2,5,8.3,-18,25.3
20,19,"2015-12-10","30-288","CHI","","LAC",3,0,"20:08",1,5,0.2,0,0,NA,0,0,NA,6,7,13,2,1,2,3,3,2,4.8,-1,25.8
21,20,"2015-12-12","30-290","CHI","","NOP",4,0,"29:33",3,4,0.75,0,0,NA,4,4,1,3,6,9,2,0,4,0,4,10,14.9,6,32.3
22,21,"2015-12-14","30-292","CHI","","PHI",19,0,"21:59",2,7,0.286,0,1,0,1,2,0.5,3,12,15,8,1,2,1,3,5,12,14,41.3
23,22,"2015-12-16","30-294","CHI","","MEM",13,0,"29:26",1,4,0.25,0,0,NA,1,4,0.25,2,4,6,5,0,1,2,4,3,2.6,7,19
24,23,"2015-12-18","30-296","CHI","","DET",-3,0,"25:40",3,5,0.6,0,0,NA,0,0,NA,5,6,11,4,1,0,3,1,6,9.4,-10,26.3
25,24,"2015-12-19","30-297","CHI","@","NYK",-16,1,"28:32",9,16,0.563,0,0,NA,3,4,0.75,6,4,10,2,1,0,1,1,21,19.4,-15,39.5
26,25,"2015-12-21","30-299","CHI","","BRK",-3,0,"15:56",2,4,0.5,0,0,NA,0,0,NA,3,5,8,8,0,2,0,3,4,11.4,1,30
36,26,"2016-01-11","30-320","CHI","","WAS",-14,0,"18:49",0,7,0,0,0,NA,0,0,NA,4,5,9,4,1,0,2,3,0,0,-9,18.3
37,27,"2016-01-12","30-321","CHI","@","MIL",-5,0,"15:02",1,3,0.333,0,0,NA,1,2,0.5,4,3,7,2,0,0,0,3,3,4.8,-5,14.8
38,28,"2016-01-14","30-323","CHI","@","PHI",4,1,"38:12",3,8,0.375,0,0,NA,0,0,NA,5,11,16,8,2,1,7,3,6,8.5,11,40.5
39,29,"2016-01-15","30-324","CHI","","DAL",-6,0,"5:51",1,2,0.5,0,0,NA,0,0,NA,1,1,2,0,0,0,0,2,2,1.2,-4,4.5
