"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","21-201","PHI","@","BOS",-17,1,"35:02",5,13,0.385,0,0,NA,4,7,0.571,3,10,13,2,3,2,3,4,14,12,-2,43.3
2,2,"2015-10-30","21-203","PHI","","UTA",-28,1,"35:49",2,12,0.167,0,0,NA,4,4,1,4,6,10,2,0,2,2,3,8,4.6,-20,26.5
3,3,"2015-11-02","21-206","PHI","","CLE",-7,1,"33:27",7,13,0.538,0,0,NA,0,2,0,3,5,8,2,1,3,4,2,14,10.2,-13,33
4,4,"2015-11-04","21-208","PHI","@","MIL",-4,1,"33:03",8,16,0.5,0,0,NA,1,2,0.5,5,7,12,1,1,1,3,5,17,11.6,9,37.5
5,5,"2015-11-06","21-210","PHI","@","CLE",-6,1,"35:41",9,18,0.5,0,0,NA,0,0,NA,3,9,12,2,5,2,3,1,18,18.2,-7,50
6,6,"2015-11-07","21-211","PHI","","ORL",-8,1,"21:20",1,4,0.25,0,0,NA,0,0,NA,1,3,4,0,0,1,4,3,2,-3.3,-3,7
9,7,"2015-11-13","21-217","PHI","@","OKC",-17,1,"31:59",4,12,0.333,0,0,NA,5,6,0.833,2,9,11,2,2,0,4,1,13,8.9,-14,33.3
10,8,"2015-11-14","21-218","PHI","@","SAS",-9,1,"31:28",2,8,0.25,0,0,NA,2,4,0.5,0,3,3,2,2,0,3,3,6,0.5,-21,15.3
11,9,"2015-11-16","21-220","PHI","","DAL",-6,1,"38:23",5,12,0.417,0,0,NA,2,4,0.5,2,10,12,1,2,1,5,3,12,6.4,-4,33.5
12,10,"2015-11-18","21-222","PHI","","IND",-27,1,"23:38",1,3,0.333,0,0,NA,0,0,NA,1,2,3,0,0,0,2,0,2,-0.4,-23,4.8
13,11,"2015-11-20","21-224","PHI","@","CHO",-25,0,"27:01",7,9,0.778,0,0,NA,2,4,0.5,1,8,9,0,0,0,2,3,16,11.6,-6,26.3
14,12,"2015-11-21","21-225","PHI","@","MIA",-5,1,"30:10",4,9,0.444,0,0,NA,2,4,0.5,3,5,8,2,2,0,2,5,10,7.5,-22,26
15,13,"2015-11-23","21-227","PHI","@","MIN",-5,1,"32:01",2,6,0.333,0,0,NA,3,3,1,0,5,5,0,2,1,3,3,7,3.6,-7,17.8
16,14,"2015-11-25","21-229","PHI","@","BOS",-4,1,"34:04",1,7,0.143,0,0,NA,1,2,0.5,1,7,8,2,0,1,1,3,3,0.8,-20,17.5
19,15,"2015-12-01","21-235","PHI","","LAL",12,0,"26:19",5,7,0.714,0,0,NA,4,6,0.667,2,7,9,3,1,0,3,1,14,13.5,1,30.3
20,16,"2015-12-02","21-236","PHI","@","NYK",-12,1,"32:20",3,11,0.273,0,0,NA,0,2,0,1,5,6,0,2,0,4,0,6,-1.1,-13,15.5
