"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
7,1,"2015-11-08","23-105","TOR","@","MIA",-20,0,"3:26",1,1,1,0,0,NA,1,1,1,0,0,0,0,1,0,0,0,3,3.7,0,5
9,2,"2015-11-11","23-108","TOR","@","PHI",16,0,"1:11",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,1,0,0,0,0.7,-2,2
18,3,"2015-11-29","23-126","TOR","","PHO",-5,0,"5:59",1,2,0.5,0,1,0,0,0,NA,1,1,2,0,1,0,0,0,2,3,-9,6.5
19,4,"2015-12-02","23-129","TOR","@","ATL",10,0,"16:28",2,2,1,0,0,NA,0,0,NA,0,7,7,0,0,1,0,0,4,6.2,22,14.8
20,5,"2015-12-03","23-130","TOR","","DEN",-1,0,"15:49",3,3,1,0,0,NA,0,0,NA,0,1,1,0,1,0,0,1,6,6,3,9.3
21,6,"2015-12-05","23-132","TOR","","GSW",-3,0,"24:50",7,9,0.778,0,0,NA,0,0,NA,2,2,4,3,1,0,1,2,14,13.8,1,25
25,7,"2015-12-13","23-140","TOR","","PHI",20,0,"14:55",1,4,0.25,0,0,NA,1,2,0.5,1,1,2,0,2,1,1,4,3,1.3,-8,11
26,8,"2015-12-14","23-141","TOR","@","IND",-16,0,"7:57",0,0,NA,0,0,NA,0,0,NA,1,0,1,0,0,1,2,3,0,-1.8,-5,2.3
27,9,"2015-12-17","23-144","TOR","@","CHO",-10,0,"5:28",1,1,1,0,0,NA,1,2,0.5,2,1,3,0,0,0,0,0,3,4,-5,6.8
30,10,"2015-12-22","23-149","TOR","","DAL",4,0,"7:54",0,0,NA,0,0,NA,1,2,0.5,0,0,0,0,0,0,0,2,1,-0.2,-4,1
31,11,"2015-12-26","23-153","TOR","@","MIL",21,0,"3:31",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,2,0,-0.8,0,0
36,12,"2016-01-04","23-162","TOR","@","CLE",-22,0,"2:56",1,1,1,0,0,NA,0,0,NA,0,1,1,0,1,0,0,0,2,3,-4,5.3
37,13,"2016-01-06","23-164","TOR","@","BRK",17,0,"1:48",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-0.4,1,0
41,14,"2016-01-18","23-176","TOR","","BRK",12,0,"0:46",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0.3,0,1.3
45,15,"2016-01-26","23-184","TOR","","WAS",17,0,"1:37",1,1,1,1,1,1,0,0,NA,0,0,0,0,0,0,0,0,3,2.7,0,3.5
48,16,"2016-02-01","23-190","TOR","@","DEN",-19,0,"13:57",1,2,0.5,0,0,NA,2,2,1,1,0,1,0,2,1,1,3,4,4.2,-3,10.8
51,17,"2016-02-08","23-197","TOR","@","DET",14,0,"1:45",0,1,0,0,0,NA,0,0,NA,1,0,1,0,0,0,0,1,0,-0.4,-7,1.3
52,18,"2016-02-10","23-199","TOR","@","MIN",-5,0,"4:02",1,2,0.5,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,2,1.3,-1,3.3
55,19,"2016-02-22","23-211","TOR","@","NYK",27,0,"3:21",0,1,0,0,0,NA,0,0,NA,1,0,1,0,0,0,0,0,0,0,3,1.3
58,20,"2016-02-28","23-217","TOR","@","DET",-13,0,"5:52",0,0,NA,0,0,NA,0,0,NA,1,0,1,0,0,0,0,1,0,0.3,13,1.3
59,21,"2016-03-02","23-220","TOR","","UTA",10,0,"4:30",1,1,1,0,0,NA,0,0,NA,2,2,4,0,0,0,1,1,2,2.3,11,6.5
66,22,"2016-03-15","23-233","TOR","@","MIL",18,0,"3:31",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,0,-1,0,-0.5
68,23,"2016-03-18","23-236","TOR","","BOS",14,0,"6:45",1,2,0.5,0,0,NA,0,2,0,2,0,2,0,0,2,1,0,2,2,-5,8
72,24,"2016-03-26","23-244","TOR","@","NOP",24,0,"2:42",0,0,NA,0,0,NA,2,2,1,0,0,0,0,0,0,0,0,2,2,3,2
73,25,"2016-03-28","23-246","TOR","","OKC",-19,0,"3:15",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,4,0
78,26,"2016-04-07","23-256","TOR","@","ATL",-8,0,"4:50",0,1,0,0,0,NA,0,0,NA,0,1,1,0,1,0,0,1,0,0.2,2,3.3
79,27,"2016-04-08","23-257","TOR","","IND",13,0,"10:53",1,1,1,0,0,NA,0,2,0,0,1,1,0,0,1,1,1,2,0.5,-1,4.8
81,28,"2016-04-12","23-261","TOR","","PHI",24,0,"9:10",2,2,1,0,0,NA,0,0,NA,0,1,1,1,1,1,0,4,4,4.5,11,10.8
82,29,"2016-04-13","23-262","TOR","@","BRK",7,1,"35:36",3,6,0.5,0,1,0,0,0,NA,3,7,10,3,1,3,2,2,6,9.6,4,30
