"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
9,1,"2015-11-13","32-153","OKC","","PHI",17,0,"1:08",1,1,1,1,1,1,0,0,NA,0,1,1,0,0,0,0,0,3,3,-1,4.8
21,2,"2015-12-08","32-178","OKC","@","MEM",37,0,"5:11",1,4,0.25,1,2,0.5,0,0,NA,0,1,1,0,0,0,0,1,3,0.5,4,4.8
25,3,"2015-12-16","32-186","OKC","","POR",16,0,"2:56",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,-4,0
27,4,"2015-12-19","32-189","OKC","","LAL",40,0,"6:00",1,2,0.5,1,2,0.5,0,0,NA,0,1,1,0,0,0,0,0,3,2.3,0,4.8
29,5,"2015-12-23","32-193","OKC","@","LAL",35,0,"5:46",1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2,1.7,3,2
53,6,"2016-02-08","32-240","OKC","@","PHO",16,0,"1:09",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,2,0
54,7,"2016-02-11","32-243","OKC","","NOP",26,0,"2:18",2,3,0.667,2,3,0.667,0,0,NA,0,1,1,0,0,0,1,0,6,4,3,7.8
55,8,"2016-02-22","32-254","MIL","","LAL",7,0,"1:24",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,1,0,-1.1,-4,NA
56,9,"2016-02-25","32-257","MIL","@","BOS",-5,0,"7:25",1,3,0.333,1,3,0.333,0,0,NA,0,1,1,0,0,0,0,1,3,1.2,11,4.8
57,10,"2016-02-27","32-259","MIL","","DET",-11,0,"11:00",1,2,0.5,1,2,0.5,1,1,1,0,0,0,0,0,0,0,0,4,3,-7,4.5
