"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","37-131","DAL","@","PHO",16,1,"20:43",5,10,0.5,1,1,1,0,0,NA,1,8,9,3,1,1,0,2,11,12.1,21,31.3
2,2,"2015-10-29","37-132","DAL","@","LAC",-16,1,"25:02",6,15,0.4,1,3,0.333,3,3,1,1,6,7,2,1,0,0,1,16,12.4,-12,30.3
3,3,"2015-11-01","37-135","DAL","@","LAL",10,1,"29:54",10,13,0.769,3,5,0.6,2,2,1,0,9,9,1,1,0,1,3,25,22.1,13,40.8
4,4,"2015-11-03","37-137","DAL","","TOR",-11,1,"35:11",6,10,0.6,3,4,0.75,3,3,1,1,6,7,2,1,1,2,1,18,16.6,-8,34.3
5,5,"2015-11-05","37-139","DAL","","CHO",-14,1,"27:42",4,12,0.333,0,3,0,6,6,1,1,5,6,0,0,0,0,1,14,9,-15,21.5
6,6,"2015-11-07","37-141","DAL","","NOP",9,1,"29:34",8,16,0.5,2,4,0.5,0,1,0,0,7,7,3,0,0,2,0,18,11.8,4,31.3
7,7,"2015-11-10","37-144","DAL","@","NOP",-15,1,"19:48",7,13,0.538,1,5,0.2,3,3,1,0,4,4,2,0,0,1,0,18,13.3,-6,26
8,8,"2015-11-11","37-145","DAL","","LAC",10,1,"33:19",11,14,0.786,5,6,0.833,4,5,0.8,2,9,11,1,0,0,2,5,31,26,19,49.3
9,9,"2015-11-13","37-147","DAL","","LAL",8,1,"28:39",4,13,0.308,1,3,0.333,0,1,0,0,5,5,1,0,1,1,4,9,1.4,-14,18.8
11,10,"2015-11-16","37-150","DAL","@","PHI",6,1,"30:39",6,16,0.375,3,6,0.5,6,6,1,0,5,5,0,1,1,1,4,21,12.8,-4,32.3
12,11,"2015-11-18","37-152","DAL","@","BOS",4,1,"34:03",9,14,0.643,1,2,0.5,4,4,1,0,7,7,1,1,0,2,3,23,17.4,18,34.8
13,12,"2015-11-20","37-154","DAL","","UTA",9,1,"32:01",8,12,0.667,3,3,1,0,0,NA,0,4,4,2,1,3,1,4,19,16.9,15,36
14,13,"2015-11-22","37-156","DAL","@","OKC",-3,1,"34:18",5,7,0.714,0,0,NA,1,2,0.5,1,1,2,3,0,0,1,0,11,9.8,-5,17.5
15,14,"2015-11-24","37-158","DAL","@","MEM",-14,1,"28:59",5,15,0.333,2,5,0.4,2,2,1,0,10,10,0,1,1,0,2,14,9.4,-2,33
16,15,"2015-11-25","37-159","DAL","@","SAS",-5,1,"35:24",5,8,0.625,0,1,0,3,3,1,2,12,14,2,1,0,1,2,13,15,-5,36.5
17,16,"2015-11-28","37-162","DAL","","DEN",11,1,"30:36",4,9,0.444,1,3,0.333,4,4,1,0,7,7,2,3,0,0,1,13,14.4,14,31.3
18,17,"2015-11-30","37-164","DAL","@","SAC",-14,1,"28:46",5,15,0.333,0,4,0,3,4,0.75,1,6,7,0,0,2,0,3,13,6.8,-7,25.8
19,18,"2015-12-01","37-165","DAL","@","POR",3,1,"36:31",11,24,0.458,2,7,0.286,4,4,1,2,5,7,6,0,1,3,1,28,20,18,47.3
20,19,"2015-12-04","37-168","DAL","","HOU",-4,1,"31:20",6,15,0.4,0,3,0,4,4,1,1,9,10,4,2,0,0,2,16,15.3,-10,40
21,20,"2015-12-06","37-170","DAL","@","WAS",12,1,"28:11",5,8,0.625,1,1,1,8,10,0.8,1,5,6,4,0,1,1,0,19,19.3,9,34.5
22,21,"2015-12-07","37-171","DAL","@","NYK",7,1,"32:46",9,18,0.5,2,4,0.5,5,6,0.833,1,5,6,2,0,0,0,0,25,19.2,21,36.5
23,22,"2015-12-09","37-173","DAL","","ATL",-3,1,"31:03",6,20,0.3,1,8,0.125,0,0,NA,3,5,8,2,3,1,2,1,13,7.7,-5,33.5
24,23,"2015-12-12","37-176","DAL","","WAS",-3,1,"31:16",3,9,0.333,1,3,0.333,6,6,1,1,5,6,2,0,2,0,1,13,12.5,5,28
25,24,"2015-12-14","37-178","DAL","","PHO",10,1,"29:17",5,10,0.5,0,1,0,4,5,0.8,1,6,7,4,0,0,2,4,14,10.3,4,27.8
26,25,"2015-12-16","37-180","DAL","@","IND",-26,1,"25:33",6,16,0.375,1,7,0.143,0,0,NA,0,7,7,0,0,2,2,0,13,5.7,-17,25.3
27,26,"2015-12-18","37-182","DAL","","MEM",9,1,"28:16",7,13,0.538,2,3,0.667,4,4,1,2,3,5,1,0,1,1,1,20,16,13,30.3
28,27,"2015-12-22","37-186","DAL","@","TOR",-4,1,"28:07",8,17,0.471,4,9,0.444,0,0,NA,1,6,7,0,0,2,1,1,20,13.8,-11,34.3
29,28,"2015-12-23","37-187","DAL","@","BRK",1,1,"36:49",7,13,0.538,3,5,0.6,5,5,1,0,5,5,3,0,0,1,2,22,17.5,16,33.8
30,29,"2015-12-26","37-190","DAL","","CHI",7,1,"33:24",5,11,0.455,3,7,0.429,3,4,0.75,2,4,6,2,1,0,1,3,16,12.7,28,29.5
31,30,"2015-12-28","37-192","DAL","","MIL",10,1,"28:34",3,15,0.2,1,7,0.143,0,0,NA,0,4,4,4,1,1,1,0,7,2.4,6,22
32,31,"2015-12-30","37-194","DAL","","GSW",23,1,"28:19",6,15,0.4,2,4,0.5,4,4,1,0,8,8,2,1,1,2,2,18,12.6,24,35
33,32,"2016-01-01","37-196","DAL","@","MIA",-24,1,"26:52",4,14,0.286,0,2,0,3,3,1,1,2,3,1,1,0,0,1,11,5.4,-11,18.3
34,33,"2016-01-02","37-197","DAL","","NOP",-7,1,"32:56",8,21,0.381,2,5,0.4,6,8,0.75,0,4,4,3,0,0,0,1,24,14.6,-7,34.5
35,34,"2016-01-05","37-200","DAL","","SAC",1,1,"42:55",8,19,0.421,2,7,0.286,5,6,0.833,0,5,5,3,0,0,1,3,23,13.9,10,34.3
37,35,"2016-01-08","37-203","DAL","@","MIL",-1,1,"35:38",6,17,0.353,4,10,0.4,4,4,1,2,7,9,0,1,1,2,3,20,12.5,15,36.3
38,36,"2016-01-10","37-205","DAL","@","MIN",6,1,"31:42",12,22,0.545,4,7,0.571,1,1,1,1,6,7,1,1,0,0,1,29,22.2,12,43.3
39,37,"2016-01-12","37-207","DAL","","CLE",-3,1,"38:12",7,15,0.467,3,5,0.6,0,0,NA,1,10,11,3,0,0,3,1,17,11.7,7,36.8
41,38,"2016-01-15","37-210","DAL","@","CHI",6,1,"33:23",6,15,0.4,2,5,0.4,7,7,1,1,6,7,0,0,1,1,3,21,13.9,14,32.3
42,39,"2016-01-17","37-212","DAL","@","SAS",-29,1,"24:11",2,10,0.2,0,3,0,0,0,NA,0,5,5,3,0,0,1,0,4,0.4,-11,14.3
43,40,"2016-01-18","37-213","DAL","","BOS",5,1,"34:46",8,21,0.381,3,5,0.6,12,13,0.923,0,11,11,0,2,0,4,4,31,18.8,13,49.8
45,41,"2016-01-22","37-217","DAL","","OKC",-3,1,"29:17",6,15,0.4,2,8,0.25,0,0,NA,0,2,2,1,1,2,1,2,14,7.8,-7,24.5
46,42,"2016-01-24","37-219","DAL","@","HOU",-11,1,"27:21",7,13,0.538,4,6,0.667,1,1,1,0,3,3,0,0,0,1,1,19,12.2,-4,24.3
47,43,"2016-01-26","37-221","DAL","@","LAL",2,1,"30:28",5,14,0.357,0,1,0,3,3,1,0,6,6,1,0,0,0,5,13,5.7,18,22
49,44,"2016-01-29","37-224","DAL","","BRK",12,1,"28:56",6,13,0.462,0,2,0,0,0,NA,1,7,8,0,2,4,1,2,12,11.1,2,33.5
51,45,"2016-02-01","37-227","DAL","@","ATL",-15,1,"31:05",4,11,0.364,0,1,0,10,11,0.909,1,2,3,1,2,0,0,2,18,14.7,-5,27.3
52,46,"2016-02-03","37-229","DAL","","MIA",-3,1,"35:28",10,21,0.476,2,2,1,6,7,0.857,0,4,4,1,0,3,0,2,28,20.1,10,41.5
53,47,"2016-02-05","37-231","DAL","","SAS",-26,1,"23:52",4,8,0.5,0,0,NA,2,2,1,0,8,8,0,1,0,2,2,10,6.6,-34,21
54,48,"2016-02-06","37-232","DAL","@","MEM",4,1,"37:25",6,17,0.353,1,6,0.167,5,6,0.833,2,5,7,2,0,1,1,4,18,10.5,7,31.8
55,49,"2016-02-09","37-235","DAL","","UTA",-2,1,"39:44",6,14,0.429,1,6,0.167,4,4,1,0,9,9,0,1,0,1,4,17,10.7,16,30.3
56,50,"2016-02-19","37-245","DAL","@","ORL",-6,1,"38:56",4,16,0.25,2,7,0.286,1,3,0.333,0,3,3,1,1,1,1,2,11,2.1,-7,20.8
57,51,"2016-02-21","37-247","DAL","","PHI",26,1,"26:51",6,14,0.429,5,9,0.556,1,2,0.5,0,7,7,2,1,0,0,3,18,13.5,14,34.3
58,52,"2016-02-24","37-250","DAL","","OKC",-13,1,"34:23",10,16,0.625,2,4,0.5,11,12,0.917,1,5,6,0,2,0,2,4,33,26,-3,44.5
59,53,"2016-02-26","37-252","DAL","","DEN",6,1,"40:10",10,21,0.476,0,3,0,0,0,NA,2,11,13,4,0,1,2,4,20,13.9,16,44.8
60,54,"2016-02-28","37-254","DAL","","MIN",27,1,"17:13",4,8,0.5,2,3,0.667,0,0,NA,0,4,4,1,0,2,1,4,10,6.7,8,21
61,55,"2016-03-01","37-256","DAL","","ORL",13,1,"27:02",7,13,0.538,1,3,0.333,4,5,0.8,0,3,3,2,0,1,0,2,19,14.5,23,28.3
