"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","23-177","ORL","","WAS",-1,1,"35:58",7,20,0.35,1,8,0.125,2,2,1,3,8,11,2,2,0,1,2,17,11.9,-10,39.3
2,2,"2015-10-30","23-179","ORL","","OKC",-3,1,"50:40",8,27,0.296,3,10,0.3,2,2,1,0,13,13,10,3,1,5,5,21,12.9,-9,63.8
3,3,"2015-11-01","23-181","ORL","@","CHI",-5,1,"38:43",5,13,0.385,2,6,0.333,1,2,0.5,0,3,3,5,2,3,0,1,13,13.6,5,35.3
4,4,"2015-11-03","23-183","ORL","@","NOP",9,1,"35:56",4,8,0.5,1,3,0.333,3,3,1,0,7,7,3,0,1,2,2,12,10.1,9,26.8
5,5,"2015-11-04","23-184","ORL","@","HOU",-5,1,"43:36",7,16,0.438,1,5,0.2,3,3,1,0,7,7,3,2,0,1,2,18,14,0,35.3
6,6,"2015-11-06","23-186","ORL","","TOR",5,1,"31:28",7,14,0.5,1,2,0.5,3,4,0.75,0,7,7,6,2,0,1,1,18,17.5,8,39.8
7,7,"2015-11-07","23-187","ORL","@","PHI",8,1,"34:10",6,18,0.333,1,3,0.333,2,2,1,1,4,5,3,2,0,1,0,15,9.8,10,29.8
8,8,"2015-11-09","23-189","ORL","@","IND",-13,1,"37:53",7,18,0.389,1,5,0.2,0,0,NA,0,7,7,2,1,2,4,3,15,5.9,-8,31.3
9,9,"2015-11-11","23-191","ORL","","LAL",2,1,"6:41",1,2,0.5,1,1,1,0,0,NA,0,2,2,1,0,0,0,1,3,2.9,-2,7.5
12,10,"2015-11-18","23-198","ORL","","MIN",3,1,"20:08",0,6,0,0,2,0,1,4,0.25,1,2,3,2,1,1,1,4,1,-2.6,-8,11.3
13,11,"2015-11-21","23-201","ORL","","SAC",-6,1,"25:44",4,11,0.364,2,5,0.4,1,2,0.5,3,3,6,4,0,0,1,2,11,8.5,-15,25
14,12,"2015-11-23","23-203","ORL","@","CLE",-14,1,"25:51",5,12,0.417,0,3,0,0,0,NA,1,2,3,2,1,0,1,2,10,5.5,-15,18.3
15,13,"2015-11-25","23-205","ORL","","NYK",9,0,"26:11",5,15,0.333,1,4,0.25,13,15,0.867,0,4,4,2,0,0,0,1,24,16.9,14,32.5
16,14,"2015-11-27","23-207","ORL","","MIL",24,0,"24:18",7,12,0.583,0,2,0,3,5,0.6,0,6,6,9,1,0,2,0,17,17.7,16,39
17,15,"2015-11-29","23-209","ORL","","BOS",19,0,"30:07",5,12,0.417,2,6,0.333,7,8,0.875,0,8,8,6,2,1,1,4,19,18.9,16,44.5
18,16,"2015-12-01","23-211","ORL","@","MIN",3,0,"27:34",5,11,0.455,1,3,0.333,2,2,1,1,3,4,4,3,2,2,4,13,12.5,-2,33.5
19,17,"2015-12-03","23-213","ORL","@","UTA",9,0,"24:00",5,13,0.385,1,3,0.333,3,3,1,1,6,7,2,0,1,2,3,14,8.3,0,27.3
20,18,"2015-12-05","23-215","ORL","@","LAC",-2,0,"34:27",10,20,0.5,1,3,0.333,3,4,0.75,1,6,7,5,0,3,4,3,24,16.5,6,44.8
21,19,"2015-12-08","23-218","ORL","@","DEN",11,0,"33:07",5,14,0.357,0,4,0,1,2,0.5,0,3,3,3,1,4,4,2,11,4.8,7,27.3
22,20,"2015-12-09","23-219","ORL","@","PHO",-3,0,"28:31",6,14,0.429,2,5,0.4,0,0,NA,0,4,4,5,1,0,2,5,14,8.3,1,28.5
23,21,"2015-12-11","23-221","ORL","","CLE",-35,0,"19:07",2,8,0.25,0,2,0,0,0,NA,1,3,4,1,0,0,4,1,4,-2.9,-10,8.5
24,22,"2015-12-14","23-224","ORL","@","BRK",23,0,"20:21",2,3,0.667,1,2,0.5,5,6,0.833,0,2,2,2,3,1,1,4,10,11.4,8,23.5
25,23,"2015-12-16","23-226","ORL","","CHO",15,0,"25:09",5,9,0.556,1,2,0.5,0,0,NA,0,4,4,4,1,0,3,2,11,7.9,11,23
26,24,"2015-12-18","23-228","ORL","","POR",8,0,"34:51",7,14,0.5,1,2,0.5,0,0,NA,0,4,4,6,3,1,6,4,15,9.5,4,34.5
27,25,"2015-12-20","23-230","ORL","","ATL",-3,0,"27:49",2,11,0.182,0,1,0,0,0,NA,0,0,0,6,2,0,1,3,4,1.1,-3,16.5
28,26,"2015-12-21","23-231","ORL","@","NYK",8,0,"23:45",4,7,0.571,0,0,NA,4,5,0.8,0,2,2,2,0,0,2,1,12,7.9,6,16.5
29,27,"2015-12-23","23-233","ORL","","HOU",3,0,"31:21",0,9,0,0,3,0,0,0,NA,1,6,7,6,0,0,0,1,0,0,6,17.8
30,28,"2015-12-26","23-236","ORL","","MIA",-7,0,"18:01",3,8,0.375,1,3,0.333,1,2,0.5,0,2,2,4,0,0,2,1,8,4.2,-2,16
31,29,"2015-12-28","23-238","ORL","","NOP",15,0,"25:30",2,7,0.286,0,1,0,0,0,NA,0,0,0,6,1,0,2,1,4,2.7,1,14
32,30,"2015-12-30","23-240","ORL","","BRK",7,0,"29:21",3,11,0.273,2,5,0.4,4,4,1,2,5,7,3,1,0,5,2,12,5.7,15,25.8
33,31,"2016-01-01","23-242","ORL","@","WAS",-12,0,"31:09",8,18,0.444,2,6,0.333,2,2,1,0,1,1,5,4,0,1,3,20,16.2,-6,37.3
34,32,"2016-01-02","23-243","ORL","@","CLE",-25,0,"13:52",3,11,0.273,0,2,0,0,1,0,0,0,0,2,0,0,0,0,6,0.5,-8,9
35,33,"2016-01-04","23-245","ORL","@","DET",-26,1,"34:38",7,11,0.636,1,1,1,3,3,1,0,7,7,5,2,0,2,3,18,17.5,-16,37.8
36,34,"2016-01-06","23-247","ORL","","IND",-9,1,"40:33",7,13,0.538,4,7,0.571,2,2,1,1,4,5,3,1,1,3,3,20,15.2,-13,35.3
37,35,"2016-01-08","23-249","ORL","@","BRK",6,1,"35:58",7,11,0.636,6,8,0.75,0,0,NA,1,8,9,2,3,1,4,2,20,18.5,9,43.3
38,36,"2016-01-09","23-250","ORL","","WAS",-6,1,"38:43",5,12,0.417,2,4,0.5,5,6,0.833,1,2,3,5,1,1,6,2,17,9.9,-7,30.3
39,37,"2016-01-14","23-255","ORL","","TOR",-3,1,"44:59",10,20,0.5,5,7,0.714,2,2,1,1,5,6,6,2,0,3,3,27,21.2,6,48.5
42,38,"2016-01-22","23-263","ORL","","CHO",-4,1,"42:22",11,19,0.579,5,8,0.625,2,2,1,1,3,4,3,1,0,4,3,29,19.6,-5,41
43,39,"2016-01-25","23-266","ORL","@","MEM",-6,1,"37:16",1,10,0.1,0,4,0,3,3,1,0,4,4,6,0,0,1,3,5,1.6,-10,18.5
44,40,"2016-01-26","23-267","ORL","@","MIL",-7,1,"30:01",3,7,0.429,2,3,0.667,10,11,0.909,0,3,3,5,1,0,3,4,18,14.7,-11,30.8
45,41,"2016-01-29","23-270","ORL","@","BOS",-19,1,"28:20",2,6,0.333,0,2,0,7,9,0.778,1,2,3,2,1,0,0,0,11,10.5,-15,19.8
46,42,"2016-01-31","23-272","ORL","","BOS",5,1,"27:35",5,13,0.385,1,6,0.167,0,0,NA,1,2,3,4,2,0,3,3,11,5.8,0,23.8
47,43,"2016-02-01","23-273","ORL","@","SAS",-15,1,"34:52",6,16,0.375,1,4,0.25,6,6,1,0,3,3,7,5,0,4,3,19,15.8,-11,41.8
48,44,"2016-02-03","23-275","ORL","@","OKC",-3,1,"40:48",13,20,0.65,3,6,0.5,8,8,1,1,6,7,4,1,1,0,4,37,33.6,-4,57.3
49,45,"2016-02-05","23-277","ORL","","LAC",-14,1,"36:11",5,12,0.417,1,4,0.25,7,8,0.875,1,2,3,3,1,0,4,5,18,9.6,-18,26.8
50,46,"2016-02-07","23-279","ORL","","ATL",2,1,"44:25",9,13,0.692,1,3,0.333,0,0,NA,1,4,5,3,1,1,3,0,19,16.2,6,32.8
51,47,"2016-02-08","23-280","ORL","@","ATL",7,1,"30:07",3,12,0.25,1,5,0.2,2,4,0.5,0,4,4,8,1,1,2,2,9,6.7,-6,29.5
52,48,"2016-02-10","23-282","ORL","","SAS",-2,1,"39:37",6,14,0.429,2,4,0.5,0,0,NA,0,3,3,1,2,0,4,1,14,5.8,-1,22.3
53,49,"2016-02-19","23-291","ORL","","DAL",6,1,"41:33",6,18,0.333,3,9,0.333,2,2,1,2,11,13,3,2,0,2,3,17,12.4,15,43.8
54,50,"2016-02-21","23-293","ORL","","IND",-3,1,"41:18",6,17,0.353,0,5,0,5,8,0.625,0,7,7,8,3,2,1,2,17,16.6,-1,47.3
55,51,"2016-02-23","23-295","ORL","@","PHI",9,1,"40:42",6,12,0.5,1,3,0.333,9,9,1,2,2,4,4,3,0,3,0,22,20.8,4,38
56,52,"2016-02-25","23-297","ORL","","GSW",-16,1,"30:03",5,16,0.313,2,5,0.4,2,4,0.5,1,5,6,2,2,0,0,3,14,8.4,-5,29.5
57,53,"2016-02-26","23-298","ORL","@","NYK",-13,1,"35:22",6,14,0.429,2,6,0.333,2,4,0.5,1,5,6,3,1,1,1,2,16,12,1,32.5
58,54,"2016-02-28","23-300","ORL","","PHI",14,1,"43:53",9,17,0.529,2,4,0.5,8,9,0.889,0,1,1,3,4,0,0,3,28,24.5,16,42.8
59,55,"2016-03-01","23-302","ORL","@","DAL",-13,1,"23:51",3,10,0.3,0,3,0,0,0,NA,3,1,4,2,0,0,0,3,6,2.8,-18,14
60,56,"2016-03-02","23-303","ORL","","CHI",13,1,"35:35",6,12,0.5,0,2,0,5,6,0.833,1,6,7,1,1,1,3,1,17,12.1,24,29.8
62,57,"2016-03-07","23-308","ORL","@","GSW",-6,1,"38:46",8,16,0.5,0,3,0,3,3,1,2,7,9,8,1,0,4,3,19,15.9,-7,42.3
