"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
2,1,"2015-10-30","24-194","BOS","","TOR",-10,0,"16:36",4,10,0.4,1,5,0.2,2,3,0.667,1,1,2,0,2,0,0,0,11,8.2,1,18
3,2,"2015-11-01","24-196","BOS","","SAS",-8,0,"13:00",0,3,0,0,3,0,0,0,NA,1,6,7,1,1,1,2,0,0,0.8,6,13.3
4,3,"2015-11-04","24-199","BOS","@","IND",-2,0,"10:32",0,5,0,0,2,0,0,0,NA,1,1,2,0,0,2,1,1,0,-2.5,-3,6
5,4,"2015-11-06","24-201","BOS","","WAS",20,0,"26:55",7,11,0.636,3,5,0.6,2,3,0.667,2,5,7,4,4,1,3,0,19,21.1,29,43.8
6,5,"2015-11-10","24-205","BOS","@","MIL",16,0,"22:03",5,8,0.625,0,1,0,1,1,1,1,0,1,2,0,0,2,3,11,6.3,24,14.3
7,6,"2015-11-11","24-206","BOS","","IND",-11,0,"14:40",1,5,0.2,0,2,0,2,2,1,0,0,0,1,1,0,2,2,4,-0.2,-3,6.5
8,7,"2015-11-13","24-208","BOS","","ATL",13,0,"16:39",6,13,0.462,3,6,0.5,0,0,NA,1,2,3,1,0,2,0,1,15,11.3,-2,25.8
9,8,"2015-11-15","24-210","BOS","@","OKC",15,0,"16:36",3,5,0.6,1,1,1,0,0,NA,2,5,7,1,3,1,2,6,7,7.6,11,24.8
10,9,"2015-11-16","24-211","BOS","@","HOU",16,0,"22:34",3,11,0.273,1,6,0.167,1,2,0.5,3,3,6,2,1,1,3,2,8,3.4,-4,21.5
11,10,"2015-11-18","24-213","BOS","","DAL",-4,0,"13:04",2,6,0.333,1,2,0.5,0,0,NA,1,2,3,0,1,1,0,6,5,2.2,13,13.3
12,11,"2015-11-20","24-215","BOS","","BRK",25,0,"20:49",2,5,0.4,0,2,0,0,0,NA,2,8,10,5,0,0,3,6,4,3.2,5,22.5
13,12,"2015-11-22","24-217","BOS","@","BRK",-10,0,"18:50",2,6,0.333,2,3,0.667,2,2,1,1,1,2,1,1,0,0,3,8,6.1,-1,15
14,13,"2015-11-24","24-219","BOS","@","ATL",-24,0,"15:50",1,3,0.333,0,1,0,0,0,NA,0,2,2,0,2,0,1,2,2,1.1,-12,8
15,14,"2015-11-25","24-220","BOS","","PHI",4,0,"14:24",0,5,0,0,1,0,3,4,0.75,2,1,3,1,0,1,0,0,3,2.2,-8,10.3
16,15,"2015-11-27","24-222","BOS","","WAS",33,0,"20:55",4,7,0.571,4,5,0.8,0,0,NA,1,3,4,2,2,1,0,1,12,14,17,28
17,16,"2015-11-29","24-224","BOS","@","ORL",-19,0,"17:14",1,5,0.2,1,3,0.333,0,0,NA,1,3,4,0,0,0,0,1,3,1.1,-13,8.5
18,17,"2015-11-30","24-225","BOS","@","MIA",10,0,"9:31",1,4,0.25,0,2,0,2,2,1,0,2,2,2,1,0,2,1,4,2.2,-14,10.5
19,18,"2015-12-03","24-228","BOS","@","SAC",17,0,"24:33",9,12,0.75,3,5,0.6,0,0,NA,1,3,4,4,1,0,3,3,21,17.4,6,34
20,19,"2015-12-05","24-230","BOS","@","SAS",-3,0,"12:10",3,6,0.5,0,1,0,0,2,0,0,2,2,1,0,1,1,5,6,1.2,-12,11.5
21,20,"2015-12-07","24-232","BOS","@","NOP",18,0,"27:01",8,13,0.615,2,5,0.4,3,3,1,1,2,3,3,2,2,2,2,21,19.1,-3,37.3
22,21,"2015-12-09","24-234","BOS","","CHI",5,0,"19:54",5,11,0.455,2,5,0.4,3,4,0.75,1,3,4,2,1,1,1,5,15,10.6,14,27.5
23,22,"2015-12-11","24-236","BOS","","GSW",-5,0,"37:07",11,21,0.524,3,6,0.5,3,4,0.75,1,5,6,3,3,1,0,3,28,24.1,-2,49.5
24,23,"2015-12-12","24-237","BOS","@","CHO",5,0,"23:03",4,13,0.308,0,1,0,0,0,NA,0,4,4,0,0,0,1,1,8,0.3,-3,12.5
25,24,"2015-12-15","24-240","BOS","","CLE",-12,0,"21:39",2,7,0.286,1,3,0.333,0,0,NA,1,1,2,0,1,0,0,0,5,2.9,-6,10
26,25,"2015-12-16","24-241","BOS","@","DET",-3,0,"16:23",0,2,0,0,2,0,0,0,NA,0,2,2,2,0,1,0,1,0,0.9,-4,7.5
27,26,"2015-12-18","24-243","BOS","","ATL",-8,0,"15:07",3,5,0.6,1,1,1,1,2,0.5,0,2,2,1,0,0,4,4,8,1,0,10.5
28,27,"2015-12-21","24-246","BOS","","MIN",14,1,"28:47",7,10,0.7,3,3,1,2,4,0.5,2,3,5,1,0,1,1,3,19,15.5,5,29.8
29,28,"2015-12-23","24-248","BOS","@","CHO",13,1,"30:02",7,10,0.7,1,3,0.333,5,6,0.833,1,8,9,3,2,0,3,4,20,18,17,38.8
30,29,"2015-12-26","24-251","BOS","@","DET",6,0,"24:18",4,8,0.5,1,3,0.333,0,2,0,1,6,7,1,0,0,0,3,9,6.2,-7,19.8
31,30,"2015-12-27","24-252","BOS","","NYK",9,0,"21:20",4,9,0.444,1,2,0.5,2,4,0.5,1,8,9,2,2,1,1,5,11,9.7,10,31.3
32,31,"2015-12-30","24-255","BOS","","LAL",-8,0,"20:37",2,5,0.4,1,1,1,0,0,NA,1,2,3,3,1,1,0,4,5,5.8,5,17.8
33,32,"2016-01-02","24-258","BOS","","BRK",-3,0,"12:25",3,5,0.6,1,3,0.333,0,0,NA,0,4,4,0,0,0,2,1,7,3.5,-2,11.5
34,33,"2016-01-04","24-260","BOS","@","BRK",9,1,"33:54",4,11,0.364,1,4,0.25,0,1,0,1,3,4,2,0,1,1,2,9,4.4,11,19
35,34,"2016-01-06","24-262","BOS","","DET",-5,1,"29:17",4,11,0.364,2,4,0.5,0,2,0,3,2,5,4,0,0,1,5,10,5.6,4,22.8
36,35,"2016-01-07","24-263","BOS","@","CHI",-9,1,"32:32",6,14,0.429,2,5,0.4,2,2,1,2,7,9,2,0,0,0,1,16,13.1,-19,31.3
37,36,"2016-01-10","24-266","BOS","@","MEM",-3,1,"21:58",3,8,0.375,0,1,0,0,0,NA,1,5,6,1,2,3,2,3,6,5.4,3,24
38,37,"2016-01-12","24-268","BOS","@","NYK",-6,1,"11:23",2,5,0.4,1,2,0.5,0,0,NA,0,4,4,2,0,0,1,3,5,2.7,-1,13
39,38,"2016-01-13","24-269","BOS","","IND",9,0,"15:16",4,6,0.667,2,3,0.667,1,2,0.5,2,2,4,0,0,0,3,1,11,6.6,-12,15.5
40,39,"2016-01-15","24-271","BOS","","PHO",14,0,"26:32",8,16,0.5,4,6,0.667,1,2,0.5,3,6,9,1,3,1,2,2,21,18.1,9,42.8
41,40,"2016-01-16","24-272","BOS","@","WAS",2,0,"20:31",4,9,0.444,1,4,0.25,2,2,1,1,2,3,1,0,1,0,0,11,9,7,18.8
42,41,"2016-01-18","24-274","BOS","@","DAL",-5,0,"25:47",6,11,0.545,5,6,0.833,0,0,NA,2,3,5,0,1,2,2,4,17,12.8,27,30.8
43,42,"2016-01-20","24-276","BOS","@","TOR",-6,0,"31:03",7,10,0.7,3,5,0.6,1,1,1,1,3,4,4,1,0,0,2,18,18.4,11,32.5
44,43,"2016-01-22","24-278","BOS","","CHI",9,1,"26:26",5,11,0.455,1,1,1,1,1,1,3,6,9,2,0,1,1,5,12,9.3,12,28.3
45,44,"2016-01-24","24-280","BOS","@","PHI",20,0,"15:55",2,5,0.4,0,1,0,1,2,0.5,0,0,0,1,1,0,2,5,5,-0.4,5,7.5
46,45,"2016-01-25","24-281","BOS","@","WAS",25,0,"22:04",3,8,0.375,2,3,0.667,5,6,0.833,1,3,4,2,1,0,2,2,13,9.4,22,23
47,46,"2016-01-27","24-283","BOS","","DEN",8,0,"17:19",6,14,0.429,2,3,0.667,3,3,1,1,6,7,3,0,0,0,3,17,13,12,31.3
48,47,"2016-01-29","24-285","BOS","","ORL",19,0,"20:24",7,12,0.583,1,2,0.5,1,2,0.5,1,3,4,3,0,1,1,2,16,12.6,29,27.5
49,48,"2016-01-31","24-287","BOS","@","ORL",-5,0,"24:33",3,9,0.333,0,5,0,3,4,0.75,1,2,3,3,0,0,1,0,9,5.9,5,16.8
50,49,"2016-02-02","24-289","BOS","@","NYK",8,0,"22:15",5,8,0.625,1,3,0.333,2,2,1,2,3,5,1,0,1,1,3,13,10.9,7,22.8
51,50,"2016-02-03","24-290","BOS","","DET",7,0,"18:57",3,10,0.3,0,4,0,0,0,NA,1,6,7,1,0,0,0,3,6,2.2,7,16.3
52,51,"2016-02-05","24-292","BOS","@","CLE",1,0,"11:58",0,1,0,0,0,NA,2,2,1,0,0,0,0,1,0,1,1,2,0.9,-3,3.5
53,52,"2016-02-07","24-294","BOS","","SAC",9,0,"16:31",4,6,0.667,2,4,0.5,0,0,NA,1,3,4,0,0,0,2,0,10,7,-12,15
54,53,"2016-02-09","24-296","BOS","@","MIL",-1,0,"15:50",5,9,0.556,1,4,0.25,4,4,1,2,1,3,0,1,0,0,3,15,12.2,5,21.3
55,54,"2016-02-10","24-297","BOS","","LAC",5,0,"10:52",1,4,0.25,1,3,0.333,4,4,1,0,2,2,2,0,0,0,3,7,5.4,13,13
68,55,"2016-03-16","24-332","BOS","","OKC",-21,0,"21:40",1,7,0.143,0,2,0,6,7,0.857,1,3,4,1,0,0,1,1,8,4,-22,14
69,56,"2016-03-18","24-334","BOS","@","TOR",-14,0,"29:39",2,7,0.286,1,4,0.25,0,0,NA,1,3,4,3,0,0,2,3,5,1.4,2,14
70,57,"2016-03-20","24-336","BOS","@","PHI",15,0,"20:17",2,8,0.25,0,4,0,0,0,NA,1,1,2,0,0,0,2,1,4,-2.2,-2,5.5
71,58,"2016-03-21","24-337","BOS","","ORL",11,0,"21:26",7,12,0.583,4,6,0.667,4,4,1,2,3,5,2,2,0,0,5,22,20.1,5,37.3
72,59,"2016-03-23","24-339","BOS","","TOR",12,0,"18:08",1,4,0.25,0,1,0,1,2,0.5,0,2,2,1,0,0,0,2,3,0.7,0,7
73,60,"2016-03-26","24-342","BOS","@","PHO",3,0,"22:27",7,10,0.7,2,4,0.5,0,0,NA,1,2,3,0,0,0,2,2,16,10.3,6,19.8
74,61,"2016-03-28","24-344","BOS","@","LAC",-24,0,"22:57",3,9,0.333,2,3,0.667,0,0,NA,1,4,5,1,0,0,0,2,8,4.7,-9,16.8
75,62,"2016-03-31","24-347","BOS","@","POR",-7,0,"17:29",3,6,0.5,2,3,0.667,0,2,0,0,0,0,1,0,1,0,1,8,5.2,-23,12.5
76,63,"2016-04-01","24-348","BOS","@","GSW",3,0,"17:19",2,8,0.25,1,4,0.25,2,2,1,1,1,2,2,1,0,1,2,7,3.8,0,14.5
77,64,"2016-04-03","24-350","BOS","@","LAL",7,0,"13:12",2,4,0.5,0,1,0,0,0,NA,1,0,1,0,0,0,1,2,4,0.9,-2,4.8
78,65,"2016-04-06","24-353","BOS","","NOP",7,0,"11:29",2,6,0.333,1,2,0.5,2,2,1,0,0,0,2,1,0,0,2,7,5.2,-1,12.5
79,66,"2016-04-08","24-355","BOS","","MIL",15,0,"22:36",5,5,1,1,1,1,5,7,0.714,0,7,7,1,2,0,1,2,16,16.7,22,30.3
80,67,"2016-04-09","24-356","BOS","@","ATL",-11,0,"18:44",1,2,0.5,1,1,1,3,4,0.75,0,2,2,3,0,1,1,1,6,6.6,15,15
