"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","31-260","DAL","@","PHO",16,1,"25:00",2,10,0.2,0,0,NA,6,6,1,3,7,10,3,2,1,1,2,10,11,26,34
2,2,"2015-10-29","31-261","DAL","@","LAC",-16,1,"18:22",2,8,0.25,0,0,NA,0,0,NA,5,3,8,1,0,0,1,3,4,2.1,-6,15
3,3,"2015-11-01","31-264","DAL","@","LAL",10,1,"29:17",4,8,0.5,0,0,NA,8,10,0.8,3,9,12,1,0,1,3,4,16,12.8,7,34.5
4,4,"2015-11-03","31-266","DAL","","TOR",-11,1,"28:07",1,4,0.25,0,0,NA,2,2,1,5,2,7,0,0,0,3,5,4,0.7,-21,11.3
5,5,"2015-11-05","31-268","DAL","","CHO",-14,1,"25:40",4,6,0.667,0,0,NA,6,6,1,2,8,10,2,2,1,2,1,14,16.9,-12,36
6,6,"2015-11-07","31-270","DAL","","NOP",9,1,"27:37",3,7,0.429,0,0,NA,3,4,0.75,3,11,14,1,1,0,0,1,9,11.6,0,30
7,7,"2015-11-10","31-273","DAL","@","NOP",-15,1,"20:40",3,6,0.5,0,0,NA,6,6,1,2,3,5,1,2,0,0,1,12,13.6,-7,23.8
8,8,"2015-11-11","31-274","DAL","","LAC",10,1,"30:49",2,6,0.333,0,0,NA,6,8,0.75,3,7,10,3,0,2,2,4,10,9.9,12,31.5
9,9,"2015-11-13","31-276","DAL","","LAL",8,1,"31:02",5,7,0.714,0,0,NA,8,11,0.727,3,13,16,2,0,0,2,3,18,18.1,2,41.5
10,10,"2015-11-14","31-277","DAL","@","HOU",12,1,"30:01",4,6,0.667,0,0,NA,2,6,0.333,2,6,8,3,1,0,0,1,10,11.7,-3,26.5
11,11,"2015-11-16","31-279","DAL","@","PHI",6,1,"29:12",0,1,0,0,0,NA,2,4,0.5,1,5,6,2,1,0,2,3,2,1.9,2,13.5
12,12,"2015-11-18","31-281","DAL","@","BOS",4,1,"31:50",5,7,0.714,0,0,NA,4,4,1,3,9,12,3,0,1,4,3,14,13.5,13,35
13,13,"2015-11-20","31-283","DAL","","UTA",9,1,"38:50",6,11,0.545,0,0,NA,3,4,0.75,4,8,12,4,2,0,1,2,15,17.5,11,41
14,14,"2015-11-22","31-285","DAL","@","OKC",-3,1,"33:36",4,8,0.5,0,0,NA,4,7,0.571,3,7,10,6,1,3,5,5,12,11.3,11,40.5
15,15,"2015-11-24","31-287","DAL","@","MEM",-14,1,"28:22",2,6,0.333,0,1,0,9,10,0.9,2,8,10,3,1,0,3,3,13,11.9,-10,32
16,16,"2015-11-25","31-288","DAL","@","SAS",-5,1,"20:47",1,4,0.25,0,0,NA,2,2,1,0,0,0,0,0,0,1,4,4,-1,-9,3.5
17,17,"2015-11-28","31-291","DAL","","DEN",11,1,"30:36",5,8,0.625,0,0,NA,6,9,0.667,4,8,12,2,3,1,5,2,16,15.7,20,41
18,18,"2015-11-30","31-293","DAL","@","SAC",-14,1,"28:31",4,6,0.667,0,0,NA,5,6,0.833,3,7,10,1,0,0,2,3,13,11.7,-17,27.5
19,19,"2015-12-01","31-294","DAL","@","POR",3,1,"38:03",6,10,0.6,0,0,NA,2,3,0.667,5,16,21,1,1,1,2,4,14,16.1,4,46.3
20,20,"2015-12-04","31-297","DAL","","HOU",-4,1,"29:21",3,7,0.429,0,0,NA,1,2,0.5,7,4,11,2,0,0,1,0,7,9.4,-6,23.3
21,21,"2015-12-06","31-299","DAL","@","WAS",12,1,"24:29",3,6,0.5,0,0,NA,4,5,0.8,2,5,7,1,1,0,4,1,10,6.8,3,20.3
22,22,"2015-12-07","31-300","DAL","@","NYK",7,1,"31:31",3,8,0.375,0,0,NA,2,2,1,3,5,8,2,1,0,0,2,8,8.8,9,23
23,23,"2015-12-09","31-302","DAL","","ATL",-3,1,"37:50",4,5,0.8,0,0,NA,3,4,0.75,7,10,17,1,1,0,2,1,11,15.9,3,36.3
24,24,"2015-12-12","31-305","DAL","","WAS",-3,1,"23:04",5,8,0.625,0,0,NA,0,0,NA,6,6,12,3,0,0,2,1,10,12.1,-11,30
25,25,"2015-12-14","31-307","DAL","","PHO",10,1,"28:25",2,3,0.667,0,0,NA,0,0,NA,4,8,12,0,3,0,5,2,4,5.1,12,22.5
26,26,"2015-12-16","31-309","DAL","@","IND",-26,1,"25:59",2,8,0.25,0,0,NA,1,3,0.333,6,8,14,0,1,0,1,2,5,5.2,-7,24
27,27,"2015-12-18","31-311","DAL","","MEM",9,1,"28:45",4,12,0.333,0,0,NA,2,2,1,6,12,18,1,1,0,2,3,10,9.5,-10,36.5
28,28,"2015-12-22","31-315","DAL","@","TOR",-4,1,"18:24",3,6,0.5,0,0,NA,1,1,1,0,3,3,2,1,1,0,3,7,6.8,-4,17.8
29,29,"2015-12-23","31-316","DAL","@","BRK",1,1,"26:36",2,3,0.667,0,0,NA,4,4,1,2,4,6,1,0,0,0,2,8,9.2,-6,17
30,30,"2015-12-26","31-319","DAL","","CHI",7,1,"29:26",6,13,0.462,0,0,NA,5,5,1,6,6,12,1,0,0,1,5,17,14,16,34.5
31,31,"2015-12-28","31-321","DAL","","MIL",10,1,"35:46",6,12,0.5,0,0,NA,5,8,0.625,2,6,8,2,2,0,0,2,17,15.6,17,34
32,32,"2015-12-30","31-323","DAL","","GSW",23,1,"24:28",5,8,0.625,0,0,NA,4,4,1,8,7,15,2,0,0,2,3,14,16.3,15,36.3
33,33,"2016-01-01","31-325","DAL","@","MIA",-24,1,"25:02",5,9,0.556,0,0,NA,4,5,0.8,4,9,13,1,1,1,2,1,14,14.8,-15,36.3
34,34,"2016-01-02","31-326","DAL","","NOP",-7,1,"34:40",6,11,0.545,0,0,NA,2,2,1,2,7,9,2,4,1,4,2,14,13.5,-11,36.3
35,35,"2016-01-05","31-329","DAL","","SAC",1,1,"40:20",4,11,0.364,0,0,NA,1,2,0.5,6,11,17,0,5,0,3,4,9,10.4,-7,38.8
37,36,"2016-01-08","31-332","DAL","@","MIL",-1,1,"31:56",4,6,0.667,0,0,NA,1,2,0.5,8,7,15,3,1,0,0,4,9,15.2,1,34.3
38,37,"2016-01-10","31-334","DAL","@","MIN",6,1,"32:04",4,9,0.444,0,0,NA,5,5,1,6,5,11,2,0,1,1,3,13,13.9,-5,32.8
39,38,"2016-01-12","31-336","DAL","","CLE",-3,1,"31:50",4,6,0.667,0,0,NA,6,6,1,4,8,12,3,0,1,2,1,14,17,15,36
41,39,"2016-01-15","31-339","DAL","@","CHI",6,1,"34:12",4,10,0.4,0,0,NA,1,2,0.5,2,8,10,4,1,0,2,6,9,6.4,-4,28.5
42,40,"2016-01-17","31-341","DAL","@","SAS",-29,1,"20:39",1,7,0.143,0,0,NA,3,4,0.75,1,6,7,1,1,0,0,4,5,2.7,-14,17.3
43,41,"2016-01-18","31-342","DAL","","BOS",5,1,"35:53",1,4,0.25,0,1,0,3,4,0.75,7,12,19,2,0,0,1,4,5,9.5,17,31.3
44,42,"2016-01-20","31-344","DAL","","MIN",12,1,"33:53",4,7,0.571,0,0,NA,4,4,1,2,2,4,1,3,0,4,4,12,8.8,18,22.5
45,43,"2016-01-22","31-346","DAL","","OKC",-3,1,"25:07",2,5,0.4,0,0,NA,0,0,NA,1,7,8,5,0,0,2,2,4,4.8,-6,20.5
49,44,"2016-01-29","31-353","DAL","","BRK",12,1,"32:09",6,10,0.6,0,0,NA,4,6,0.667,4,8,12,3,0,0,3,2,16,14.1,3,35.5
50,45,"2016-01-31","31-355","DAL","","PHO",13,1,"36:22",3,7,0.429,0,0,NA,3,4,0.75,4,11,15,2,1,0,3,3,9,9.2,11,31.3
51,46,"2016-02-01","31-356","DAL","@","ATL",-15,1,"27:58",1,4,0.25,0,0,NA,2,8,0.25,5,8,13,0,0,0,0,2,4,4.3,-9,20.3
52,47,"2016-02-03","31-358","DAL","","MIA",-3,1,"38:50",4,7,0.571,0,0,NA,2,5,0.4,4,11,15,4,1,0,1,1,10,14,6,37.8
53,48,"2016-02-05","31-360","DAL","","SAS",-26,1,"18:51",1,4,0.25,0,0,NA,2,4,0.5,1,1,2,2,0,0,2,2,4,0.4,-11,8.5
54,49,"2016-02-06","31-361","DAL","@","MEM",4,1,"30:44",1,5,0.2,0,0,NA,2,3,0.667,2,4,6,2,2,0,1,5,4,3.5,1,18
55,50,"2016-02-09","31-364","DAL","","UTA",-2,1,"41:25",1,4,0.25,0,0,NA,5,6,0.833,4,7,11,5,0,0,2,1,7,10.2,0,27.3
56,51,"2016-02-19","32-009","DAL","@","ORL",-6,1,"40:24",3,9,0.333,0,0,NA,5,8,0.625,4,15,19,2,3,0,4,2,11,11.6,6,43.3
57,52,"2016-02-21","32-011","DAL","","PHI",26,1,"19:14",2,5,0.4,0,0,NA,5,5,1,4,6,10,1,1,0,2,3,9,9.4,3,24
