"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
3,1,"2015-11-01","27-007","DAL","@","LAL",10,1,"11:52",1,6,0.167,0,1,0,0,0,NA,0,3,3,3,1,0,0,2,2,1.4,12,12.3
4,2,"2015-11-03","27-009","DAL","","TOR",-11,1,"14:17",3,6,0.5,2,3,0.667,1,4,0.25,1,1,2,1,0,0,2,1,9,4.1,-2,13
5,3,"2015-11-05","27-011","DAL","","CHO",-14,0,"14:13",1,5,0.2,0,3,0,0,0,NA,1,0,1,0,1,0,0,0,2,0.6,-16,5.3
6,4,"2015-11-07","27-013","DAL","","NOP",9,1,"14:59",3,6,0.5,0,1,0,0,0,NA,0,2,2,0,0,0,1,2,6,1.8,-9,8
7,5,"2015-11-10","27-016","DAL","@","NOP",-15,1,"16:43",1,5,0.2,1,2,0.5,0,0,NA,1,5,6,1,0,0,1,1,3,1.4,-10,12
9,6,"2015-11-13","27-019","DAL","","LAL",8,1,"17:51",4,6,0.667,1,2,0.5,0,0,NA,1,2,3,0,1,0,2,2,9,5.9,-1,14.3
11,7,"2015-11-16","27-022","DAL","@","PHI",6,1,"20:43",8,11,0.727,1,4,0.25,3,3,1,0,5,5,1,1,1,1,0,20,18.4,6,31.8
12,8,"2015-11-18","27-024","DAL","@","BOS",4,1,"21:21",4,6,0.667,0,0,NA,0,4,0,0,2,2,0,0,2,2,1,8,3.4,-1,13.5
13,9,"2015-11-20","27-026","DAL","","UTA",9,1,"22:10",4,8,0.5,1,4,0.25,0,0,NA,0,2,2,2,0,0,2,2,9,4.2,14,14
14,10,"2015-11-22","27-028","DAL","@","OKC",-3,1,"24:17",5,9,0.556,2,2,1,0,2,0,0,3,3,0,0,0,0,1,12,7.4,8,16.8
15,11,"2015-11-24","27-030","DAL","@","MEM",-14,1,"24:53",3,9,0.333,0,4,0,0,0,NA,0,5,5,2,0,1,1,2,6,2.7,-11,16.8
17,12,"2015-11-28","27-034","DAL","","DEN",11,1,"23:00",2,7,0.286,0,1,0,0,0,NA,0,1,1,2,1,1,1,0,4,2.3,6,11.8
18,13,"2015-11-30","27-036","DAL","@","SAC",-14,1,"24:06",5,8,0.625,2,5,0.4,2,4,0.5,0,0,0,3,0,0,4,4,14,6.1,-2,17.5
20,14,"2015-12-04","27-040","DAL","","HOU",-4,0,"26:31",4,12,0.333,1,4,0.25,0,0,NA,1,3,4,4,0,0,1,3,9,4.4,17,20
22,15,"2015-12-07","27-043","DAL","@","NYK",7,0,"25:01",3,6,0.5,2,3,0.667,1,2,0.5,0,2,2,1,0,2,1,3,9,6.1,-6,17.5
23,16,"2015-12-09","27-045","DAL","","ATL",-3,0,"20:35",2,9,0.222,1,3,0.333,0,0,NA,0,2,2,1,0,0,1,1,5,-0.6,-12,9
24,17,"2015-12-12","27-048","DAL","","WAS",-3,1,"23:00",3,9,0.333,1,4,0.25,1,2,0.5,0,3,3,0,0,0,1,2,8,1.6,-21,11.8
25,18,"2015-12-14","27-050","DAL","","PHO",10,0,"28:09",5,10,0.5,2,5,0.4,5,5,1,0,2,2,2,0,1,1,2,17,12.9,12,25
26,19,"2015-12-16","27-052","DAL","@","IND",-26,0,"28:51",3,9,0.333,1,3,0.333,0,0,NA,1,3,4,2,0,0,3,2,7,1.1,-17,14
27,20,"2015-12-18","27-054","DAL","","MEM",9,0,"31:30",5,10,0.5,2,6,0.333,4,5,0.8,0,7,7,6,1,0,2,0,16,15.9,13,35.8
28,21,"2015-12-22","27-058","DAL","@","TOR",-4,0,"25:15",3,8,0.375,0,0,NA,0,0,NA,0,2,2,1,1,0,0,1,6,3.5,-14,12
29,22,"2015-12-23","27-059","DAL","@","BRK",1,0,"34:29",5,7,0.714,1,3,0.333,0,0,NA,0,7,7,8,0,1,1,4,11,13.9,2,33.8
30,23,"2015-12-26","27-062","DAL","","CHI",7,0,"35:31",8,15,0.533,2,5,0.4,2,3,0.667,2,3,5,5,2,0,3,1,20,16.7,14,37.3
31,24,"2015-12-28","27-064","DAL","","MIL",10,1,"36:51",6,12,0.5,1,2,0.5,0,2,0,0,4,4,4,2,1,2,4,13,9.3,6,29.5
32,25,"2015-12-30","27-066","DAL","","GSW",23,1,"31:05",2,5,0.4,1,3,0.333,0,0,NA,0,6,6,5,0,0,2,3,5,4.4,24,19.5
33,26,"2016-01-01","27-068","DAL","@","MIA",-24,1,"27:05",2,8,0.25,0,3,0,0,0,NA,1,4,5,4,0,1,0,1,4,4.2,-15,18.3
34,27,"2016-01-02","27-069","DAL","","NOP",-7,1,"34:13",2,6,0.333,1,2,0.5,1,2,0.5,0,1,1,3,2,0,1,3,6,4.4,-4,15.8
35,28,"2016-01-05","27-072","DAL","","SAC",1,1,"28:37",3,10,0.3,2,4,0.5,2,4,0.5,1,5,6,4,0,0,2,2,10,5.6,-7,23.5
36,29,"2016-01-06","27-073","DAL","@","NOP",9,1,"31:12",9,16,0.563,0,5,0,3,3,1,1,7,8,6,0,0,2,2,21,17.6,-3,39
37,30,"2016-01-08","27-075","DAL","@","MIL",-1,1,"21:27",1,8,0.125,0,5,0,1,2,0.5,0,3,3,3,0,2,1,2,3,0,-1,14.8
38,31,"2016-01-10","27-077","DAL","@","MIN",6,1,"29:36",6,7,0.857,1,1,1,1,3,0.333,0,5,5,2,0,0,1,2,14,11.8,14,23.3
