"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-27","24-076","ATL","","DET",-12,0,"18:18",1,1,1,1,1,1,2,2,1,0,1,1,2,0,0,0,4,5,4.8,10,9.8
2,2,"2015-10-29","24-078","ATL","@","NYK",11,0,"21:00",3,5,0.6,2,3,0.667,1,2,0.5,1,1,2,0,0,0,1,4,9,4.7,-7,12
3,3,"2015-10-30","24-079","ATL","","CHO",3,0,"21:11",0,2,0,0,2,0,3,4,0.75,1,1,2,3,2,0,1,1,3,4.9,3,13.5
4,4,"2015-11-01","24-081","ATL","@","CHO",2,0,"9:06",0,3,0,0,1,0,0,0,NA,0,1,1,2,0,0,1,0,0,-1.4,3,3.8
5,5,"2015-11-03","24-083","ATL","@","MIA",6,0,"8:01",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
6,6,"2015-11-04","24-084","ATL","","BRK",14,0,"1:37",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,0,0
7,7,"2015-11-06","24-086","ATL","@","NOP",6,0,"10:01",0,1,0,0,0,NA,0,0,NA,0,1,1,2,0,0,0,1,0,0.6,-3,4.3
14,8,"2015-11-18","24-098","ATL","","SAC",6,0,"25:04",3,7,0.429,1,5,0.2,2,3,0.667,1,4,5,2,1,0,1,3,9,7,6,20.3
15,9,"2015-11-21","24-101","ATL","@","CLE",-12,0,"21:38",0,2,0,0,2,0,0,0,NA,0,4,4,3,0,0,1,2,0,0.1,-2,9
16,10,"2015-11-24","24-104","ATL","","BOS",24,0,"22:54",3,5,0.6,3,5,0.6,1,2,0.5,0,6,6,3,1,0,1,4,10,9.6,4,25
17,11,"2015-11-25","24-105","ATL","@","MIN",-4,0,"16:26",1,4,0.25,0,3,0,1,2,0.5,0,3,3,1,1,0,1,4,3,0.2,6,9.8
18,12,"2015-11-27","24-107","ATL","@","MEM",15,0,"26:11",2,7,0.286,0,4,0,3,4,0.75,0,1,1,2,0,1,1,2,7,3.1,15,12.8
19,13,"2015-11-28","24-108","ATL","@","SAS",-20,0,"16:13",1,4,0.25,1,3,0.333,0,0,NA,0,2,2,3,0,0,3,2,3,-0.5,12,9
20,14,"2015-11-30","24-110","ATL","","OKC",6,0,"1:40",0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,0,0.7,2,1.5
21,15,"2015-12-02","24-112","ATL","","TOR",-10,0,"6:23",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,1,0,-1.1,-1,0
22,16,"2015-12-04","24-114","ATL","","LAL",13,0,"6:23",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,1,2,0,-1.8,-2,-0.5
23,17,"2015-12-09","24-119","ATL","@","DAL",3,0,"12:22",0,2,0,0,2,0,0,0,NA,0,1,1,1,0,0,2,2,0,-3.2,5,1.8
24,18,"2015-12-10","24-120","ATL","@","OKC",-13,0,"3:49",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-7,0
25,19,"2015-12-12","24-122","ATL","","SAS",-25,0,"16:56",2,6,0.333,1,3,0.333,0,0,NA,1,2,3,1,1,0,1,0,5,3.6,3,12.3
26,20,"2015-12-14","24-124","ATL","","MIA",-12,0,"7:50",1,2,0.5,0,0,NA,0,0,NA,0,1,1,1,0,0,0,0,2,2,-1,4.8
27,21,"2015-12-16","24-126","ATL","","PHI",21,0,"12:35",2,4,0.5,0,1,0,0,0,NA,0,2,2,3,0,0,0,1,4,4.3,-3,11
28,22,"2015-12-18","24-128","ATL","@","BOS",8,0,"5:12",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,2,0,0,-1.7,0,0.3
