"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","26-228","TOR","","IND",7,0,"19:18",3,7,0.429,2,5,0.4,0,0,NA,0,4,4,1,1,0,2,0,8,5.2,4,16.5
2,2,"2015-10-30","26-230","TOR","@","BOS",10,0,"24:44",2,6,0.333,2,5,0.4,2,2,1,0,0,0,0,1,0,1,3,8,3.4,2,10.5
3,3,"2015-11-01","26-232","TOR","","MIL",19,0,"24:09",6,9,0.667,4,5,0.8,0,0,NA,0,3,3,1,0,0,1,2,16,11.9,15,22.8
4,4,"2015-11-03","26-234","TOR","@","DAL",11,0,"16:41",0,6,0,0,3,0,0,0,NA,1,4,5,0,1,0,0,1,0,-1.7,-4,8.3
5,5,"2015-11-04","26-235","TOR","@","OKC",5,0,"23:21",3,5,0.6,1,2,0.5,0,0,NA,0,2,2,3,2,2,1,1,7,9.4,3,22
6,6,"2015-11-06","26-237","TOR","@","ORL",-5,0,"21:38",0,6,0,0,4,0,0,0,NA,1,2,3,2,0,1,1,3,0,-3,4,8.3
7,7,"2015-11-08","26-239","TOR","@","MIA",-20,0,"15:14",1,4,0.25,0,2,0,0,0,NA,0,1,1,2,1,0,1,1,2,0.9,-7,7.8
8,8,"2015-11-10","26-241","TOR","","NYK",-2,0,"19:25",2,6,0.333,0,3,0,0,0,NA,1,5,6,0,0,0,1,2,4,1,-1,11
9,9,"2015-11-11","26-242","TOR","@","PHI",16,0,"25:30",3,8,0.375,1,5,0.2,0,0,NA,2,5,7,1,2,0,2,0,7,6.2,1,20.8
10,10,"2015-11-13","26-244","TOR","","NOP",19,0,"22:16",4,8,0.5,2,5,0.4,0,0,NA,1,0,1,0,0,0,1,2,10,4.9,8,11.8
11,11,"2015-11-15","26-246","TOR","@","SAC",-6,0,"19:05",3,5,0.6,3,4,0.75,0,0,NA,1,3,4,0,0,0,0,1,9,7.9,9,15.5
12,12,"2015-11-17","26-248","TOR","@","GSW",-5,0,"19:42",1,3,0.333,1,2,0.5,0,0,NA,0,2,2,1,0,0,3,0,3,-0.4,-2,6
13,13,"2015-11-18","26-249","TOR","@","UTA",-4,0,"16:12",0,3,0,0,3,0,0,0,NA,1,4,5,0,1,0,1,0,0,-0.2,1,7.8
14,14,"2015-11-20","26-251","TOR","@","LAL",11,0,"26:05",3,7,0.429,1,5,0.2,0,0,NA,3,4,7,3,1,0,0,2,7,8.9,21,22.8
15,15,"2015-11-22","26-253","TOR","@","LAC",11,0,"14:18",1,2,0.5,0,1,0,0,0,NA,2,3,5,0,0,0,2,0,2,1.3,-3,7.3
16,16,"2015-11-25","26-256","TOR","","CLE",4,0,"25:47",3,8,0.375,2,6,0.333,0,0,NA,1,4,5,1,1,0,2,2,8,4.4,14,17.8
17,17,"2015-11-28","26-259","TOR","@","WAS",2,0,"20:27",2,4,0.5,2,3,0.667,1,2,0.5,0,9,9,1,1,0,0,0,7,9,-4,22.8
18,18,"2015-11-29","26-260","TOR","","PHO",-5,0,"16:29",2,7,0.286,2,4,0.5,0,0,NA,1,2,3,0,0,0,0,0,6,3.2,-10,10.8
19,19,"2015-12-02","26-263","TOR","@","ATL",10,0,"22:50",2,7,0.286,2,6,0.333,0,0,NA,1,6,7,0,1,1,1,2,6,4.3,18,19.3
20,20,"2015-12-03","26-264","TOR","","DEN",-1,0,"22:23",1,3,0.333,1,3,0.333,0,0,NA,0,4,4,3,0,0,0,0,3,4.6,1,13
21,21,"2015-12-05","26-266","TOR","","GSW",-3,0,"31:17",2,5,0.4,0,2,0,0,0,NA,4,6,10,1,1,1,0,3,4,7.1,1,22
22,22,"2015-12-07","26-268","TOR","","LAL",9,0,"29:29",1,7,0.143,0,4,0,0,0,NA,0,2,2,2,1,0,0,1,2,0.1,16,9.5
23,23,"2015-12-09","26-270","TOR","","SAS",3,0,"34:20",3,5,0.6,2,4,0.5,2,2,1,0,4,4,1,3,0,2,2,10,9.8,-7,22.5
