"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","24-251","MIN","@","LAL",1,0,"3:47",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,-2,0
4,2,"2015-11-05","24-259","MIN","","MIA",-12,0,"13:02",3,4,0.75,1,1,1,2,2,1,1,5,6,1,0,1,2,5,9,7,1,19.5
5,3,"2015-11-07","24-261","MIN","@","CHI",9,0,"3:59",1,2,0.5,0,0,NA,0,0,NA,0,0,0,0,0,0,0,3,2,-0.2,4,2
7,4,"2015-11-10","24-264","MIN","","CHO",-9,1,"20:07",4,5,0.8,2,2,1,0,0,NA,1,4,5,2,1,0,2,2,10,9.6,13,21.3
8,5,"2015-11-12","24-266","MIN","","GSW",-13,0,"1:11",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-4,0
11,6,"2015-11-17","24-271","MIN","@","MIA",12,0,"17:28",4,7,0.571,0,1,0,0,0,NA,1,3,4,0,1,0,0,4,8,5.7,5,15
12,7,"2015-11-18","24-272","MIN","@","ORL",-3,1,"16:17",0,6,0,0,1,0,0,0,NA,1,4,5,1,0,0,1,0,0,-2.6,0,7.3
13,8,"2015-11-20","24-274","MIN","","DET",-10,0,"19:16",2,4,0.5,0,0,NA,1,2,0.5,1,2,3,0,0,0,4,1,5,-0.5,0,6.8
14,9,"2015-11-23","24-277","MIN","","PHI",5,0,"11:56",2,3,0.667,0,0,NA,0,0,NA,0,3,3,1,1,1,3,6,4,0.6,-7,11.8
15,10,"2015-11-25","24-279","MIN","","ATL",4,0,"16:02",2,3,0.667,2,3,0.667,2,2,1,0,4,4,1,1,0,0,5,8,7.6,3,17.5
16,11,"2015-11-27","24-281","MIN","@","SAC",10,0,"7:28",2,4,0.5,0,0,NA,0,0,NA,2,1,3,1,0,0,1,0,4,3.4,-6,8.8
17,12,"2015-11-29","24-283","MIN","@","LAC",-8,0,"8:07",0,4,0,0,1,0,0,0,NA,1,0,1,0,0,0,1,2,0,-3.9,-15,0.8
19,13,"2015-12-05","24-289","MIN","","POR",-6,0,"10:33",1,2,0.5,0,1,0,0,0,NA,0,5,5,0,0,0,0,2,2,1.7,-1,8.3
21,14,"2015-12-09","24-293","MIN","","LAL",1,0,"4:48",0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,0,0.7,-8,1.5
23,15,"2015-12-13","24-297","MIN","@","PHO",-7,0,"0:43",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
24,16,"2015-12-15","24-299","MIN","","DEN",-12,0,"3:49",2,2,1,0,0,NA,1,2,0.5,0,1,1,0,0,0,0,1,5,3.9,6,6.3
25,17,"2015-12-16","24-300","MIN","@","NYK",-5,0,"5:38",0,1,0,0,1,0,0,0,NA,0,2,2,0,0,0,0,1,0,-0.5,1,3.8
26,18,"2015-12-18","24-302","MIN","","SAC",4,0,"7:24",0,1,0,0,0,NA,0,0,NA,0,0,0,1,0,1,1,1,0,-0.7,2,3
27,19,"2015-12-20","24-304","MIN","@","BRK",15,0,"16:54",0,3,0,0,0,NA,0,0,NA,0,7,7,0,0,1,1,1,0,-0.7,16,10.3
28,20,"2015-12-21","24-305","MIN","@","BOS",-14,0,"8:11",0,1,0,0,1,0,0,0,NA,0,2,2,1,1,0,0,1,0,1.2,-5,6
29,21,"2015-12-23","24-307","MIN","","SAS",-25,0,"7:53",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,2,0,-1.5,-3,0
30,22,"2015-12-26","24-310","MIN","","IND",-14,0,"10:12",2,2,1,2,2,1,0,0,NA,0,1,1,0,0,0,1,1,6,4.3,-14,7.8
31,23,"2015-12-28","24-312","MIN","@","SAS",-6,0,"14:28",3,6,0.5,1,2,0.5,0,0,NA,0,1,1,0,2,2,0,3,7,6.5,-9,16.8
32,24,"2015-12-30","24-314","MIN","","UTA",14,0,"15:49",1,5,0.2,0,1,0,0,0,NA,1,3,4,1,1,1,0,1,2,2.5,-6,12.5
34,25,"2016-01-02","24-317","MIN","","MIL",-10,0,"5:43",0,2,0,0,1,0,0,0,NA,0,0,0,0,0,1,1,1,0,-2.1,1,1.5
35,26,"2016-01-04","24-319","MIN","@","PHI",-10,0,"6:31",0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,1,0,0.3,-5,1.5
37,27,"2016-01-08","24-323","MIN","","CLE",-26,0,"1:51",1,2,0.5,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,2,1,1,2
38,28,"2016-01-10","24-325","MIN","","DAL",-6,0,"16:20",0,6,0,0,2,0,0,0,NA,0,2,2,1,1,0,1,1,0,-3.3,-15,5.5
42,29,"2016-01-17","24-332","MIN","","PHO",30,0,"3:13",1,1,1,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,2,2,2,3.3
43,30,"2016-01-19","24-334","MIN","@","NOP",-15,0,"6:48",2,2,1,0,0,NA,2,4,0.5,0,0,0,1,0,0,0,1,6,4.9,4,7.5
50,31,"2016-02-02","24-348","MIN","@","LAL",-4,0,"6:31",1,1,1,0,0,NA,0,0,NA,0,1,1,1,0,0,1,0,2,1.7,-10,4.3
53,32,"2016-02-08","24-354","MIN","","NOP",-14,0,"11:06",1,2,0.5,0,1,0,0,0,NA,0,3,3,1,0,0,1,3,2,0.4,1,6.8
54,33,"2016-02-10","24-356","MIN","","TOR",5,0,"7:32",1,4,0.25,0,1,0,0,0,NA,0,2,2,0,0,0,0,0,2,0.2,1,4.5
55,34,"2016-02-19","25-000","MIN","@","MEM",-5,0,"9:37",0,1,0,0,1,0,0,0,NA,0,3,3,1,1,1,1,3,0,0.4,-10,8.8
57,35,"2016-02-22","25-003","MIN","","BOS",2,0,"11:31",2,6,0.333,0,0,NA,0,0,NA,1,2,3,0,0,1,0,1,4,2.2,9,9.8
58,36,"2016-02-24","25-005","MIN","@","TOR",-9,0,"6:57",1,3,0.333,0,0,NA,0,0,NA,1,1,2,0,1,0,1,0,2,1.3,-10,6
59,37,"2016-02-27","25-008","MIN","@","NOP",2,0,"12:17",0,0,NA,0,0,NA,1,2,0.5,1,2,3,2,1,0,1,4,1,1.7,-1,9.3
60,38,"2016-02-28","25-009","MIN","@","DAL",-27,0,"20:49",2,6,0.333,0,0,NA,3,4,0.75,3,5,8,0,0,0,1,0,7,5.8,4,16.5
61,39,"2016-03-02","25-012","MIN","","WAS",-6,0,"8:17",0,3,0,0,0,NA,0,0,NA,0,0,0,0,0,0,2,3,0,-5.3,-11,-1
62,40,"2016-03-04","25-014","MIN","@","MIL",-15,0,"9:39",2,7,0.286,0,2,0,0,0,NA,0,2,2,0,0,0,0,3,4,-0.7,-4,6.5
63,41,"2016-03-05","25-015","MIN","","BRK",14,0,"8:08",2,3,0.667,1,2,0.5,2,2,1,0,3,3,1,0,0,2,2,7,4.5,1,11.8
64,42,"2016-03-07","25-017","MIN","@","CHO",-5,0,"3:32",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,1,0,0,-0.7,-4,0.8
65,43,"2016-03-08","25-018","MIN","","SAS",-25,0,"20:57",3,6,0.5,0,0,NA,0,0,NA,0,3,3,2,1,0,1,2,6,4.5,-12,14.3
66,44,"2016-03-11","25-021","MIN","@","OKC",3,0,"3:51",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,3,0,-1.9,-9,0
67,45,"2016-03-14","25-024","MIN","@","PHO",-3,0,"2:56",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-1.1,2,0
69,46,"2016-03-18","25-028","MIN","@","HOU",-5,0,"6:23",0,2,0,0,0,NA,0,0,NA,1,1,2,2,0,0,0,0,0,1,2,5.5
75,47,"2016-03-30","25-040","MIN","","LAC",-20,0,"11:02",0,3,0,0,2,0,0,0,NA,0,4,4,4,0,0,1,0,0,0.9,-7,10.5
76,48,"2016-04-01","25-042","MIN","@","UTA",-13,0,"1:27",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,2,0
77,49,"2016-04-03","25-044","MIN","","DAL",-10,0,"14:15",2,4,0.5,0,0,NA,0,0,NA,1,2,3,0,0,1,1,2,4,2.2,1,9.3
79,50,"2016-04-07","25-048","MIN","@","SAC",8,0,"7:49",0,4,0,0,1,0,0,0,NA,1,2,3,0,0,0,1,2,0,-3.3,-18,3.3
81,51,"2016-04-11","25-052","MIN","","HOU",-24,0,"9:10",2,6,0.333,0,1,0,3,6,0.5,2,2,4,0,3,0,1,1,7,6,-2,17.5
82,52,"2016-04-13","25-054","MIN","","NOP",35,0,"6:21",1,2,0.5,0,0,NA,0,0,NA,0,1,1,1,0,0,1,1,2,0.6,-4,4.3
