"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
36,1,"2016-01-06","30-003","MIN","","DEN",-4,0,"15:53",3,4,0.75,0,0,NA,6,6,1,0,2,2,0,0,0,2,3,12,7.8,-5,13.5
37,2,"2016-01-08","30-005","MIN","","CLE",-26,0,"15:27",1,4,0.25,0,0,NA,0,0,NA,0,2,2,3,0,0,2,3,2,-0.9,-19,8
38,3,"2016-01-10","30-007","MIN","","DAL",-6,0,"15:19",2,5,0.4,0,0,NA,0,0,NA,0,1,1,0,0,0,1,4,4,-1,-8,4.8
40,4,"2016-01-13","30-010","MIN","@","HOU",-3,1,"15:52",4,9,0.444,0,0,NA,0,0,NA,4,1,5,1,0,0,1,3,8,4.9,4,15.3
41,5,"2016-01-15","30-012","MIN","@","OKC",-20,0,"17:33",2,3,0.667,0,0,NA,6,6,1,1,2,3,1,0,0,0,2,10,9.9,-5,15.3
42,6,"2016-01-17","30-014","MIN","","PHO",30,0,"6:56",1,2,0.5,0,0,NA,2,4,0.5,0,0,0,0,0,0,0,0,4,2.2,0,4
44,7,"2016-01-20","30-017","MIN","@","DAL",-12,1,"14:19",2,5,0.4,0,0,NA,0,0,NA,0,1,1,1,0,0,1,2,4,0.5,-5,6.3
45,8,"2016-01-23","30-020","MIN","","MEM",5,0,"13:29",2,5,0.4,0,0,NA,1,2,0.5,0,0,0,1,0,0,0,1,5,2.2,-1,6.5
46,9,"2016-01-25","30-022","MIN","@","CLE",-7,1,"12:34",2,6,0.333,0,0,NA,0,0,NA,0,2,2,0,0,0,1,2,4,-0.6,-5,6
47,10,"2016-01-27","30-024","MIN","","OKC",-3,0,"12:01",0,5,0,0,0,NA,1,2,0.5,1,0,1,3,0,0,0,1,1,-0.5,-1,6.8
48,11,"2016-01-29","30-026","MIN","@","UTA",-13,0,"10:31",0,1,0,0,0,NA,0,0,NA,0,1,1,1,1,0,1,0,0,0.3,-13,4.3
49,12,"2016-01-31","30-028","MIN","@","POR",-3,0,"6:25",0,1,0,0,0,NA,0,0,NA,1,2,3,0,0,0,0,1,0,0.2,-5,3.8
