"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
2,1,"2015-10-30","25-362","UTA","@","PHI",28,0,"2:11",1,1,1,0,0,NA,0,0,NA,0,1,1,0,0,0,0,2,2,1.2,-2,3.3
5,2,"2015-11-05","26-003","UTA","@","DEN",12,0,"1:12",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
8,3,"2015-11-12","26-010","UTA","@","MIA",-1,0,"0:16",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-2,0
9,4,"2015-11-13","26-011","UTA","@","ORL",-9,0,"9:30",1,3,0.333,0,0,NA,0,0,NA,0,0,0,0,0,1,1,2,2,-0.8,-6,3.5
31,5,"2015-12-31","26-059","UTA","","POR",13,0,"2:03",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,1,1,0,-2.1,-5,-0.5
32,6,"2016-01-02","26-061","UTA","","MEM",5,0,"17:08",3,4,0.75,0,0,NA,0,0,NA,1,5,6,1,0,0,2,5,6,3.3,11,14
33,7,"2016-01-04","26-063","UTA","","HOU",-2,0,"12:36",1,4,0.25,0,1,0,0,0,NA,3,2,5,0,0,0,1,2,2,0.5,-2,7.8
34,8,"2016-01-06","26-065","UTA","@","SAS",-25,0,"24:05",3,7,0.429,0,0,NA,2,2,1,2,0,2,1,1,0,0,4,8,5.8,-6,14
39,9,"2016-01-14","26-073","UTA","","SAC",-2,0,"0:28",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
40,10,"2016-01-16","26-075","UTA","","LAL",27,0,"5:52",1,3,0.333,0,0,NA,0,0,NA,0,1,1,0,0,1,3,1,2,-2.1,-3,3.8
43,11,"2016-01-22","26-081","UTA","@","BRK",22,0,"2:59",1,2,0.5,0,1,0,0,0,NA,0,0,0,0,0,0,0,2,2,0.2,-2,2
45,12,"2016-01-27","26-086","UTA","","CHO",29,0,"3:12",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0
