"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
3,1,"2015-11-01","22-160","TOR","","MIL",19,0,"2:22",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,-2,0
4,2,"2015-11-03","22-162","TOR","@","DAL",11,0,"3:04",1,2,0.5,0,1,0,0,0,NA,0,1,1,0,0,0,0,1,2,0.9,-5,3.3
7,3,"2015-11-08","22-167","TOR","@","MIA",-20,0,"4:38",0,3,0,0,0,NA,0,0,NA,1,0,1,0,0,0,0,0,0,-1.4,0,1.3
8,4,"2015-11-10","22-169","TOR","","NYK",-2,0,"1:35",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,-5,0
9,5,"2015-11-11","22-170","TOR","@","PHI",16,0,"24:37",4,10,0.4,0,1,0,0,0,NA,2,2,4,1,1,0,1,2,8,4.5,6,16
10,6,"2015-11-13","22-172","TOR","","NOP",19,0,"10:59",0,2,0,0,0,NA,0,0,NA,0,3,3,0,1,0,0,2,0,-0.3,0,5.8
11,7,"2015-11-15","22-174","TOR","@","SAC",-6,0,"4:09",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,2,0,0,-2,-3,-1
13,8,"2015-11-18","22-177","TOR","@","UTA",-4,0,"3:22",0,3,0,0,0,NA,0,0,NA,0,0,0,0,1,0,0,0,0,-1.1,-1,2
22,9,"2015-12-07","22-196","TOR","","LAL",9,0,"4:56",0,1,0,0,1,0,0,0,NA,0,2,2,0,0,0,1,1,0,-1.5,1,2
25,10,"2015-12-13","22-202","TOR","","PHI",20,0,"1:30",1,1,1,0,0,NA,0,0,NA,0,0,0,1,2,0,0,0,2,4.4,4,7.5
26,11,"2015-12-14","22-203","TOR","@","IND",-16,0,"6:31",2,5,0.4,1,2,0.5,0,1,0,2,1,3,1,1,0,0,2,5,4.5,7,12.8
27,12,"2015-12-17","22-206","TOR","@","CHO",-10,0,"3:20",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0.3,2,1.3
36,13,"2016-01-04","22-224","TOR","@","CLE",-22,0,"2:56",0,0,NA,0,0,NA,0,0,NA,1,0,1,0,0,0,0,0,0,0.7,-4,1.3
37,14,"2016-01-06","22-226","TOR","@","BRK",17,0,"1:07",1,2,0.5,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2,1,-1,2
39,15,"2016-01-09","22-229","TOR","@","PHI",13,0,"1:52",1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2,1.7,-4,2
40,16,"2016-01-14","22-234","TOR","@","ORL",3,0,"2:49",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0.3,-2,1.3
41,17,"2016-01-18","22-238","TOR","","BRK",12,0,"0:46",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,0,0
45,18,"2016-01-26","22-246","TOR","","WAS",17,0,"2:13",0,1,0,0,0,NA,0,0,NA,0,0,0,1,0,0,0,1,0,-0.4,2,1.5
46,19,"2016-01-28","22-248","TOR","","NYK",10,0,"3:46",0,1,0,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,-0.4,1,1.3
48,20,"2016-02-01","22-252","TOR","@","DEN",-19,0,"13:14",0,5,0,0,2,0,2,2,1,0,2,2,1,1,1,0,0,2,1.5,1,10
49,21,"2016-02-02","22-253","TOR","@","PHO",7,1,"14:54",0,3,0,0,0,NA,0,0,NA,0,1,1,1,2,0,1,2,0,-0.9,-1,6.3
50,22,"2016-02-04","22-255","TOR","@","POR",7,1,"13:28",0,1,0,0,0,NA,0,0,NA,0,1,1,1,0,0,0,2,0,-0.5,2,2.8
51,23,"2016-02-08","22-259","TOR","@","DET",14,1,"15:50",0,1,0,0,1,0,1,2,0.5,0,2,2,0,1,0,2,4,1,-2.1,5,4.5
52,24,"2016-02-10","22-261","TOR","@","MIN",-5,1,"11:36",4,6,0.667,0,2,0,0,0,NA,0,2,2,0,0,0,0,2,8,5.2,-11,10.5
55,25,"2016-02-22","22-273","TOR","@","NYK",27,0,"1:49",0,2,0,0,1,0,0,0,NA,1,0,1,0,0,0,0,0,0,-0.7,3,1.3
56,26,"2016-02-24","22-275","TOR","","MIN",9,0,"5:28",0,1,0,0,0,NA,0,0,NA,0,1,1,1,1,0,0,0,0,1.3,1,4.8
58,27,"2016-02-28","22-279","TOR","@","DET",-13,0,"5:52",3,5,0.6,0,1,0,0,0,NA,0,3,3,1,1,0,0,0,6,6.3,13,13.3
60,28,"2016-03-04","22-284","TOR","","POR",2,1,"21:30",3,5,0.6,2,3,0.667,2,2,1,2,4,6,1,0,0,1,3,10,8.8,6,19.5
61,29,"2016-03-06","22-286","TOR","","HOU",-6,0,"3:13",1,2,0.5,0,1,0,0,0,NA,0,0,0,0,0,1,0,0,2,1.7,5,4
62,30,"2016-03-08","22-288","TOR","","BRK",5,1,"20:32",1,4,0.25,1,2,0.5,2,2,1,1,2,3,2,0,1,1,0,5,5,-1,13.8
63,31,"2016-03-10","22-290","TOR","","ATL",8,1,"16:37",1,3,0.333,0,1,0,0,0,NA,0,1,1,3,2,0,0,1,2,4.3,-5,11.8
65,32,"2016-03-14","22-294","TOR","","CHI",-2,0,"3:54",0,2,0,0,1,0,0,0,NA,0,1,1,0,0,0,0,1,0,-1.5,0,1.3
66,33,"2016-03-15","22-295","TOR","@","MIL",18,1,"34:30",6,15,0.4,3,7,0.429,2,2,1,0,3,3,2,1,2,0,3,17,12.4,10,31.3
67,34,"2016-03-17","22-297","TOR","@","IND",7,1,"20:13",3,9,0.333,0,1,0,0,0,NA,2,3,5,1,0,0,0,3,6,2.7,7,13.8
68,35,"2016-03-18","22-298","TOR","","BOS",14,1,"21:34",3,5,0.6,2,3,0.667,2,2,1,0,2,2,0,0,0,2,1,10,5.9,-3,12.5
69,36,"2016-03-20","22-300","TOR","","ORL",5,1,"23:04",1,6,0.167,1,4,0.25,0,0,NA,1,2,3,0,0,0,0,3,3,-0.7,-9,7.3
70,37,"2016-03-23","22-303","TOR","@","BOS",-12,1,"12:14",1,3,0.333,0,2,0,0,0,NA,0,2,2,3,0,1,1,1,2,2.3,-2,10.5
