"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-11-04","24-260","PHI","@","MIL",-4,0,"2:32",0,0,NA,0,0,NA,0,0,NA,0,1,1,1,0,0,0,0,0,1,6,NA
2,2,"2015-11-06","24-262","PHI","@","CLE",-6,0,"7:31",1,4,0.25,1,2,0.5,0,0,NA,0,1,1,1,1,0,2,0,3,0.6,6,7.3
3,3,"2015-11-07","24-263","PHI","","ORL",-8,0,"10:40",1,3,0.333,0,2,0,1,3,0.333,0,3,3,3,0,0,1,1,3,2.1,-7,10.8
4,4,"2015-11-09","24-265","PHI","","CHI",-23,0,"13:08",4,6,0.667,2,2,1,1,2,0.5,0,0,0,5,0,0,3,1,11,8.1,4,18
5,5,"2015-11-11","24-267","PHI","","TOR",-16,0,"16:34",1,3,0.333,0,2,0,3,4,0.75,0,2,2,7,1,0,1,2,5,7.6,4,19.5
6,6,"2015-11-13","24-269","PHI","@","OKC",-17,0,"9:33",0,3,0,0,1,0,0,0,NA,0,0,0,1,1,0,1,0,0,-1.4,0,3
7,7,"2015-11-14","24-270","PHI","@","SAS",-9,0,"15:36",4,7,0.571,0,0,NA,0,0,NA,0,3,3,6,1,0,0,1,8,10.4,11,22.8
9,8,"2015-11-18","24-274","PHI","","IND",-27,0,"18:38",4,6,0.667,1,1,1,0,0,NA,0,3,3,5,1,0,3,2,9,8,-8,21.3
10,9,"2015-11-20","24-276","PHI","@","CHO",-25,0,"9:33",0,1,0,0,0,NA,0,0,NA,0,0,0,2,0,0,0,0,0,0.7,-15,3
13,10,"2015-11-25","24-281","PHI","@","BOS",-4,0,"17:58",3,8,0.375,0,1,0,0,0,NA,0,3,3,4,2,0,2,1,6,4.9,3,18.8
14,11,"2015-11-27","24-283","PHI","@","HOU",-2,0,"16:25",2,6,0.333,0,0,NA,0,1,0,0,0,0,5,2,1,1,0,4,5.4,-5,17
15,12,"2015-11-29","24-285","PHI","@","MEM",-8,0,"15:40",0,4,0,0,2,0,3,4,0.75,0,2,2,3,1,0,3,2,3,-0.3,-3,10.5
16,13,"2015-12-01","24-287","PHI","","LAL",12,0,"5:51",0,0,NA,0,0,NA,1,2,0.5,0,0,0,2,0,0,0,2,1,1.2,0,4
17,14,"2015-12-02","24-288","PHI","@","NYK",-12,0,"10:22",1,4,0.25,0,0,NA,0,2,0,0,5,5,1,1,0,2,2,2,-0.8,-1,10.8
18,15,"2016-02-21","25-004","PHO","","SAS",-7,0,"28:00",2,6,0.333,0,2,0,2,5,0.4,1,1,2,6,1,3,4,5,6,3.7,-2,NA
19,16,"2016-02-22","25-005","PHO","@","LAC",-40,0,"28:22",2,7,0.286,0,2,0,0,0,NA,0,1,1,10,1,0,3,2,4,4.4,-13,20.8
20,17,"2016-02-25","25-008","PHO","","BRK",-10,0,"19:42",4,6,0.667,0,0,NA,2,2,1,0,0,0,4,2,0,4,3,10,7,2,18
21,18,"2016-02-27","25-010","PHO","","MEM",5,0,"11:37",0,0,NA,0,0,NA,0,0,NA,1,1,2,4,0,0,2,2,0,1,-1,7.5
22,19,"2016-03-01","25-013","PHO","@","CHO",-34,0,"12:32",1,4,0.25,0,1,0,0,0,NA,0,2,2,3,1,0,1,0,2,2.3,-18,10.5
23,20,"2016-03-03","25-015","PHO","@","MIA",-16,0,"2:07",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,1,0,0,0,0,1,-1,2
25,21,"2016-03-06","25-018","PHO","@","MEM",9,0,"4:41",0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,1,0,0.3,2,1.5
26,22,"2016-03-09","25-021","PHO","","NYK",-31,0,"6:16",0,0,NA,0,0,NA,0,0,NA,1,0,1,1,1,0,0,0,0,2.4,-2,4.8
27,23,"2016-03-10","25-022","PHO","@","DEN",-18,0,"0:08",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-0.4,0,0
