"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","32-129","PHO","","DAL",-16,0,"11:18",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,2,2,0,-3.5,7,-1
2,2,"2015-10-30","32-131","PHO","","POR",18,0,"10:30",1,3,0.333,0,2,0,4,4,1,0,2,2,2,2,0,0,1,6,7.9,7,15.5
3,3,"2015-10-31","32-132","PHO","@","POR",11,0,"16:56",3,4,0.75,0,0,NA,1,1,1,0,1,1,1,0,0,0,0,7,6.4,-5,9.8
4,4,"2015-11-02","32-134","PHO","@","LAC",-6,0,"16:28",3,6,0.5,3,6,0.5,0,0,NA,0,2,2,2,1,0,1,3,9,6.8,2,17.5
5,5,"2015-11-04","32-136","PHO","","SAC",21,0,"17:00",2,4,0.5,2,3,0.667,0,0,NA,0,0,0,1,3,0,1,1,6,6.3,10,14
6,6,"2015-11-06","32-138","PHO","","DET",-8,0,"12:18",2,6,0.333,2,5,0.4,0,0,NA,0,1,1,2,0,1,0,4,6,3.4,-12,13.3
7,7,"2015-11-08","32-140","PHO","@","OKC",-21,0,"6:11",0,0,NA,0,0,NA,0,0,NA,0,0,0,2,1,0,1,2,0,0.6,-3,4.5
8,8,"2015-11-12","32-144","PHO","","LAC",14,0,"4:24",0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,2,0,0,-1.3,-4,0.5
11,9,"2015-11-18","32-150","PHO","","CHI",-6,0,"10:51",1,3,0.333,0,2,0,0,0,NA,1,1,2,2,2,0,0,2,2,3.9,-2,11.5
12,10,"2015-11-20","32-152","PHO","@","DEN",7,0,"20:06",3,5,0.6,3,5,0.6,1,2,0.5,0,2,2,1,0,1,0,2,10,8.5,1,17.5
13,11,"2015-11-22","32-154","PHO","@","NOP",-6,0,"5:49",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,1,0,-1.1,1,0
14,12,"2015-11-23","32-155","PHO","@","SAS",-14,0,"20:24",1,4,0.25,0,2,0,0,0,NA,0,0,0,4,2,0,3,3,2,0.2,6,10.5
15,13,"2015-11-25","32-157","PHO","","NOP",-6,0,"7:11",1,1,1,1,1,1,0,0,NA,0,0,0,2,0,0,0,2,3,3.3,-7,6.5
16,14,"2015-11-27","32-159","PHO","","GSW",-19,0,"10:27",2,4,0.5,0,2,0,0,0,NA,0,0,0,3,0,0,0,5,4,2.1,-3,8.5
17,15,"2015-11-29","32-161","PHO","@","TOR",5,0,"21:42",0,4,0,0,3,0,0,0,NA,1,1,2,3,0,1,2,1,0,-1.4,9,8
18,16,"2015-12-01","32-163","PHO","@","BRK",-3,0,"13:11",0,2,0,0,2,0,0,0,NA,0,2,2,3,0,0,0,1,0,0.9,-11,7
19,17,"2015-12-02","32-164","PHO","@","DET",-5,0,"6:48",0,1,0,0,0,NA,0,0,NA,0,0,0,2,0,0,0,1,0,0.3,12,3
20,18,"2015-12-04","32-166","PHO","@","WAS",-3,0,"19:01",2,5,0.4,2,4,0.5,0,0,NA,0,0,0,2,3,0,1,3,6,5.5,-12,15.5
21,19,"2015-12-06","32-168","PHO","@","MEM",-2,0,"8:42",0,1,0,0,1,0,0,0,NA,1,0,1,1,2,0,0,3,0,1.5,6,6.8
22,20,"2015-12-07","32-169","PHO","@","CHI",2,0,"4:30",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0
23,21,"2015-12-09","32-171","PHO","","ORL",3,0,"11:06",0,2,0,0,2,0,0,0,NA,0,0,0,1,0,0,1,1,0,-2.1,6,1
24,22,"2015-12-11","32-173","PHO","","POR",-10,0,"21:19",2,3,0.667,2,3,0.667,0,0,NA,0,1,1,0,2,1,2,1,6,5.3,11,13.3
25,23,"2015-12-13","32-175","PHO","","MIN",7,0,"10:49",2,5,0.4,1,4,0.25,0,0,NA,0,1,1,3,2,0,0,3,5,5.5,5,15.3
26,24,"2015-12-14","32-176","PHO","@","DAL",-10,0,"17:02",2,4,0.5,1,1,1,0,0,NA,0,1,1,0,0,0,0,2,5,2.5,-20,6.8
27,25,"2015-12-16","32-178","PHO","@","GSW",-25,0,"15:07",1,6,0.167,1,3,0.333,6,6,1,1,2,3,2,3,0,0,2,9,10.1,-4,22.3
28,26,"2015-12-18","32-180","PHO","","NOP",16,0,"17:46",0,1,0,0,1,0,0,0,NA,0,0,0,3,1,0,1,4,0,-0.2,3,6
29,27,"2015-12-20","32-182","PHO","","MIL",-6,0,"15:37",2,3,0.667,1,1,1,0,0,NA,0,1,1,3,0,0,0,4,5,4.5,14,11.3
30,28,"2015-12-21","32-183","PHO","@","UTA",-21,0,"17:06",1,2,0.5,1,2,0.5,0,0,NA,1,1,2,0,2,0,1,3,3,2.8,-3,9.5
31,29,"2015-12-23","32-185","PHO","","DEN",-8,0,"30:05",7,13,0.538,6,9,0.667,0,0,NA,2,2,4,1,0,0,1,4,20,13.8,13,29
32,30,"2015-12-26","32-188","PHO","","PHI",-7,0,"22:57",1,7,0.143,1,4,0.25,2,2,1,0,0,0,0,2,0,1,3,5,0.3,-21,9
33,31,"2015-12-28","32-190","PHO","","CLE",-4,0,"13:47",0,4,0,0,3,0,0,0,NA,1,1,2,1,2,0,0,1,0,0.5,2,8
36,32,"2016-01-02","32-195","PHO","@","SAC",-23,0,"16:10",3,5,0.6,2,3,0.667,2,2,1,0,1,1,5,0,1,2,3,10,9,-4,20.8
37,33,"2016-01-03","32-196","PHO","@","LAL",-20,0,"27:05",2,6,0.333,1,4,0.25,0,0,NA,2,3,5,2,4,0,1,6,5,5.9,13,22.3
38,34,"2016-01-06","32-199","PHO","","CHO",9,1,"24:26",3,7,0.429,2,4,0.5,1,2,0.5,0,2,2,4,2,0,3,3,9,6.1,6,21
55,35,"2016-02-19","32-243","PHO","","HOU",-16,0,"23:05",0,4,0,0,2,0,0,0,NA,0,1,1,3,1,1,2,5,0,-2.7,-8,8.8
56,36,"2016-02-21","32-245","PHO","","SAS",-7,1,"20:00",5,8,0.625,1,1,1,0,0,NA,0,1,1,3,0,1,1,6,11,7.1,-5,18.8
57,37,"2016-02-22","32-246","PHO","@","LAC",-40,1,"27:18",5,9,0.556,2,5,0.4,0,0,NA,2,3,5,3,2,1,2,1,12,12.4,-33,28.8
58,38,"2016-02-25","32-249","PHO","","BRK",-10,1,"37:56",7,14,0.5,2,7,0.286,0,0,NA,0,0,0,3,4,1,2,2,16,13,0,30.5
59,39,"2016-02-27","32-251","PHO","","MEM",5,1,"22:33",3,5,0.6,3,5,0.6,3,4,0.75,0,0,0,3,0,0,4,3,12,6.2,-2,16
60,40,"2016-03-01","32-254","PHO","@","CHO",-34,1,"29:14",2,10,0.2,0,7,0,0,0,NA,1,4,5,3,1,1,1,5,4,0.5,-17,18.3
61,41,"2016-03-03","32-256","PHO","@","MIA",-16,1,"19:10",1,4,0.25,0,2,0,0,0,NA,0,1,1,2,2,0,0,5,2,1.3,-6,10.3
62,42,"2016-03-04","32-257","PHO","@","ORL",18,1,"44:46",6,10,0.6,2,4,0.5,0,0,NA,0,5,5,4,5,1,2,2,14,16.6,18,38.3
63,43,"2016-03-06","32-259","PHO","@","MEM",9,1,"35:48",4,9,0.444,3,7,0.429,0,0,NA,0,3,3,2,0,0,2,4,11,5,9,18.3
64,44,"2016-03-09","32-262","PHO","","NYK",-31,1,"34:09",4,7,0.571,3,6,0.5,0,0,NA,0,0,0,6,2,0,2,3,11,10.7,-15,24.5
65,45,"2016-03-10","32-263","PHO","@","DEN",-18,1,"38:20",3,8,0.375,2,7,0.286,0,2,0,2,1,3,5,2,0,0,3,8,8.8,-9,24.3
66,46,"2016-03-12","32-265","PHO","@","GSW",-7,0,"13:20",0,2,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,1,0,-1.8,-4,0
