"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","35-242","MIN","@","LAL",1,1,"14:37",0,0,NA,0,0,NA,2,4,0.5,1,1,2,1,0,0,0,2,2,2.1,4,6
2,2,"2015-10-30","35-244","MIN","@","DEN",17,1,"29:20",1,3,0.333,0,2,0,0,0,NA,0,3,3,2,2,0,0,2,2,3.8,22,12.8
3,3,"2015-11-02","35-247","MIN","","POR",-5,1,"20:12",0,3,0,0,0,NA,2,2,1,0,0,0,0,2,0,0,0,2,1.9,2,6
4,4,"2015-11-05","35-250","MIN","","MIA",-12,1,"12:58",1,3,0.333,0,0,NA,0,0,NA,0,1,1,0,0,0,0,1,2,0.2,-1,3.3
5,5,"2015-11-07","35-252","MIN","@","CHI",9,1,"38:34",4,9,0.444,0,1,0,0,1,0,1,4,5,0,0,1,2,0,8,3.5,2,15.3
6,6,"2015-11-09","35-254","MIN","@","ATL",10,1,"24:05",2,4,0.5,0,0,NA,0,0,NA,1,1,2,0,0,0,1,0,4,2,3,6
7,7,"2015-11-10","35-255","MIN","","CHO",-9,1,"30:30",2,3,0.667,1,1,1,0,0,NA,1,5,6,2,0,0,0,2,5,6.5,13,16
8,8,"2015-11-12","35-257","MIN","","GSW",-13,1,"14:05",3,3,1,0,0,NA,0,0,NA,1,2,3,0,0,0,1,1,6,5,-11,9.3
9,9,"2015-11-13","35-258","MIN","@","IND",-4,1,"18:34",2,3,0.667,0,0,NA,0,0,NA,0,1,1,1,0,0,0,0,4,3.7,-12,6.8
10,10,"2015-11-15","35-260","MIN","","MEM",-8,1,"21:39",1,3,0.333,0,0,NA,0,0,NA,0,0,0,1,1,0,0,2,2,1.2,-2,5.5
