"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","20-333","LAL","","MIN",-1,1,"30:04",5,13,0.385,0,0,NA,5,6,0.833,2,9,11,2,0,0,1,3,15,10.8,2,32.8
2,2,"2015-10-30","20-335","LAL","@","SAC",-18,1,"16:13",1,4,0.25,0,0,NA,1,4,0.25,0,2,2,1,0,0,5,5,3,-6.3,-27,4.5
3,3,"2015-11-01","20-337","LAL","","DAL",-10,1,"33:37",9,17,0.529,0,0,NA,4,8,0.5,0,15,15,4,4,1,2,2,22,21.3,2,57.3
4,4,"2015-11-03","20-339","LAL","","DEN",-11,1,"32:19",7,14,0.5,0,0,NA,2,3,0.667,0,5,5,2,1,1,2,2,16,10.4,-7,28.3
5,5,"2015-11-06","20-342","LAL","@","BRK",6,1,"31:58",5,9,0.556,0,0,NA,4,6,0.667,0,7,7,3,1,1,3,2,14,11,-6,29.8
6,6,"2015-11-08","20-344","LAL","@","NYK",-4,1,"29:57",3,12,0.25,0,1,0,0,0,NA,5,6,11,3,0,0,0,4,6,4.6,-12,24.3
7,7,"2015-11-10","20-346","LAL","@","MIA",-13,1,"25:33",2,6,0.333,0,1,0,3,5,0.6,0,7,7,4,0,0,2,3,7,4.5,-19,20.8
8,8,"2015-11-11","20-347","LAL","@","ORL",-2,1,"27:36",6,10,0.6,0,1,0,0,3,0,0,8,8,4,0,1,0,2,12,11.3,-4,30
9,9,"2015-11-13","20-349","LAL","@","DAL",-8,1,"30:28",2,9,0.222,0,0,NA,2,2,1,0,10,10,2,1,1,4,5,6,0.6,-5,23.5
10,10,"2015-11-15","20-351","LAL","","DET",12,1,"30:39",3,8,0.375,0,0,NA,2,3,0.667,3,5,8,2,1,1,2,2,8,7.1,-3,24
11,11,"2015-11-16","20-352","LAL","@","PHO",-19,1,"25:09",2,6,0.333,0,0,NA,2,2,1,1,4,5,2,0,0,4,5,6,-0.1,-1,13.3
12,12,"2015-11-20","20-356","LAL","","TOR",-11,1,"29:58",6,9,0.667,0,0,NA,6,6,1,2,10,12,1,0,1,1,5,18,16.9,15,37.5
13,13,"2015-11-22","20-358","LAL","","POR",-14,1,"31:36",5,15,0.333,0,0,NA,3,3,1,7,6,13,1,0,0,0,0,13,11.9,-16,32.3
14,14,"2015-11-24","20-360","LAL","@","GSW",-34,1,"24:01",3,6,0.5,0,0,NA,4,4,1,0,6,6,0,1,1,0,0,10,10.5,-18,21.5
15,15,"2015-11-28","20-364","LAL","@","POR",-12,1,"29:52",8,13,0.615,0,0,NA,0,2,0,1,5,6,4,3,1,1,3,16,15.8,-3,37
16,16,"2015-11-29","21-000","LAL","","IND",-4,1,"27:05",4,11,0.364,0,0,NA,3,4,0.75,1,11,12,1,0,1,4,5,11,3.9,5,29
17,17,"2015-12-01","21-002","LAL","@","PHI",-12,1,"28:22",5,12,0.417,0,1,0,2,3,0.667,3,8,11,2,1,0,0,4,12,10.5,-5,32.3
18,18,"2015-12-02","21-003","LAL","@","WAS",4,1,"31:14",7,15,0.467,0,1,0,1,2,0.5,7,12,19,1,2,0,2,2,15,15.3,-9,44.8
19,19,"2015-12-04","21-005","LAL","@","ATL",-13,1,"27:47",3,12,0.25,0,0,NA,2,2,1,3,2,5,0,3,1,1,2,8,5.4,-27,21.8
20,20,"2015-12-06","21-007","LAL","@","DET",-20,1,"24:24",5,9,0.556,0,0,NA,5,7,0.714,2,9,11,0,0,0,0,2,15,13.2,-22,30.3
21,21,"2015-12-07","21-008","LAL","@","TOR",-9,0,"20:45",6,13,0.462,0,0,NA,3,3,1,7,4,11,0,0,0,1,1,15,13,-4,29.8
22,22,"2015-12-09","21-010","LAL","@","MIN",-1,0,"33:00",7,13,0.538,0,0,NA,6,11,0.545,3,9,12,1,1,0,0,3,20,17,8,40
23,23,"2015-12-11","21-012","LAL","@","SAS",-22,0,"20:26",2,9,0.222,0,0,NA,0,0,NA,1,6,7,0,0,1,2,4,4,-1.9,-8,13.8
24,24,"2015-12-12","21-013","LAL","@","HOU",-29,0,"22:57",3,11,0.273,0,1,0,1,2,0.5,3,7,10,2,1,0,3,5,7,1.7,-34,23
25,25,"2015-12-15","21-016","LAL","","MIL",18,0,"24:48",6,12,0.5,0,1,0,2,2,1,6,8,14,1,0,0,4,4,14,9.7,-4,32.5
26,26,"2015-12-17","21-018","LAL","","HOU",-20,0,"23:24",6,15,0.4,1,1,1,5,6,0.833,3,7,10,2,1,0,1,5,18,13.1,-4,37
27,27,"2015-12-19","21-020","LAL","@","OKC",-40,0,"25:54",1,7,0.143,0,1,0,0,0,NA,3,4,7,0,0,0,5,3,2,-5.4,-28,8.3
28,28,"2015-12-22","21-023","LAL","@","DEN",4,0,"28:11",3,7,0.429,0,0,NA,2,3,0.667,3,7,10,1,0,0,2,1,8,6.4,-1,21
30,29,"2015-12-25","21-026","LAL","","LAC",-10,0,"27:08",3,11,0.273,1,3,0.333,4,6,0.667,2,6,8,2,3,0,3,2,11,7.5,-1,29
31,30,"2015-12-27","21-028","LAL","@","MEM",-16,0,"23:22",3,8,0.375,1,1,1,2,6,0.333,3,10,13,1,0,0,1,3,9,6.6,2,26.8
32,31,"2015-12-28","21-029","LAL","@","CHO",-10,0,"19:05",4,8,0.5,1,1,1,2,2,1,0,6,6,0,0,0,0,2,11,8,-1,19
33,32,"2015-12-30","21-031","LAL","@","BOS",8,0,"26:31",6,16,0.375,1,1,1,2,4,0.5,3,9,12,4,0,0,1,3,15,10.8,-1,37.5
34,33,"2016-01-01","21-033","LAL","","PHI",9,0,"23:33",6,10,0.6,0,0,NA,3,4,0.75,2,7,9,0,2,0,1,2,15,13.7,9,29.8
35,34,"2016-01-03","21-035","LAL","","PHO",20,0,"15:57",0,4,0,0,1,0,2,2,1,2,10,12,3,0,0,2,3,2,2.5,4,20.5
36,35,"2016-01-05","21-037","LAL","","GSW",-21,0,"19:56",1,8,0.125,0,0,NA,0,0,NA,3,6,9,4,0,1,2,1,2,1.8,-10,20.3
