"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","34-104","MEM","","CLE",-30,1,"30:54",5,11,0.455,0,1,0,2,4,0.5,3,5,8,0,1,0,2,1,12,7.7,-7,23
2,2,"2015-10-29","34-105","MEM","@","IND",9,1,"29:32",3,11,0.273,0,0,NA,5,6,0.833,2,6,8,2,0,0,2,3,11,5.5,17,23
3,3,"2015-10-31","34-107","MEM","","BRK",10,1,"29:38",6,12,0.5,0,0,NA,3,4,0.75,3,10,13,1,0,0,3,2,15,10.6,8,32.8
4,4,"2015-11-02","34-109","MEM","@","GSW",-50,1,"19:11",2,9,0.222,0,0,NA,0,0,NA,1,2,3,0,0,0,0,1,4,-0.6,-30,7.8
5,5,"2015-11-03","34-110","MEM","@","SAC",14,1,"29:08",9,14,0.643,0,0,NA,2,2,1,3,8,11,2,0,0,4,2,20,14.9,15,36.3
6,6,"2015-11-05","34-112","MEM","@","POR",-19,1,"32:32",8,12,0.667,0,0,NA,0,0,NA,2,8,10,2,1,0,3,1,16,13.6,-14,33.5
7,7,"2015-11-07","34-114","MEM","@","UTA",-10,1,"38:01",5,12,0.417,0,0,NA,0,0,NA,3,6,9,2,1,0,2,3,10,6.7,-1,25.3
8,8,"2015-11-09","34-116","MEM","@","LAC",-2,1,"39:31",12,19,0.632,0,0,NA,2,2,1,2,7,9,4,3,0,0,3,26,25.6,15,49.3
9,9,"2015-11-11","34-118","MEM","","GSW",-16,1,"30:28",6,13,0.462,0,0,NA,7,7,1,1,6,7,2,1,0,6,5,19,9.2,-8,29.8
10,10,"2015-11-13","34-120","MEM","","POR",1,1,"28:33",6,16,0.375,0,0,NA,3,4,0.75,4,4,8,3,2,0,3,2,15,10.1,-10,32
11,11,"2015-11-15","34-122","MEM","@","MIN",8,1,"27:57",6,8,0.75,0,0,NA,2,2,1,1,7,8,1,1,1,1,1,14,14.6,2,29
12,12,"2015-11-16","34-123","MEM","","OKC",8,1,"29:26",4,16,0.25,0,0,NA,4,4,1,5,5,10,2,0,0,1,1,12,7.4,4,28.5
