"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","31-126","LAC","@","SAC",7,1,"30:45",5,11,0.455,2,5,0.4,3,3,1,0,0,0,0,1,0,2,3,15,7.1,17,17
2,2,"2015-10-29","31-127","LAC","","DAL",16,1,"23:52",4,9,0.444,2,4,0.5,2,2,1,0,1,1,2,1,0,0,1,12,9.6,14,19.3
3,3,"2015-10-31","31-129","LAC","","SAC",5,1,"32:41",8,9,0.889,2,2,1,5,5,1,0,0,0,2,0,1,0,4,23,20.4,15,29
4,4,"2015-11-02","31-131","LAC","","PHO",6,1,"27:50",3,12,0.25,3,10,0.3,1,1,1,1,2,3,2,0,0,1,1,10,4.1,4,17.8
5,5,"2015-11-04","31-133","LAC","@","GSW",-4,1,"28:43",5,8,0.625,3,4,0.75,0,0,NA,0,1,1,3,0,0,1,1,13,10.4,4,19.8
6,6,"2015-11-07","31-136","LAC","","HOU",-4,1,"34:56",8,15,0.533,0,2,0,3,4,0.75,1,1,2,3,1,0,3,3,19,11.2,2,26.5
7,7,"2015-11-09","31-138","LAC","","MEM",2,1,"30:16",4,8,0.5,2,6,0.333,6,6,1,0,0,0,1,1,0,3,2,16,9.9,-9,19
8,8,"2015-11-11","31-140","LAC","@","DAL",-10,1,"13:50",4,6,0.667,2,3,0.667,0,0,NA,0,0,0,0,0,1,0,2,10,7.3,-3,13
12,9,"2015-11-20","31-149","LAC","@","POR",-11,1,"25:53",3,12,0.25,1,5,0.2,0,1,0,0,1,1,2,2,0,1,3,7,0.9,-13,15.3
13,10,"2015-11-22","31-151","LAC","","TOR",-11,1,"29:21",5,13,0.385,3,6,0.5,4,5,0.8,1,3,4,0,0,0,2,4,17,7.5,-9,22.5
14,11,"2015-11-24","31-153","LAC","@","DEN",17,1,"28:07",6,10,0.6,2,2,1,2,3,0.667,0,2,2,2,0,0,1,2,16,11.2,21,22
15,12,"2015-11-25","31-154","LAC","","UTA",-11,1,"21:11",1,6,0.167,1,5,0.2,0,0,NA,0,0,0,1,1,0,3,5,3,-4.1,-14,5.5
16,13,"2015-11-27","31-156","LAC","","NOP",21,1,"24:36",8,14,0.571,3,3,1,1,2,0.5,0,1,1,2,1,0,0,3,20,14.5,21,27.8
17,14,"2015-11-29","31-158","LAC","","MIN",8,1,"33:15",7,12,0.583,2,6,0.333,2,2,1,0,2,2,0,0,0,2,1,18,10.6,7,20.5
18,15,"2015-11-30","31-159","LAC","","POR",15,1,"30:02",5,14,0.357,4,7,0.571,0,0,NA,0,0,0,3,1,0,1,2,14,7.5,24,22
19,16,"2015-12-02","31-161","LAC","","IND",-12,1,"0:18",0,0,NA,0,0,NA,2,2,1,0,0,0,0,0,0,0,0,2,2,2,2
21,17,"2015-12-07","31-166","LAC","@","MIN",4,1,"21:42",1,9,0.111,0,5,0,11,11,1,0,3,3,0,0,0,2,0,13,6,13,15.8
22,18,"2015-12-09","31-168","LAC","@","MIL",14,1,"33:26",11,18,0.611,6,9,0.667,3,4,0.75,0,3,3,2,0,0,2,1,31,22.3,24,39.8
23,19,"2015-12-10","31-169","LAC","@","CHI",-3,1,"29:24",2,11,0.182,0,2,0,4,5,0.8,0,2,2,4,0,0,0,0,8,4.1,8,16.5
24,20,"2015-12-12","31-171","LAC","@","BRK",5,1,"27:19",6,11,0.545,4,6,0.667,5,7,0.714,0,2,2,3,0,0,1,3,21,15.4,3,29.5
25,21,"2015-12-14","31-173","LAC","@","DET",2,1,"31:45",10,17,0.588,4,8,0.5,0,0,NA,0,3,3,3,0,0,2,2,24,16.3,12,33.3
26,22,"2015-12-16","31-175","LAC","","MIL",13,1,"27:25",5,11,0.455,3,6,0.5,6,6,1,0,0,0,3,1,0,1,0,19,15.4,16,26.5
27,23,"2015-12-18","31-177","LAC","@","SAS",-8,1,"32:35",5,9,0.556,3,6,0.5,1,2,0.5,0,2,2,1,0,0,0,1,14,10.2,2,19.5
28,24,"2015-12-19","31-178","LAC","@","HOU",-10,1,"26:51",6,14,0.429,4,9,0.444,3,3,1,0,2,2,0,1,0,0,2,19,12.4,-5,25.5
29,25,"2015-12-21","31-180","LAC","","OKC",-1,1,"25:29",6,14,0.429,3,7,0.429,0,0,NA,0,4,4,2,0,0,2,1,15,7.8,-2,23.5
30,26,"2015-12-25","31-184","LAC","@","LAL",10,1,"28:15",5,12,0.417,3,8,0.375,1,2,0.5,0,3,3,2,1,0,1,2,14,8.7,15,23.8
31,27,"2015-12-26","31-185","LAC","@","UTA",5,1,"32:35",8,11,0.727,5,7,0.714,4,4,1,0,2,2,2,2,0,2,1,25,22.1,10,36
32,28,"2015-12-28","31-187","LAC","@","WAS",17,1,"24:22",3,8,0.375,1,4,0.25,0,0,NA,0,1,1,2,1,0,1,0,7,4.3,18,13.3
33,29,"2015-12-30","31-189","LAC","@","CHO",5,1,"27:07",8,14,0.571,5,6,0.833,5,5,1,0,1,1,0,0,0,1,3,26,17.5,7,29.3
34,30,"2015-12-31","31-190","LAC","@","NOP",6,1,"28:48",9,15,0.6,4,7,0.571,4,4,1,0,2,2,0,1,0,1,2,26,18.9,12,32
35,31,"2016-01-02","31-192","LAC","","PHI",31,1,"24:07",6,11,0.545,4,5,0.8,0,0,NA,0,1,1,2,0,0,1,1,16,11,22,21.8
36,32,"2016-01-06","31-196","LAC","@","POR",11,1,"30:04",8,13,0.615,2,5,0.4,2,2,1,0,1,1,1,2,0,1,2,20,15.3,8,27.3
37,33,"2016-01-09","31-199","LAC","","CHO",14,1,"28:32",6,10,0.6,3,5,0.6,2,2,1,0,2,2,2,0,0,1,1,17,13,22,23.5
38,34,"2016-01-10","31-200","LAC","","NOP",3,1,"35:33",2,10,0.2,1,6,0.167,6,7,0.857,0,5,5,2,0,0,0,1,11,6.9,7,20.8
39,35,"2016-01-13","31-203","LAC","","MIA",14,1,"25:14",5,10,0.5,2,4,0.5,0,0,NA,0,1,1,2,0,0,0,1,12,8.3,18,17.3
40,36,"2016-01-16","31-206","LAC","","SAC",-7,1,"31:20",6,13,0.462,5,9,0.556,5,5,1,0,3,3,2,1,0,0,2,22,17.8,-9,33.3
41,37,"2016-01-18","31-208","LAC","","HOU",8,1,"38:30",11,19,0.579,9,12,0.75,9,9,1,1,0,1,2,0,0,1,4,40,30.6,17,48.3
42,38,"2016-01-21","31-211","LAC","@","CLE",-13,1,"28:55",6,12,0.5,2,6,0.333,3,4,0.75,0,2,2,0,0,0,0,0,17,11.2,-18,20.5
43,39,"2016-01-22","31-212","LAC","@","NYK",28,1,"24:23",3,6,0.5,1,2,0.5,0,0,NA,0,2,2,0,0,0,1,0,7,3.6,19,9.5
44,40,"2016-01-24","31-214","LAC","@","TOR",-18,1,"28:17",5,10,0.5,2,5,0.4,5,7,0.714,0,2,2,2,0,0,0,2,17,12.4,10,23.5
45,41,"2016-01-26","31-216","LAC","@","IND",2,1,"33:18",7,18,0.389,4,10,0.4,1,2,0.5,1,1,2,2,1,0,2,1,19,9.8,-4,27.5
46,42,"2016-01-27","31-217","LAC","@","ATL",2,1,"26:29",4,10,0.4,2,6,0.333,2,2,1,0,0,0,0,1,0,0,2,12,6.8,-11,15
47,43,"2016-01-29","31-219","LAC","","LAL",12,1,"21:48",2,10,0.2,1,6,0.167,2,3,0.667,0,1,1,2,1,0,0,2,7,2.3,-5,13.8
48,44,"2016-01-31","31-221","LAC","","CHI",27,1,"27:29",7,11,0.636,4,4,1,3,4,0.75,0,4,4,1,1,0,0,2,21,17.8,15,31.5
49,45,"2016-02-03","31-224","LAC","","MIN",-6,1,"32:50",1,9,0.111,1,4,0.25,2,2,1,0,2,2,1,0,0,2,1,5,-2,-9,8.5
50,46,"2016-02-05","31-226","LAC","@","ORL",14,1,"27:14",6,14,0.429,4,9,0.444,4,5,0.8,0,3,3,0,1,0,1,2,20,12.3,9,27.3
51,47,"2016-02-07","31-228","LAC","@","MIA",7,1,"32:11",5,11,0.455,1,2,0.5,3,3,1,0,1,1,1,2,0,2,3,14,8.1,7,20.3
52,48,"2016-02-08","31-229","LAC","@","PHI",6,1,"38:53",7,18,0.389,3,8,0.375,6,7,0.857,0,2,2,2,0,0,3,4,23,10.2,2,28.5
53,49,"2016-02-10","31-231","LAC","@","BOS",-5,1,"38:23",9,14,0.643,2,5,0.4,7,8,0.875,0,3,3,0,0,0,1,1,27,19.9,-3,31.3
54,50,"2016-02-18","31-239","LAC","","SAS",19,1,"31:37",7,13,0.538,2,2,1,1,2,0.5,0,1,1,0,1,0,1,3,17,9.4,23,20.8
55,51,"2016-02-20","31-241","LAC","","GSW",-3,1,"27:10",6,11,0.545,1,4,0.25,3,3,1,0,1,1,2,0,0,2,5,16,8.4,-5,19.8
56,52,"2016-02-22","31-243","LAC","","PHO",40,1,"25:13",7,14,0.5,4,6,0.667,4,4,1,1,2,3,2,1,0,0,0,22,18.7,31,32.8
57,53,"2016-02-24","31-245","LAC","","DEN",-6,1,"32:07",7,16,0.438,6,12,0.5,0,0,NA,1,2,3,1,1,0,2,0,20,12.6,0,29.3
58,54,"2016-02-26","31-247","LAC","@","SAC",10,1,"34:39",7,15,0.467,1,3,0.333,1,1,1,0,3,3,1,1,0,0,0,16,10.9,9,23.8
59,55,"2016-02-29","31-250","LAC","","BRK",10,1,"31:54",6,16,0.375,3,5,0.6,4,4,1,0,1,1,2,1,0,0,1,19,12.5,5,26.8
60,56,"2016-03-02","31-252","LAC","","OKC",5,1,"31:00",6,13,0.462,2,6,0.333,2,2,1,0,1,1,3,1,0,1,3,16,10.5,12,24.3
61,57,"2016-03-05","31-255","LAC","","ATL",-10,1,"29:59",4,13,0.308,2,7,0.286,0,0,NA,0,2,2,1,0,0,3,2,10,0,-12,13.5
62,58,"2016-03-07","31-257","LAC","@","DAL",19,1,"25:51",9,14,0.643,4,6,0.667,0,0,NA,0,2,2,0,0,0,1,2,22,14.6,12,26
63,59,"2016-03-09","31-259","LAC","@","OKC",-12,1,"29:08",6,13,0.462,5,8,0.625,5,6,0.833,0,1,1,3,2,0,2,0,22,17.3,-3,33.3
64,60,"2016-03-11","31-261","LAC","","NYK",7,1,"30:35",6,15,0.4,4,10,0.4,4,4,1,0,2,2,1,0,0,1,1,20,11.8,13,25.5
65,61,"2016-03-13","31-263","LAC","","CLE",-24,1,"23:41",7,11,0.636,2,5,0.4,3,3,1,0,3,3,1,1,0,1,3,19,14.5,-1,26.8
66,62,"2016-03-15","31-265","LAC","@","SAS",-21,1,"28:50",5,9,0.556,2,3,0.667,2,2,1,0,1,1,1,0,0,1,1,14,9.3,-4,17.3
67,63,"2016-03-16","31-266","LAC","@","HOU",16,1,"31:55",7,15,0.467,5,9,0.556,6,6,1,0,0,0,3,1,0,2,3,25,17.2,11,33
68,64,"2016-03-19","31-269","LAC","@","MEM",-11,1,"24:24",4,9,0.444,1,3,0.333,0,0,NA,0,1,1,3,0,1,1,3,9,5.2,-18,16.8
69,65,"2016-03-20","31-270","LAC","@","NOP",-4,1,"31:39",9,11,0.818,4,5,0.8,2,2,1,1,1,2,1,1,0,1,5,24,19.6,5,31.5
70,66,"2016-03-23","31-273","LAC","@","GSW",-16,1,"30:01",4,13,0.308,1,6,0.167,0,0,NA,1,4,5,0,0,1,1,5,9,1.1,-13,17.3
71,67,"2016-03-24","31-274","LAC","","POR",2,1,"25:09",5,11,0.455,1,3,0.333,0,0,NA,0,4,4,0,1,0,1,2,11,5.7,12,18
72,68,"2016-03-27","31-277","LAC","","DEN",15,1,"23:05",4,12,0.333,2,7,0.286,2,2,1,0,2,2,1,2,0,2,2,12,5.7,19,20
