"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
19,1,"2015-12-04","25-202","BRK","@","NYK",-17,0,"10:44",3,4,0.75,0,0,NA,2,4,0.5,2,2,4,0,0,1,0,0,8,8.3,8,15
20,2,"2015-12-06","25-204","BRK","","GSW",-16,0,"9:48",2,3,0.667,0,0,NA,0,2,0,1,2,3,0,0,1,1,2,4,2.1,1,9.3
22,3,"2015-12-10","25-208","BRK","","PHI",9,0,"12:39",3,4,0.75,0,0,NA,0,0,NA,0,3,3,0,0,0,1,1,6,3.9,-7,9.3
23,4,"2015-12-12","25-210","BRK","","LAC",-5,0,"7:19",1,1,1,0,0,NA,0,0,NA,0,2,2,0,0,0,1,1,2,0.9,-5,4
24,5,"2015-12-14","25-212","BRK","","ORL",-23,0,"4:56",1,4,0.25,0,0,NA,0,0,NA,2,2,4,0,0,0,0,0,2,1.6,-1,7
25,6,"2015-12-16","25-214","BRK","","MIA",-6,0,"8:08",1,2,0.5,0,0,NA,0,0,NA,1,3,4,1,0,2,0,0,2,4.7,7,12.5
26,7,"2015-12-18","25-216","BRK","@","IND",-7,0,"8:39",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,1,1,2,0,-1.1,-5,1.5
27,8,"2015-12-20","25-218","BRK","","MIN",-15,0,"4:08",1,2,0.5,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,2,0.6,-1,2
28,9,"2015-12-21","25-219","BRK","@","CHI",3,0,"12:50",4,5,0.8,0,0,NA,3,3,1,3,2,5,0,0,0,1,2,11,10,-3,16.8
29,10,"2015-12-23","25-221","BRK","","DAL",-1,0,"6:37",2,3,0.667,0,0,NA,1,2,0.5,1,1,2,0,0,0,0,2,5,3.5,5,7.5
30,11,"2015-12-26","25-224","BRK","","WAS",-15,0,"10:18",3,4,0.75,0,0,NA,1,3,0.333,1,2,3,0,0,2,2,3,7,4.1,10,13.8
31,12,"2015-12-28","25-226","BRK","@","MIA",6,0,"12:14",2,3,0.667,0,0,NA,0,2,0,2,1,3,1,0,2,1,2,4,3.9,7,12.8
32,13,"2015-12-30","25-228","BRK","@","ORL",-7,0,"8:47",3,5,0.6,0,0,NA,0,0,NA,1,0,1,0,0,0,0,2,6,3.6,0,7.3
33,14,"2016-01-02","25-231","BRK","@","BOS",3,0,"12:12",3,6,0.5,0,0,NA,0,0,NA,3,4,7,0,0,0,0,1,6,5.9,-2,14.8
34,15,"2016-01-04","25-233","BRK","","BOS",-9,0,"7:21",0,0,NA,0,0,NA,0,0,NA,0,2,2,0,0,1,0,2,0,0.5,-6,4.5
35,16,"2016-01-06","25-235","BRK","","TOR",-17,0,"7:43",1,2,0.5,0,0,NA,1,2,0.5,0,1,1,0,0,1,0,1,3,2.2,-8,6.3
36,17,"2016-01-08","25-237","BRK","","ORL",-6,0,"13:28",1,2,0.5,0,0,NA,0,0,NA,1,3,4,0,0,1,1,1,2,1.9,5,8.5
37,18,"2016-01-09","25-238","BRK","@","DET",-14,0,"17:52",3,5,0.6,0,0,NA,0,0,NA,0,5,5,0,2,0,0,2,6,6.4,-11,16.3
38,19,"2016-01-11","25-240","BRK","","SAS",-27,0,"7:43",1,2,0.5,0,0,NA,0,0,NA,1,0,1,0,0,0,2,0,2,-0.3,-9,2.3
39,20,"2016-01-13","25-242","BRK","","NYK",6,0,"6:20",1,3,0.333,0,0,NA,0,0,NA,0,2,2,0,0,0,0,0,2,0.9,6,4.5
41,21,"2016-01-16","25-245","BRK","@","ATL",-28,0,"12:00",1,2,0.5,0,0,NA,1,4,0.25,2,0,2,1,1,0,0,2,3,3.1,-12,9
42,22,"2016-01-18","25-247","BRK","@","TOR",-12,0,"10:24",1,2,0.5,0,0,NA,0,0,NA,0,1,1,0,0,0,0,2,2,0.5,-3,3.3
43,23,"2016-01-20","25-249","BRK","","CLE",-13,0,"10:29",2,2,1,0,0,NA,2,2,1,1,1,2,0,0,1,1,1,6,5.7,2,10
44,24,"2016-01-22","25-251","BRK","","UTA",-22,0,"25:25",4,9,0.444,0,0,NA,4,6,0.667,2,1,3,2,0,0,0,2,12,8.8,-12,18.8
45,25,"2016-01-24","25-253","BRK","","OKC",10,0,"15:12",2,4,0.5,0,0,NA,1,2,0.5,2,4,6,0,0,1,1,2,5,4.1,-8,14
46,26,"2016-01-26","25-255","BRK","","MIA",-4,0,"3:16",1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2,1.7,-6,2
56,27,"2016-02-21","25-281","BRK","","CHO",-8,0,"5:51",2,2,1,0,0,NA,0,0,NA,1,1,2,0,0,1,0,0,4,5.1,9,8.5
57,28,"2016-02-23","25-283","BRK","@","POR",-8,0,"7:29",2,3,0.667,0,0,NA,0,0,NA,1,0,1,0,1,1,1,0,4,4.1,-2,8.8
58,29,"2016-02-25","25-285","BRK","@","PHO",10,0,"6:44",0,1,0,0,0,NA,1,2,0.5,2,2,4,0,0,2,1,2,1,1.5,-4,9.5
59,30,"2016-02-27","25-287","BRK","@","UTA",2,0,"9:44",3,4,0.75,0,0,NA,1,1,1,1,2,3,0,1,1,0,1,7,8,6,14.8
60,31,"2016-02-29","25-289","BRK","@","LAC",-10,0,"0:34",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-2,0
61,32,"2016-03-01","25-290","BRK","@","LAL",-6,0,"12:40",2,6,0.333,0,0,NA,0,4,0,4,1,5,0,0,2,0,0,4,3.5,-11,14.3
63,33,"2016-03-05","25-294","BRK","@","MIN",-14,1,"31:33",5,11,0.455,0,0,NA,4,5,0.8,5,3,8,3,0,4,0,2,14,16.4,-16,36.5
64,34,"2016-03-08","25-297","BRK","@","TOR",-5,0,"16:05",5,7,0.714,0,0,NA,0,0,NA,2,2,4,2,1,0,0,0,10,11.5,-5,20
66,35,"2016-03-13","25-302","BRK","","MIL",-9,0,"3:52",0,0,NA,0,0,NA,0,0,NA,0,2,2,0,0,0,0,0,0,0.6,5,2.5
69,36,"2016-03-19","25-308","BRK","@","DET",-12,1,"27:38",3,6,0.5,0,0,NA,7,8,0.875,0,6,6,0,0,2,1,4,13,10.2,-3,24
74,37,"2016-03-29","25-318","BRK","@","ORL",-34,0,"12:15",5,6,0.833,0,0,NA,0,1,0,2,3,5,0,0,1,0,1,10,10,5,18.3
75,38,"2016-03-31","25-320","BRK","@","CLE",-20,0,"6:44",0,0,NA,0,0,NA,0,0,NA,1,4,5,0,0,2,0,0,0,3.3,7,10.3
77,39,"2016-04-03","25-323","BRK","","NOP",-19,0,"17:55",2,7,0.286,0,0,NA,1,2,0.5,4,3,7,0,0,0,0,3,5,3,-21,13.8
