"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
5,1,"2015-11-05","22-051","MIA","@","MIN",12,0,"6:50",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,1,2,0,-2.5,-10,-0.5
8,2,"2015-11-10","22-056","MIA","","LAL",13,0,"14:45",0,1,0,0,1,0,1,2,0.5,0,0,0,2,1,0,0,1,1,1.9,-13,6
9,3,"2015-11-12","22-058","MIA","","UTA",1,1,"20:46",3,5,0.6,2,3,0.667,0,0,NA,0,3,3,0,0,0,0,4,8,5,2,12.8
12,4,"2015-11-21","22-067","MIA","","PHI",5,0,"4:24",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,0,-1.7,-12,-0.5
14,5,"2015-11-25","22-071","MIA","@","DET",-23,0,"5:39",0,1,0,0,0,NA,0,0,NA,0,1,1,1,0,0,0,0,0,0.3,5,2.8
15,6,"2015-11-27","22-073","MIA","@","NYK",19,0,"1:48",1,2,0.5,1,2,0.5,0,0,NA,0,1,1,0,0,0,0,0,3,2.3,1,4.8
17,7,"2015-12-03","22-079","MIA","","OKC",2,0,"8:20",0,0,NA,0,0,NA,1,2,0.5,1,1,2,0,0,0,0,0,1,1.6,1,3.5
18,8,"2015-12-05","22-081","MIA","","CLE",15,0,"7:34",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,1,2,0,-1.5,-11,0.8
19,9,"2015-12-07","22-083","MIA","","WAS",-11,0,"8:15",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,2,0,-0.5,-6,1.3
20,10,"2015-12-09","22-085","MIA","@","CHO",-18,0,"15:26",1,3,0.333,1,3,0.333,2,4,0.5,0,2,2,2,1,0,0,2,5,4.7,7,13
21,11,"2015-12-11","22-087","MIA","@","IND",-13,0,"8:45",0,1,0,0,1,0,0,0,NA,0,1,1,0,0,0,1,3,0,-2.6,3,0.8
25,12,"2015-12-18","22-094","MIA","","TOR",-14,0,"3:26",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,1,0,2,0,-0.1,-2,2
27,13,"2015-12-22","22-098","MIA","","DET",-1,0,"14:02",1,4,0.25,0,0,NA,2,2,1,1,1,2,2,0,0,0,1,4,3.6,-13,9.5
33,14,"2016-01-03","22-110","MIA","@","WAS",22,0,"3:43",0,1,0,0,0,NA,0,0,NA,0,1,1,1,0,0,2,2,0,-2.5,-5,1.8
