"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","23-088","LAC","@","SAC",7,0,"16:07",0,3,0,0,2,0,3,4,0.75,0,2,2,1,2,1,1,1,3,3.1,-8,12.5
2,2,"2015-10-29","23-089","LAC","","DAL",16,0,"24:28",5,10,0.5,2,4,0.5,2,4,0.5,0,2,2,1,1,0,0,1,14,10.1,4,21
3,3,"2015-10-31","23-091","LAC","","SAC",5,0,"11:58",0,3,0,0,2,0,0,0,NA,0,0,0,0,0,0,2,3,0,-5.3,-17,-1
4,4,"2015-11-02","23-093","LAC","","PHO",6,0,"17:39",3,6,0.5,0,1,0,1,1,1,0,0,0,1,1,0,1,0,7,4.7,8,10
5,5,"2015-11-04","23-095","LAC","@","GSW",-4,0,"24:02",4,8,0.5,0,2,0,0,0,NA,0,0,0,0,0,1,0,6,8,2.3,-3,10
6,6,"2015-11-07","23-098","LAC","","HOU",-4,1,"31:17",4,12,0.333,1,5,0.2,1,2,0.5,0,0,0,1,1,1,1,3,10,3,-5,15.5
7,7,"2015-11-09","23-100","LAC","","MEM",2,0,"22:37",2,4,0.5,0,0,NA,5,6,0.833,0,0,0,1,2,0,1,2,9,7.5,-2,14
8,8,"2015-11-11","23-102","LAC","@","DAL",-10,0,"26:56",7,14,0.5,2,6,0.333,0,0,NA,2,4,6,3,2,0,1,0,16,14.7,5,32.5
9,9,"2015-11-12","23-103","LAC","@","PHO",-14,1,"34:12",4,12,0.333,1,2,0.5,2,5,0.4,0,2,2,2,0,0,1,4,11,2.4,-25,16.5
10,10,"2015-11-14","23-105","LAC","","DET",5,1,"41:45",4,7,0.571,3,6,0.5,2,4,0.5,1,2,3,1,0,0,2,3,13,7.7,9,18.8
11,11,"2015-11-19","23-110","LAC","","GSW",-7,0,"26:18",4,8,0.5,1,2,0.5,1,4,0.25,1,2,3,1,2,0,0,1,10,8.4,-2,19.8
12,12,"2015-11-20","23-111","LAC","@","POR",-11,0,"22:19",5,9,0.556,0,3,0,0,0,NA,0,1,1,1,1,0,0,0,10,7.7,9,14.8
13,13,"2015-11-22","23-113","LAC","","TOR",-11,0,"18:45",3,7,0.429,0,3,0,0,0,NA,1,1,2,1,0,0,1,3,6,1.8,-2,9.5
14,14,"2015-11-24","23-115","LAC","@","DEN",17,0,"19:56",1,6,0.167,0,3,0,0,0,NA,0,3,3,0,1,0,0,4,2,-1.5,-4,7.8
15,15,"2015-11-25","23-116","LAC","","UTA",-11,0,"25:39",1,3,0.333,0,0,NA,1,2,0.5,1,2,3,3,2,0,1,0,3,5.3,-1,14.8
16,16,"2015-11-27","23-118","LAC","","NOP",21,0,"23:38",7,11,0.636,1,4,0.25,2,2,1,0,1,1,2,1,0,1,1,17,13.4,0,23.3
