"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","23-328","OKC","","SAS",6,1,"16:35",1,1,1,0,0,NA,0,0,NA,0,1,1,2,1,1,0,1,2,4.7,-4,10.3
2,2,"2015-10-30","23-330","OKC","@","ORL",3,1,"18:48",0,1,0,0,1,0,0,0,NA,0,2,2,0,0,0,2,0,0,-2.1,-13,1.5
3,3,"2015-11-01","23-332","OKC","","DEN",24,1,"20:21",4,7,0.571,1,3,0.333,1,2,0.5,1,6,7,1,1,0,1,3,10,8.3,16,22.3
4,4,"2015-11-02","23-333","OKC","@","HOU",-5,1,"22:24",3,5,0.6,1,1,1,0,0,NA,1,2,3,0,0,2,0,4,7,5.8,-1,15.3
5,5,"2015-11-04","23-335","OKC","","TOR",-5,1,"26:44",1,3,0.333,1,3,0.333,2,2,1,0,1,1,0,0,0,0,4,5,2,1,6.8
6,6,"2015-11-05","23-336","OKC","@","CHI",-6,1,"14:49",1,3,0.333,1,2,0.5,0,0,NA,1,1,2,1,1,0,0,2,3,3.2,11,9.5
7,7,"2015-11-08","23-339","OKC","","PHO",21,1,"22:36",3,7,0.429,0,1,0,1,2,0.5,2,4,6,0,0,1,0,2,7,5.4,15,16.5
8,8,"2015-11-10","23-341","OKC","@","WAS",24,1,"24:54",3,6,0.5,1,3,0.333,0,0,NA,0,1,1,1,1,1,0,2,7,5.9,22,14.3
9,9,"2015-11-13","23-344","OKC","","PHI",17,1,"18:46",2,6,0.333,0,2,0,1,2,0.5,0,2,2,1,1,0,1,0,5,2.5,6,10.5
10,10,"2015-11-15","23-346","OKC","","BOS",-15,1,"25:02",3,5,0.6,1,2,0.5,0,0,NA,0,2,2,1,2,0,0,0,7,8,0,15.5
12,11,"2015-11-18","23-349","OKC","","NOP",7,1,"29:27",3,5,0.6,1,2,0.5,1,2,0.5,4,4,8,1,1,0,1,2,8,9.2,-7,21.5
13,12,"2015-11-20","23-351","OKC","","NYK",-3,1,"26:17",1,4,0.25,0,3,0,0,0,NA,1,1,2,1,0,1,0,4,2,0.4,-16,8
14,13,"2015-11-22","23-353","OKC","","DAL",3,1,"32:59",2,6,0.333,2,5,0.4,1,2,0.5,2,2,4,2,1,2,0,3,7,7.8,1,22
15,14,"2015-11-23","23-354","OKC","@","UTA",22,1,"16:28",1,4,0.25,0,2,0,0,0,NA,0,3,3,0,0,0,0,2,2,-0.3,-3,5.8
16,15,"2015-11-25","23-356","OKC","","BRK",11,1,"21:51",2,3,0.667,0,0,NA,0,0,NA,0,1,1,1,2,0,4,0,4,1.7,-3,8.8
17,16,"2015-11-27","23-358","OKC","","DET",16,1,"30:56",1,3,0.333,0,2,0,0,0,NA,0,8,8,0,0,0,0,3,2,1.5,20,12
18,17,"2015-11-30","23-361","OKC","@","ATL",-6,1,"16:26",2,4,0.5,1,2,0.5,0,0,NA,0,1,1,0,2,0,0,3,5,4.1,-26,10.8
19,18,"2015-12-03","23-364","OKC","@","MIA",-2,1,"30:14",1,3,0.333,0,1,0,0,0,NA,3,6,9,0,1,1,0,2,2,5.1,5,17.3
20,19,"2015-12-06","24-002","OKC","","SAC",3,1,"30:07",1,7,0.143,0,1,0,1,2,0.5,3,2,5,1,1,1,3,3,3,-1,12,13.3
21,20,"2015-12-08","24-004","OKC","@","MEM",37,1,"21:57",4,7,0.571,0,2,0,2,3,0.667,1,3,4,0,2,1,0,1,10,10.2,23,21
22,21,"2015-12-10","24-006","OKC","","ATL",13,1,"20:49",0,1,0,0,1,0,1,2,0.5,1,2,3,1,0,0,2,0,1,-0.1,1,5.3
23,22,"2015-12-11","24-007","OKC","@","UTA",4,1,"22:40",3,5,0.6,1,1,1,0,0,NA,1,3,4,0,0,0,1,1,7,4.9,6,12
24,23,"2015-12-13","24-009","OKC","","UTA",6,1,"15:28",1,3,0.333,0,1,0,0,0,NA,0,1,1,2,2,0,1,4,2,1.4,5,9.8
25,24,"2015-12-16","24-012","OKC","","POR",16,1,"21:36",2,3,0.667,0,1,0,0,0,NA,1,0,1,1,1,0,1,2,4,3.3,6,8.3
26,25,"2015-12-17","24-013","OKC","@","CLE",-4,1,"20:58",2,3,0.667,1,1,1,0,0,NA,2,2,4,2,1,3,1,0,5,9.2,3,21
27,26,"2015-12-19","24-015","OKC","","LAL",40,1,"17:41",2,4,0.5,0,1,0,0,0,NA,3,1,4,1,0,1,0,2,4,5,13,12.5
28,27,"2015-12-21","24-017","OKC","@","LAC",1,1,"15:20",1,1,1,0,0,NA,0,0,NA,0,0,0,0,1,0,0,0,2,2.7,-8,4
29,28,"2015-12-23","24-019","OKC","@","LAL",35,1,"26:29",7,9,0.778,0,1,0,1,2,0.5,4,3,7,3,2,4,1,1,15,20.3,45,39.8
30,29,"2015-12-25","24-021","OKC","","CHI",-9,1,"20:13",1,6,0.167,0,1,0,0,0,NA,3,1,4,1,0,0,0,2,2,0.5,-12,8.5
31,30,"2015-12-27","24-023","OKC","","DEN",10,1,"27:26",4,7,0.571,1,1,1,1,1,1,4,2,6,0,2,0,2,1,10,9.7,-3,21
32,31,"2015-12-29","24-025","OKC","","MIL",8,1,"20:06",1,4,0.25,1,2,0.5,3,4,0.75,1,3,4,0,1,0,0,2,6,5,2,13.5
33,32,"2015-12-31","24-027","OKC","","PHO",4,1,"25:13",2,3,0.667,1,2,0.5,0,0,NA,1,3,4,1,3,0,1,3,5,6.8,12,17.5
34,33,"2016-01-02","24-029","OKC","@","CHO",19,1,"14:43",0,1,0,0,1,0,0,0,NA,1,3,4,1,0,1,0,4,0,0.7,10,8.5
35,34,"2016-01-04","24-031","OKC","","SAC",-12,1,"23:29",1,3,0.333,0,1,0,0,0,NA,1,2,3,2,1,2,1,1,2,4,8,14.3
36,35,"2016-01-06","24-033","OKC","","MEM",18,1,"14:33",1,4,0.25,0,1,0,1,1,1,0,2,2,0,0,0,1,2,3,-0.6,2,5
37,36,"2016-01-08","24-035","OKC","@","LAL",4,1,"15:49",3,3,1,0,0,NA,1,2,0.5,3,1,4,0,1,0,0,5,7,7.1,10,14
38,37,"2016-01-10","24-037","OKC","@","POR",-5,1,"31:10",4,6,0.667,1,3,0.333,1,1,1,1,7,8,0,2,3,2,2,10,11.5,-3,29.5
39,38,"2016-01-12","24-039","OKC","@","MIN",5,1,"17:53",2,6,0.333,0,1,0,0,0,NA,0,2,2,1,1,0,1,3,4,0.7,6,9.5
40,39,"2016-01-13","24-040","OKC","","DAL",19,1,"27:15",3,5,0.6,0,1,0,3,4,0.75,0,1,1,1,2,0,0,3,9,8.1,17,15.8
