"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
5,1,"2015-11-04","21-300","IND","","BOS",2,0,"19:12",3,4,0.75,0,0,NA,4,5,0.8,1,1,2,0,1,0,1,0,10,9,-4,14
6,2,"2015-11-06","21-302","IND","","MIA",3,0,"15:41",3,5,0.6,0,1,0,1,2,0.5,1,1,2,1,0,0,0,0,7,6,2,11
7,3,"2015-11-08","21-304","IND","@","CLE",-4,0,"13:05",1,4,0.25,0,1,0,0,0,NA,0,2,2,1,0,0,1,0,2,-0.1,-5,5.5
8,4,"2015-11-09","21-305","IND","","ORL",13,0,"4:10",0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,0,0.7,-1,1.5
9,5,"2015-11-11","21-307","IND","@","BOS",11,0,"13:45",0,1,0,0,0,NA,0,0,NA,1,2,3,0,1,1,0,0,0,2.3,-6,7.8
10,6,"2015-11-13","21-309","IND","","MIN",4,0,"21:20",4,8,0.5,1,3,0.333,2,3,0.667,0,5,5,1,0,1,1,0,11,8.5,6,20.8
11,7,"2015-11-16","21-312","IND","@","CHI",-1,0,"15:57",1,7,0.143,0,2,0,2,2,1,0,1,1,0,0,0,0,3,4,-1.4,-6,5.3
12,8,"2015-11-18","21-314","IND","@","PHI",27,0,"20:30",3,5,0.6,1,1,1,2,3,0.667,0,3,3,0,2,0,1,0,9,8.2,0,16.8
13,9,"2015-11-21","21-317","IND","","MIL",37,0,"20:38",6,7,0.857,4,4,1,1,2,0.5,0,0,0,0,2,0,1,0,17,15.1,18,22.5
14,10,"2015-11-24","21-320","IND","@","WAS",17,0,"0:42",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,2,0
15,11,"2015-11-27","21-323","IND","","CHI",12,0,"1:36",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-4,0
18,12,"2015-12-03","21-329","IND","@","POR",-12,0,"8:30",0,2,0,0,1,0,0,0,NA,0,0,0,0,0,1,0,0,0,-0.7,3,2
22,13,"2015-12-12","21-338","IND","@","DET",-22,0,"11:49",3,4,0.75,0,1,0,1,2,0.5,0,2,2,0,0,0,0,1,7,5.2,-3,9.5
23,14,"2015-12-14","21-340","IND","","TOR",16,0,"3:27",1,1,1,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,2,2,-9,3.3
24,15,"2015-12-16","21-342","IND","","DAL",26,0,"3:26",1,2,0.5,0,0,NA,0,0,NA,1,0,1,1,0,0,0,0,2,2.4,5,4.8
26,16,"2015-12-19","21-345","IND","@","MEM",-12,0,"1:49",1,1,1,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,2,2,0,3.3
27,17,"2015-12-21","21-347","IND","@","SAS",-14,0,"1:57",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,2,0
29,18,"2015-12-26","21-352","IND","@","MIN",14,0,"4:29",0,1,0,0,0,NA,0,0,NA,0,2,2,0,0,0,0,0,0,-0.1,1,2.5
34,19,"2016-01-04","21-361","IND","@","MIA",-3,0,"10:50",0,1,0,0,1,0,0,0,NA,0,1,1,0,0,0,0,0,0,-0.4,9,1.3
35,20,"2016-01-06","21-363","IND","@","ORL",9,0,"12:19",2,5,0.4,0,1,0,1,3,0.333,0,1,1,0,0,0,1,1,5,0.4,-8,5.8
36,21,"2016-01-08","22-000","IND","@","NOP",5,0,"14:40",2,6,0.333,0,1,0,1,2,0.5,1,3,4,1,0,0,2,0,5,1.5,0,10.5
37,22,"2016-01-10","22-002","IND","@","HOU",-4,0,"12:33",2,3,0.667,0,1,0,0,0,NA,0,3,3,2,0,0,0,1,4,4.6,-3,10.8
38,23,"2016-01-12","22-004","IND","","PHO",19,0,"18:37",1,4,0.25,0,0,NA,0,0,NA,2,2,4,1,0,1,2,1,2,0.6,-6,9.5
39,24,"2016-01-13","22-005","IND","@","BOS",-9,0,"13:20",2,4,0.5,1,2,0.5,0,0,NA,0,3,3,2,2,0,0,1,5,6.9,2,16.3
40,25,"2016-01-15","22-007","IND","","WAS",-14,0,"10:44",0,1,0,0,0,NA,0,0,NA,0,0,0,0,1,0,0,0,0,0.3,-7,2
41,26,"2016-01-17","22-009","IND","@","DEN",-3,1,"16:31",2,8,0.25,1,3,0.333,3,4,0.75,0,0,0,0,1,1,0,1,8,4.1,-9,12.5
42,27,"2016-01-19","22-011","IND","@","PHO",3,1,"18:11",3,4,0.75,1,1,1,3,4,0.75,0,1,1,2,1,0,0,2,10,9.9,5,16.8
43,28,"2016-01-22","22-014","IND","@","GSW",-12,1,"30:43",1,8,0.125,0,2,0,2,2,1,1,3,4,2,2,0,1,0,4,2.8,-17,15.5
44,29,"2016-01-23","22-015","IND","@","SAC",-11,1,"9:56",0,1,0,0,0,NA,0,0,NA,0,3,3,0,0,0,1,0,0,-0.8,-9,3.3
45,30,"2016-01-26","22-018","IND","","LAC",-2,0,"7:47",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,1,2,0,-2.5,1,-0.5
46,31,"2016-01-28","22-020","IND","","ATL",19,0,"9:58",2,3,0.667,0,0,NA,0,0,NA,0,1,1,1,0,0,0,0,4,3.7,7,6.8
47,32,"2016-01-30","22-022","IND","","DEN",4,0,"7:16",2,5,0.4,0,1,0,0,0,NA,0,1,1,1,0,0,0,1,4,1.9,-2,6.8
48,33,"2016-02-01","22-024","IND","","CLE",-5,0,"6:48",1,2,0.5,0,0,NA,0,0,NA,0,0,0,1,1,0,0,0,2,2.7,1,5.5
49,34,"2016-02-03","22-026","IND","@","BRK",14,0,"13:39",1,3,0.333,0,1,0,2,2,1,0,0,0,2,1,0,0,1,4,4.3,13,9
50,35,"2016-02-05","22-028","IND","@","ATL",-6,0,"10:23",1,2,0.5,0,0,NA,0,0,NA,1,1,2,0,0,0,0,0,2,2,-14,4.5
51,36,"2016-02-06","22-029","IND","","DET",8,0,"8:12",0,0,NA,0,0,NA,2,2,1,0,0,0,1,0,0,0,0,2,2.7,4,3.5
52,37,"2016-02-08","22-031","IND","","LAL",2,0,"12:35",2,7,0.286,0,0,NA,0,0,NA,2,4,6,0,1,0,0,2,4,2.7,2,13.5
53,38,"2016-02-10","22-033","IND","","CHO",-22,0,"15:12",2,7,0.286,1,2,0.5,0,0,NA,0,1,1,0,0,1,1,1,5,0.5,-17,8.3
59,39,"2016-02-28","22-051","IND","","POR",-9,0,"5:37",2,3,0.667,0,0,NA,0,1,0,0,2,2,0,0,0,0,0,4,2.9,12,6.5
66,40,"2016-03-13","22-065","IND","@","ATL",-29,0,"12:00",3,4,0.75,1,2,0.5,0,0,NA,0,3,3,1,0,2,0,0,7,8.4,4,16.8
75,41,"2016-03-31","22-083","IND","","ORL",-20,0,"2:17",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,0,-1,0,-0.5
78,42,"2016-04-06","22-089","IND","","CLE",14,0,"3:27",0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,0,0.7,-3,1.5
79,43,"2016-04-08","22-091","IND","@","TOR",-13,0,"2:52",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,2,0
80,44,"2016-04-10","22-093","IND","","BRK",24,0,"12:00",1,4,0.25,1,2,0.5,0,0,NA,1,0,1,1,0,1,2,3,3,-0.5,-8,7.3
82,45,"2016-04-13","22-096","IND","@","MIL",5,0,"27:43",6,12,0.5,2,3,0.667,0,0,NA,0,2,2,2,1,0,1,0,14,10,3,22
