"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","24-225","BRK","","CHI",-15,0,"14:40",1,3,0.333,0,0,NA,2,4,0.5,2,3,5,2,2,0,1,0,4,6.2,5,16.8
2,2,"2015-10-30","24-227","BRK","@","SAS",-27,0,"15:20",1,2,0.5,0,0,NA,0,0,NA,0,4,4,0,0,2,1,1,2,2.2,3,10.5
3,3,"2015-10-31","24-228","BRK","@","MEM",-10,0,"15:04",4,5,0.8,0,0,NA,0,1,0,4,8,12,0,0,1,2,1,8,9.2,-1,24
4,4,"2015-11-02","24-230","BRK","","MIL",-7,0,"9:11",0,2,0,0,0,NA,0,0,NA,1,1,2,1,0,0,1,2,0,-1.5,-8,3.5
5,5,"2015-11-04","24-232","BRK","@","ATL",-14,0,"10:22",0,1,0,0,0,NA,0,0,NA,0,1,1,0,1,1,0,0,0,1.3,-8,5.3
6,6,"2015-11-06","24-234","BRK","","LAL",-6,0,"12:00",4,6,0.667,0,0,NA,1,2,0.5,2,5,7,0,0,0,1,2,9,7.1,1,17.3
7,7,"2015-11-07","24-235","BRK","@","MIL",-8,0,"15:24",1,1,1,0,0,NA,1,2,0.5,2,4,6,0,0,1,2,2,3,2.8,6,11.5
8,8,"2015-11-11","24-239","BRK","@","HOU",8,0,"12:37",3,3,1,0,0,NA,0,0,NA,4,2,6,0,1,1,1,1,6,8.8,1,17
9,9,"2015-11-13","24-241","BRK","@","SAC",-2,0,"12:10",2,2,1,0,0,NA,0,1,0,2,3,5,0,0,0,2,4,4,1.7,-6,9.3
10,10,"2015-11-14","24-242","BRK","@","GSW",-8,0,"0:07",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
11,11,"2015-11-17","24-245","BRK","","ATL",2,0,"12:35",0,1,0,0,0,NA,0,0,NA,2,2,4,0,0,0,2,0,0,-0.7,-1,4
12,12,"2015-11-18","24-246","BRK","@","CHO",-5,0,"9:09",2,3,0.667,0,0,NA,0,0,NA,0,2,2,0,0,0,1,1,4,1.9,-1,6
13,13,"2015-11-20","24-248","BRK","@","BOS",-25,0,"16:58",2,7,0.286,0,0,NA,2,4,0.5,3,3,6,0,0,0,0,2,6,3.3,-13,13.5
14,14,"2015-11-22","24-250","BRK","","BOS",10,0,"10:22",2,5,0.4,0,0,NA,1,1,1,2,1,3,0,1,2,0,0,5,6.4,11,14.8
15,15,"2015-11-25","24-253","BRK","@","OKC",-11,0,"5:52",1,1,1,0,0,NA,0,0,NA,0,1,1,0,1,0,0,1,2,2.6,0,5.3
16,16,"2015-11-28","24-256","BRK","@","CLE",-2,0,"6:08",0,0,NA,0,0,NA,0,0,NA,1,0,1,0,0,1,0,0,0,1.4,-5,3.3
17,17,"2015-11-29","24-257","BRK","","DET",4,0,"12:26",1,4,0.25,0,0,NA,0,0,NA,3,4,7,0,1,2,2,1,2,2.9,8,15.8
18,18,"2015-12-01","24-259","BRK","","PHO",3,0,"11:06",3,5,0.6,0,0,NA,0,0,NA,2,1,3,0,0,2,0,1,6,6.4,-7,13.8
19,19,"2015-12-04","24-262","BRK","@","NYK",-17,0,"13:32",5,6,0.833,0,0,NA,0,2,0,1,7,8,0,0,0,1,1,10,8.4,3,19.5
20,20,"2015-12-06","24-264","BRK","","GSW",-16,0,"7:43",0,2,0,0,0,NA,1,2,0.5,0,3,3,0,0,0,1,2,1,-1.7,-5,4.3
21,21,"2015-12-08","24-266","BRK","","HOU",5,0,"10:47",1,3,0.333,0,0,NA,1,1,1,0,4,4,0,0,2,1,4,3,1.3,-2,11.5
22,22,"2015-12-10","24-268","BRK","","PHI",9,0,"6:43",1,2,0.5,0,0,NA,0,0,NA,0,1,1,0,0,0,1,2,2,-0.5,-1,2.8
23,23,"2015-12-12","24-270","BRK","","LAC",-5,0,"0:05",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
24,24,"2015-12-14","24-272","BRK","","ORL",-23,0,"4:05",0,2,0,0,0,NA,0,0,NA,0,2,2,0,1,0,0,0,0,0.2,0,4.5
