"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-27","27-023","CHI","","CLE",2,1,"32:28",8,22,0.364,0,2,0,2,4,0.5,0,1,1,5,1,0,2,0,18,7.8,-1,27.8
2,2,"2015-10-28","27-024","CHI","@","BRK",15,1,"29:26",5,11,0.455,0,1,0,5,5,1,0,2,2,3,1,0,2,2,15,10.2,18,23
3,3,"2015-10-30","27-026","CHI","@","DET",-4,1,"34:29",4,13,0.308,0,1,0,0,0,NA,0,2,2,6,0,0,5,3,8,-0.9,-14,17
4,4,"2015-11-01","27-028","CHI","","ORL",5,1,"32:19",2,8,0.25,0,1,0,2,2,1,0,7,7,8,0,0,3,1,6,5.5,6,25.3
5,5,"2015-11-03","27-030","CHI","@","CHO",-25,1,"23:52",2,8,0.25,0,3,0,0,0,NA,0,2,2,5,0,0,2,0,4,1.3,-16,13
6,6,"2015-11-05","27-032","CHI","","OKC",6,1,"37:29",12,25,0.48,0,1,0,5,6,0.833,1,4,5,6,0,0,2,1,29,19.6,4,43.3
7,7,"2015-11-07","27-034","CHI","","MIN",-9,1,"38:07",3,13,0.231,1,4,0.25,4,5,0.8,0,3,3,5,1,0,5,1,11,2.7,-21,22.3
8,8,"2015-11-09","27-036","CHI","@","PHI",23,1,"27:33",6,14,0.429,0,3,0,0,1,0,2,3,5,8,0,1,2,0,12,10.8,14,31.3
9,9,"2015-11-13","27-040","CHI","","CHO",5,1,"34:39",4,14,0.286,0,2,0,2,2,1,0,1,1,8,1,1,3,2,10,5.6,-2,25.8
10,10,"2015-11-16","27-043","CHI","","IND",1,1,"33:13",9,18,0.5,2,2,1,3,4,0.75,1,1,2,6,2,1,0,3,23,20.3,5,41.5
13,11,"2015-11-24","27-051","CHI","@","POR",5,1,"34:31",7,20,0.35,1,3,0.333,2,2,1,0,4,4,6,0,0,2,3,17,8,11,30.5
14,12,"2015-11-27","27-054","CHI","@","IND",-12,1,"31:15",4,16,0.25,2,5,0.4,0,0,NA,1,5,6,5,1,1,3,1,10,4.4,-19,28.5
15,13,"2015-11-30","27-057","CHI","","SAS",3,1,"34:08",5,17,0.294,0,2,0,1,2,0.5,0,4,4,6,1,1,1,1,11,6.4,-5,28.5
16,14,"2015-12-02","27-059","CHI","","DEN",9,1,"37:00",3,17,0.176,0,2,0,6,8,0.75,0,2,2,9,0,0,2,2,12,4.6,9,27
17,15,"2015-12-05","27-062","CHI","","CHO",-6,1,"34:14",8,17,0.471,3,6,0.5,0,1,0,0,7,7,5,0,0,2,2,19,12.7,-11,35.8
18,16,"2015-12-07","27-064","CHI","","PHO",-2,1,"34:12",7,18,0.389,0,3,0,0,0,NA,1,5,6,4,3,1,5,3,14,6.7,2,33
19,17,"2015-12-09","27-066","CHI","@","BOS",-5,1,"36:30",5,11,0.455,1,3,0.333,1,4,0.25,0,2,2,6,0,1,3,0,12,7.6,-3,24.5
20,18,"2015-12-10","27-067","CHI","","LAC",3,1,"27:32",5,11,0.455,1,3,0.333,0,0,NA,0,3,3,2,1,0,3,0,11,5.6,-3,18.8
21,19,"2015-12-12","27-069","CHI","","NOP",4,1,"28:43",4,10,0.4,0,0,NA,1,2,0.5,0,3,3,3,1,0,1,0,9,6.2,0,18.8
22,20,"2015-12-14","27-071","CHI","","PHI",19,1,"26:26",2,3,0.667,0,0,NA,2,2,1,0,1,1,4,0,0,2,1,6,5.4,5,12.3
23,21,"2015-12-16","27-073","CHI","","MEM",13,1,"33:06",9,19,0.474,0,3,0,1,3,0.333,0,2,2,5,1,0,3,1,19,10.2,10,29.5
24,22,"2015-12-18","27-075","CHI","","DET",-3,1,"54:13",14,34,0.412,1,3,0.333,5,5,1,0,4,4,8,1,0,4,5,34,17.6,5,51.5
25,23,"2015-12-19","27-076","CHI","@","NYK",-16,1,"21:02",3,10,0.3,0,2,0,0,1,0,2,0,2,1,0,0,2,0,6,-0.1,-2,9
26,24,"2015-12-21","27-078","CHI","","BRK",-3,1,"32:31",3,11,0.273,1,3,0.333,1,2,0.5,1,3,4,5,2,0,3,1,8,4.8,-9,23.5
27,25,"2015-12-25","27-082","CHI","@","OKC",9,1,"30:04",7,18,0.389,0,1,0,5,6,0.833,1,3,4,1,0,0,4,6,19,4.7,10,23.5
28,26,"2015-12-26","27-083","CHI","@","DAL",-7,1,"36:34",12,20,0.6,0,1,0,1,1,1,1,4,5,4,0,0,3,1,25,17.1,-5,35.8
29,27,"2015-12-28","27-085","CHI","","TOR",7,1,"28:48",7,16,0.438,3,5,0.6,3,4,0.75,0,1,1,4,0,1,1,1,20,13.6,0,30.3
