"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","24-265","TOR","","IND",7,0,"8:27",1,4,0.25,1,2,0.5,2,2,1,0,0,0,1,0,0,0,4,5,1.7,5,7
2,2,"2015-10-30","24-267","TOR","@","BOS",10,0,"21:06",8,12,0.667,2,6,0.333,3,3,1,0,4,4,0,0,0,2,0,21,15,2,26
3,3,"2015-11-01","24-269","TOR","","MIL",19,0,"21:02",4,9,0.444,3,5,0.6,0,0,NA,1,3,4,2,2,0,1,2,11,9.5,4,24
4,4,"2015-11-03","24-271","TOR","@","DAL",11,0,"22:50",2,8,0.25,0,4,0,0,0,NA,0,1,1,2,1,0,1,5,4,-1.1,1,9.8
5,5,"2015-11-04","24-272","TOR","@","OKC",5,0,"14:16",1,4,0.25,1,3,0.333,0,0,NA,0,2,2,0,0,0,1,0,3,0.2,5,5.5
6,6,"2015-11-06","24-274","TOR","@","ORL",-5,0,"14:41",0,3,0,0,2,0,0,0,NA,0,0,0,0,1,0,0,2,0,-1.9,-6,2
7,7,"2015-11-08","24-276","TOR","@","MIA",-20,0,"19:50",0,4,0,0,3,0,0,0,NA,0,2,2,0,1,1,1,3,0,-2.7,-15,6
14,8,"2015-11-20","24-288","TOR","@","LAL",11,0,"14:02",3,6,0.5,2,3,0.667,0,0,NA,0,1,1,0,0,0,0,2,8,4.5,14,10.3
15,9,"2015-11-22","24-290","TOR","@","LAC",11,0,"16:11",0,3,0,0,2,0,0,0,NA,0,0,0,0,1,0,0,1,0,-1.5,8,2
16,10,"2015-11-25","24-293","TOR","","CLE",4,0,"10:00",2,4,0.5,2,3,0.667,0,0,NA,0,3,3,0,0,2,0,0,6,6.3,-7,14.8
17,11,"2015-11-28","24-296","TOR","@","WAS",2,0,"19:55",1,4,0.25,0,2,0,2,2,1,0,2,2,1,1,1,3,2,4,0.8,-1,10.5
