"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","21-225","BOS","","PHI",17,0,"1:58",0,2,0,0,0,NA,0,0,NA,1,0,1,0,0,0,0,0,0,-0.7,0,1.3
4,2,"2015-11-04","21-232","BOS","@","IND",-2,0,"6:09",0,4,0,0,1,0,0,0,NA,1,4,5,0,0,0,2,1,0,-3.3,0,5.3
5,3,"2015-11-06","21-234","BOS","","WAS",20,0,"19:22",2,8,0.25,1,3,0.333,0,0,NA,1,0,1,3,0,0,0,2,5,2.2,4,11.3
6,4,"2015-11-10","21-238","BOS","@","MIL",16,0,"0:49",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,-2,0
7,5,"2015-11-11","21-239","BOS","","IND",-11,0,"16:05",2,9,0.222,0,4,0,0,0,NA,1,0,1,1,0,0,0,2,4,-0.9,3,6.8
10,6,"2015-11-16","21-244","BOS","@","HOU",16,0,"5:44",1,3,0.333,0,1,0,0,0,NA,0,0,0,1,0,0,1,0,2,0,-13,3
13,7,"2015-11-22","21-250","BOS","@","BRK",-10,0,"5:02",1,2,0.5,1,1,1,0,0,NA,0,0,0,0,0,0,1,0,3,1,-7,3
14,8,"2015-11-24","21-252","BOS","@","ATL",-24,0,"3:11",1,1,1,0,0,NA,0,0,NA,0,0,0,2,0,0,0,0,2,3.1,0,5
15,9,"2015-11-25","21-253","BOS","","PHI",4,0,"2:22",0,1,0,0,0,NA,0,0,NA,1,0,1,0,0,0,2,0,0,-2,0,0.3
16,10,"2015-11-27","21-255","BOS","","WAS",33,0,"10:21",0,3,0,0,0,NA,0,0,NA,0,1,1,1,0,0,0,1,0,-1.5,8,2.8
17,11,"2015-11-29","21-257","BOS","@","ORL",-19,0,"12:00",3,5,0.6,0,0,NA,1,1,1,1,1,2,0,0,0,0,3,7,4.5,-2,9.5
18,12,"2015-11-30","21-258","BOS","@","MIA",10,0,"5:15",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,0,-1,-4,-0.5
19,13,"2015-12-03","21-261","BOS","@","SAC",17,0,"2:58",1,2,0.5,0,0,NA,0,0,NA,0,0,0,0,0,0,1,0,2,0,2,1.5
21,14,"2015-12-07","21-265","BOS","@","NOP",18,0,"2:35",1,3,0.333,0,1,0,0,0,NA,1,2,3,0,0,0,0,0,2,1.6,1,5.8
25,15,"2015-12-15","21-273","BOS","","CLE",-12,0,"1:26",0,1,0,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,-0.4,3,1.3
28,16,"2015-12-21","21-279","BOS","","MIN",14,0,"1:02",0,1,0,0,0,NA,0,0,NA,0,0,0,1,0,0,0,1,0,-0.4,-1,1.5
45,17,"2016-01-24","21-313","BOS","@","PHI",20,0,"5:47",0,2,0,0,1,0,2,2,1,0,1,1,0,0,0,0,0,2,0.9,-1,3.3
46,18,"2016-01-25","21-314","BOS","@","WAS",25,0,"3:55",0,1,0,0,0,NA,0,0,NA,1,1,2,2,0,0,0,1,0,1.3,1,5.5
56,19,"2016-02-19","21-339","BOS","@","UTA",-18,0,"3:06",0,0,NA,0,0,NA,0,0,NA,0,0,0,2,0,0,1,0,0,0.4,-1,2.5
57,20,"2016-02-21","21-341","BOS","@","DEN",20,0,"2:30",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,0,0
60,21,"2016-02-27","21-347","BOS","","MIA",12,0,"0:03",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
62,22,"2016-03-02","21-351","BOS","","POR",23,0,"6:09",1,7,0.143,0,1,0,0,0,NA,1,0,1,1,2,0,1,0,2,-0.1,-2,8.3
