"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","29-133","MIN","@","LAL",1,0,"4:32",1,1,1,0,0,NA,0,0,NA,1,0,1,0,0,0,0,1,2,2,-7,3.3
4,2,"2015-11-05","29-141","MIN","","MIA",-12,0,"2:29",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,1,1,0,-1.4,5,-0.5
7,3,"2015-11-10","29-146","MIN","","CHO",-9,0,"7:35",1,2,0.5,1,2,0.5,0,0,NA,0,1,1,1,0,0,0,0,3,3,-10,6.3
8,4,"2015-11-12","29-148","MIN","","GSW",-13,0,"1:11",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-4,0
9,5,"2015-11-13","29-149","MIN","@","IND",-4,0,"6:57",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0.3,6,1.3
13,6,"2015-11-20","29-156","MIN","","DET",-10,0,"6:28",0,1,0,0,1,0,0,0,NA,0,1,1,0,0,0,0,0,0,-0.4,1,1.3
15,7,"2015-11-25","29-161","MIN","","ATL",4,0,"16:59",4,5,0.8,3,4,0.75,2,2,1,0,1,1,0,0,0,0,2,13,10.6,6,15.8
16,8,"2015-11-27","29-163","MIN","@","SAC",10,0,"17:41",1,4,0.25,1,4,0.25,0,0,NA,0,1,1,3,0,0,2,3,3,-0.2,8,8.3
22,9,"2015-12-11","29-177","MIN","@","DEN",-3,0,"6:28",1,2,0.5,1,1,1,2,2,1,0,0,0,0,0,0,0,0,5,4,-2,5.5
23,10,"2015-12-13","29-179","MIN","@","PHO",-7,0,"21:51",4,6,0.667,3,5,0.6,0,0,NA,0,0,0,1,0,0,3,2,11,5.3,3,12.5
24,11,"2015-12-15","29-181","MIN","","DEN",-12,0,"10:36",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-0.4,-4,0
25,12,"2015-12-16","29-182","MIN","@","NYK",-5,0,"6:43",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,1,0,-1.1,-8,0
27,13,"2015-12-20","29-186","MIN","@","BRK",15,0,"1:35",0,1,0,0,1,0,0,0,NA,0,1,1,0,0,0,0,0,0,-0.4,0,1.3
28,14,"2015-12-21","29-187","MIN","@","BOS",-14,0,"9:59",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,-0.4,14,0
33,15,"2015-12-31","29-197","MIN","@","DET",-25,0,"9:19",1,5,0.2,1,3,0.333,0,0,NA,0,0,0,1,0,0,1,3,3,-1.6,-8,4.5
41,16,"2016-01-15","29-212","MIN","@","OKC",-20,0,"2:11",1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2,1.7,5,2
44,17,"2016-01-20","29-217","MIN","@","DAL",-12,0,"8:34",0,3,0,0,3,0,0,0,NA,0,0,0,0,0,0,0,0,0,-2.1,-2,0
50,18,"2016-02-02","29-230","MIN","@","LAL",-4,0,"14:22",2,4,0.5,0,2,0,2,2,1,2,0,2,0,0,0,0,1,6,5,6,8.5
51,19,"2016-02-03","29-231","MIN","@","LAC",6,0,"18:25",3,3,1,2,2,1,0,0,NA,0,0,0,1,0,0,1,2,8,6,-3,10
52,20,"2016-02-06","29-234","MIN","","CHI",7,0,"13:39",0,2,0,0,2,0,0,0,NA,0,2,2,0,1,0,1,2,0,-1.6,-1,4
53,21,"2016-02-08","29-236","MIN","","NOP",-14,0,"8:58",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,1,1,0,-2.1,-20,-0.5
55,22,"2016-02-19","29-247","MIN","@","MEM",-5,0,"6:35",1,3,0.333,1,3,0.333,0,0,NA,0,1,1,2,0,1,0,2,3,2.9,0,9.8
56,23,"2016-02-20","29-248","MIN","","NYK",-8,0,"3:53",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,1,1,0,-1.4,-6,-0.5
60,24,"2016-02-28","29-256","MIN","@","DAL",-27,0,"13:40",1,4,0.25,1,4,0.25,0,0,NA,0,2,2,0,1,0,1,3,3,0,-1,7.5
62,25,"2016-03-04","29-261","MIN","@","MIL",-15,0,"16:29",1,7,0.143,1,6,0.167,0,0,NA,2,0,2,1,1,0,1,2,3,-0.2,8,9
63,26,"2016-03-05","29-262","MIN","","BRK",14,0,"1:31",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
64,27,"2016-03-07","29-264","MIN","@","CHO",-5,0,"7:09",0,0,NA,0,0,NA,2,2,1,0,0,0,0,0,0,0,2,2,1.2,-3,2
65,28,"2016-03-08","29-265","MIN","","SAS",-25,0,"6:46",0,1,0,0,1,0,0,0,NA,0,2,2,0,0,0,0,0,0,-0.1,0,2.5
75,29,"2016-03-30","29-287","MIN","","LAC",-20,0,"6:19",3,4,0.75,2,3,0.667,0,0,NA,0,0,0,0,0,0,0,0,8,6.4,11,9
76,30,"2016-04-01","29-289","MIN","@","UTA",-13,0,"1:27",0,0,NA,0,0,NA,0,0,NA,0,0,0,1,0,0,0,0,0,0.7,2,1.5
79,31,"2016-04-07","29-295","MIN","@","SAC",8,0,"1:10",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,-7,0
81,32,"2016-04-11","29-299","MIN","","HOU",-24,0,"7:00",0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,1,0
82,33,"2016-04-13","29-301","MIN","","NOP",35,0,"8:47",0,0,NA,0,0,NA,0,0,NA,0,2,2,0,0,0,0,2,0,-0.2,-3,2.5
