"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
2,1,"2015-10-27","30-112","GSW","","NOP",16,0,"1:40",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,3,0
3,2,"2015-10-30","30-115","GSW","@","HOU",20,0,"5:54",1,4,0.25,0,1,0,0,0,NA,1,1,2,0,0,0,0,0,2,0.6,-2,4.5
4,3,"2015-10-31","30-116","GSW","@","NOP",14,0,"10:51",2,2,1,1,1,1,0,0,NA,0,4,4,1,1,0,0,0,5,7.3,1,14
5,4,"2015-11-02","30-118","GSW","","MEM",50,0,"13:22",0,5,0,0,3,0,2,4,0.5,0,6,6,2,0,0,2,1,2,-1.5,6,11.5
7,5,"2015-11-06","30-122","GSW","","DEN",15,0,"1:46",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,-2,0
12,6,"2015-11-14","30-130","GSW","","BRK",8,1,"20:46",3,5,0.6,2,4,0.5,0,0,NA,0,4,4,0,1,1,0,0,8,8.6,-12,18
14,7,"2015-11-19","30-135","GSW","@","LAC",7,0,"5:59",0,1,0,0,1,0,0,0,NA,0,1,1,1,0,0,0,0,0,0.3,-5,2.8
17,8,"2015-11-24","30-140","GSW","","LAL",34,0,"8:01",1,2,0.5,1,2,0.5,0,0,NA,0,1,1,0,0,0,1,0,3,1.3,-4,4.3
18,9,"2015-11-27","30-143","GSW","@","PHO",19,0,"14:28",1,4,0.25,1,2,0.5,1,2,0.5,1,2,3,0,1,0,1,2,4,1.7,-4,9.8
19,10,"2015-11-28","30-144","GSW","","SAC",19,1,"19:27",5,8,0.625,4,5,0.8,2,2,1,2,1,3,1,0,0,2,1,16,12.4,-2,22.3
20,11,"2015-11-30","30-146","GSW","@","UTA",3,1,"12:22",1,2,0.5,1,1,1,0,0,NA,0,2,2,0,0,0,1,1,3,1.2,3,5.5
21,12,"2015-12-02","30-148","GSW","@","CHO",17,1,"20:28",3,4,0.75,2,3,0.667,0,0,NA,1,3,4,0,0,1,1,0,8,7.7,8,15.5
