"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-28","19-247","LAL","","MIN",-1,1,"25:50",2,7,0.286,0,3,0,0,0,NA,2,1,3,2,0,0,3,3,4,-1.2,-9,9.3
2,2,"2015-10-30","19-249","LAL","@","SAC",-18,1,"23:02",5,10,0.5,2,5,0.4,1,2,0.5,0,2,2,2,0,0,1,0,13,8.6,-13,19
3,3,"2015-11-01","19-251","LAL","","DAL",-10,1,"27:22",4,13,0.308,2,7,0.286,0,0,NA,0,3,3,1,1,1,1,0,10,4.8,-1,19.8
4,4,"2015-11-03","19-253","LAL","","DEN",-11,1,"20:25",3,11,0.273,1,5,0.2,0,0,NA,0,2,2,6,0,0,1,4,7,2.7,-2,18.5
5,5,"2015-11-06","19-256","LAL","@","BRK",6,1,"23:21",6,9,0.667,2,3,0.667,2,2,1,1,3,4,0,3,0,1,1,16,15.3,-2,27.5
6,6,"2015-11-08","19-258","LAL","@","NYK",-4,1,"28:23",3,7,0.429,0,0,NA,0,1,0,2,3,5,3,3,0,2,2,6,6.5,-11,21.8
7,7,"2015-11-10","19-260","LAL","@","MIA",-13,1,"21:05",2,6,0.333,0,1,0,0,0,NA,0,4,4,4,1,0,2,1,4,3.2,-20,16
8,8,"2015-11-11","19-261","LAL","@","ORL",-2,1,"31:22",6,15,0.4,2,5,0.4,0,0,NA,0,6,6,3,1,1,3,1,14,8.1,-1,29.5
9,9,"2015-11-13","19-263","LAL","@","DAL",-8,1,"23:37",3,7,0.429,2,4,0.5,1,2,0.5,1,5,6,5,1,0,1,3,9,9.4,2,26.5
10,10,"2015-11-15","19-265","LAL","","DET",12,1,"20:54",3,9,0.333,1,6,0.167,2,2,1,0,5,5,2,0,0,1,0,9,5.8,-7,18.3
11,11,"2015-11-16","19-266","LAL","@","PHO",-19,1,"27:27",5,13,0.385,1,3,0.333,2,2,1,2,2,4,2,1,1,1,2,13,9.2,-5,25
12,12,"2015-11-20","19-270","LAL","","TOR",-11,1,"33:36",7,16,0.438,3,7,0.429,0,0,NA,0,5,5,2,1,1,2,3,17,10,9,30.8
13,13,"2015-11-22","19-272","LAL","","POR",-14,1,"35:47",4,10,0.4,2,4,0.5,3,4,0.75,0,9,9,6,0,0,3,0,13,11.1,-17,32.8
14,14,"2015-11-24","19-274","LAL","@","GSW",-34,1,"25:51",4,9,0.444,0,3,0,0,0,NA,0,5,5,2,2,0,1,1,8,6.8,-19,20.8
15,15,"2015-11-28","19-278","LAL","@","POR",-12,1,"37:42",6,11,0.545,2,4,0.5,2,2,1,0,4,4,5,0,0,2,4,16,11.8,-10,28.5
16,16,"2015-11-29","19-279","LAL","","IND",-4,1,"26:13",4,11,0.364,0,4,0,0,0,NA,1,6,7,3,0,0,2,0,8,4.5,-8,20.3
17,17,"2015-12-01","19-281","LAL","@","PHI",-12,1,"36:56",5,14,0.357,1,5,0.2,1,2,0.5,2,2,4,4,0,0,2,2,12,5.8,-16,22.5
18,18,"2015-12-02","19-282","LAL","@","WAS",4,1,"27:28",6,14,0.429,1,5,0.2,0,0,NA,0,4,4,3,4,0,4,3,13,7.7,-1,29
19,19,"2015-12-04","19-284","LAL","@","ATL",-13,1,"36:25",6,16,0.375,4,7,0.571,0,0,NA,5,5,10,4,1,0,7,2,16,8.2,-21,36.5
20,20,"2015-12-06","19-286","LAL","@","DET",-20,1,"22:07",5,9,0.556,0,1,0,2,2,1,1,1,2,3,2,0,4,3,12,7.6,-13,21
21,21,"2015-12-07","19-287","LAL","@","TOR",-9,0,"21:18",4,12,0.333,1,5,0.2,0,0,NA,0,3,3,2,0,0,2,0,9,2.5,-3,15.3
22,22,"2015-12-09","19-289","LAL","@","MIN",-1,0,"32:07",8,20,0.4,3,9,0.333,4,5,0.8,0,1,1,3,0,0,2,4,23,10.6,-1,29.3
23,23,"2015-12-11","19-291","LAL","@","SAS",-22,1,"36:18",9,23,0.391,5,10,0.5,1,2,0.5,1,5,6,6,2,0,3,1,24,16.1,-9,45.5
24,24,"2015-12-12","19-292","LAL","@","HOU",-29,1,"37:07",5,14,0.357,2,8,0.25,0,0,NA,0,0,0,4,3,0,4,3,12,4.8,-14,23
25,25,"2015-12-15","19-295","LAL","","MIL",18,0,"29:30",7,13,0.538,2,5,0.4,3,4,0.75,1,3,4,7,3,0,1,2,19,20,4,41
26,26,"2015-12-17","19-297","LAL","","HOU",-20,0,"26:22",1,9,0.111,0,4,0,0,0,NA,0,3,3,7,1,0,4,2,2,-1.9,-5,16.3
27,27,"2015-12-19","19-299","LAL","@","OKC",-40,0,"27:20",5,13,0.385,1,7,0.143,1,3,0.333,2,5,7,5,1,0,2,0,12,9.5,-34,29.8
28,28,"2015-12-22","19-302","LAL","@","DEN",4,0,"21:13",2,6,0.333,2,5,0.4,0,0,NA,0,1,1,1,1,0,2,1,6,2.2,-14,10.8
29,29,"2015-12-23","19-303","LAL","","OKC",-35,0,"28:14",6,16,0.375,4,7,0.571,2,3,0.667,1,2,3,2,0,0,0,2,18,10.7,11,26.8
30,30,"2015-12-25","19-305","LAL","","LAC",-10,0,"27:43",7,13,0.538,2,5,0.4,0,2,0,2,5,7,1,2,1,4,2,16,10.4,-1,31.3
31,31,"2015-12-27","19-307","LAL","@","MEM",-16,0,"24:30",3,6,0.5,2,5,0.4,2,2,1,0,0,0,3,1,0,3,2,10,6.3,-8,16
32,32,"2015-12-28","19-308","LAL","@","CHO",-10,0,"23:26",2,5,0.4,0,3,0,1,2,0.5,0,2,2,4,3,0,3,0,5,5.3,1,18
33,33,"2015-12-30","19-310","LAL","@","BOS",8,0,"27:48",7,17,0.412,2,7,0.286,0,0,NA,2,4,6,3,1,1,2,1,16,10.9,4,32
34,34,"2016-01-01","19-312","LAL","","PHI",9,0,"25:46",3,14,0.214,0,0,NA,0,0,NA,1,3,4,5,2,1,4,2,6,0.4,11,22.5
35,35,"2016-01-03","19-314","LAL","","PHO",20,0,"21:43",2,8,0.25,0,3,0,3,4,0.75,0,3,3,4,1,0,2,3,7,3.3,5,17.8
37,36,"2016-01-07","19-318","LAL","@","SAC",-3,0,"28:43",11,16,0.688,3,7,0.429,2,3,0.667,0,2,2,4,2,0,3,1,27,21.8,29,39.5
38,37,"2016-01-08","19-319","LAL","","OKC",-4,0,"7:43",1,3,0.333,0,1,0,0,0,NA,0,0,0,2,0,0,0,0,2,1.7,1,5
40,38,"2016-01-12","19-323","LAL","","NOP",4,0,"24:05",4,8,0.5,2,5,0.4,3,4,0.75,0,4,4,3,0,0,2,2,13,9.1,-1,22.5
41,39,"2016-01-14","19-325","LAL","@","GSW",-18,0,"29:33",6,16,0.375,2,9,0.222,0,0,NA,0,2,2,3,2,0,2,2,14,7.1,-7,25
42,40,"2016-01-16","19-327","LAL","@","UTA",-27,0,"25:11",5,12,0.417,3,6,0.5,0,2,0,0,2,2,4,0,0,4,1,13,4.8,-12,21
43,41,"2016-01-17","19-328","LAL","","HOU",-17,0,"29:56",5,10,0.5,2,5,0.4,0,0,NA,0,2,2,5,3,0,6,1,12,7.7,-3,26
44,42,"2016-01-20","19-331","LAL","","SAC",-19,0,"26:06",5,15,0.333,2,6,0.333,2,2,1,0,2,2,5,0,0,1,2,14,7.8,-11,24.5
45,43,"2016-01-22","19-333","LAL","","SAS",-13,0,"30:02",8,10,0.8,2,2,1,0,2,0,0,1,1,3,1,0,3,0,18,13.8,-8,25.3
