"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
1,1,"2015-10-27","22-042","ATL","","DET",-12,0,"25:22",8,14,0.571,2,5,0.4,2,2,1,1,2,3,4,2,0,1,1,20,18.1,4,34.3
2,2,"2015-10-29","22-044","ATL","@","NYK",11,0,"18:15",6,11,0.545,1,3,0.333,0,0,NA,0,1,1,2,0,0,1,0,13,8.4,-7,17.3
3,3,"2015-10-30","22-045","ATL","","CHO",3,1,"33:01",6,15,0.4,0,3,0,2,2,1,0,5,5,2,2,0,2,2,14,8,-3,26.3
4,4,"2015-11-01","22-047","ATL","@","CHO",2,0,"21:11",3,9,0.333,0,2,0,0,0,NA,1,2,3,3,1,0,1,2,6,3.5,8,15.8
5,5,"2015-11-03","22-049","ATL","@","MIA",6,0,"16:01",1,6,0.167,0,0,NA,2,2,1,0,2,2,3,1,0,4,1,4,-0.5,-12,11
6,6,"2015-11-04","22-050","ATL","","BRK",14,1,"28:14",7,15,0.467,3,6,0.5,3,4,0.75,1,2,3,4,1,0,4,2,20,12.2,11,31.3
7,7,"2015-11-06","22-052","ATL","@","NOP",6,0,"18:35",6,8,0.75,3,4,0.75,0,0,NA,0,0,0,5,0,0,1,0,15,14.3,2,23.5
8,8,"2015-11-07","22-053","ATL","","WAS",15,0,"23:55",3,10,0.3,0,4,0,0,0,NA,0,0,0,7,1,0,2,3,6,2.9,4,17.5
9,9,"2015-11-09","22-055","ATL","","MIN",-10,0,"23:21",5,10,0.5,2,5,0.4,0,0,NA,0,1,1,4,1,0,0,1,12,10.7,-3,22.3
10,10,"2015-11-11","22-057","ATL","","NOP",8,0,"22:12",5,11,0.455,2,4,0.5,0,0,NA,0,2,2,4,1,0,3,1,12,7.3,3,22
11,11,"2015-11-13","22-059","ATL","@","BOS",-13,0,"23:40",3,10,0.3,0,3,0,4,5,0.8,0,2,2,7,0,0,2,1,10,6.9,0,22
12,12,"2015-11-15","22-061","ATL","","UTA",-1,1,"33:28",3,10,0.3,1,2,0.5,4,6,0.667,1,5,6,9,0,0,0,4,11,11.3,10,32.5
13,13,"2015-11-17","22-063","ATL","@","BRK",-2,1,"29:16",3,11,0.273,1,4,0.25,1,2,0.5,0,5,5,10,0,0,3,3,8,5.4,-6,28.3
14,14,"2015-11-18","22-064","ATL","","SAC",6,1,"32:28",9,21,0.429,3,9,0.333,1,2,0.5,0,2,2,6,0,0,1,3,22,13.1,3,34.5
15,15,"2015-11-21","22-067","ATL","@","CLE",-12,1,"16:10",3,8,0.375,1,3,0.333,0,0,NA,1,1,2,2,2,0,2,3,7,3.8,-4,16
16,16,"2015-11-24","22-070","ATL","","BOS",24,0,"19:26",1,7,0.143,0,2,0,4,4,1,0,4,4,4,0,0,5,0,6,0.5,12,14.5
17,17,"2015-11-25","22-071","ATL","@","MIN",-4,0,"14:28",1,8,0.125,0,1,0,0,0,NA,2,1,3,2,2,0,1,0,2,0.9,-1,12.3
18,18,"2015-11-27","22-073","ATL","@","MEM",15,0,"18:47",1,8,0.125,1,5,0.2,4,4,1,0,4,4,4,1,0,1,2,7,5,-14,20
19,19,"2015-11-28","22-074","ATL","@","SAS",-20,0,"17:14",4,7,0.571,0,2,0,1,1,1,1,1,2,6,3,0,1,0,9,12.9,-3,26
20,20,"2015-11-30","22-076","ATL","","OKC",6,0,"16:30",2,6,0.333,1,3,0.333,0,0,NA,0,1,1,2,1,0,1,1,5,2.9,3,11.3
21,21,"2015-12-02","22-078","ATL","","TOR",-10,0,"14:25",4,8,0.5,0,2,0,0,0,NA,1,1,2,4,1,0,2,0,8,6.8,-4,17.5
22,22,"2015-12-04","22-080","ATL","","LAL",13,0,"16:31",2,4,0.5,1,3,0.333,1,2,0.5,0,5,5,2,0,1,2,0,6,5.2,5,16.8
23,23,"2015-12-09","22-085","ATL","@","DAL",3,0,"18:26",5,8,0.625,0,0,NA,1,2,0.5,0,2,2,1,0,0,4,2,11,3.5,3,13
24,24,"2015-12-10","22-086","ATL","@","OKC",-13,0,"18:43",2,8,0.25,0,2,0,3,4,0.75,0,4,4,2,1,1,3,3,7,1.9,-8,17.5
25,25,"2015-12-12","22-088","ATL","","SAS",-25,0,"19:18",2,10,0.2,0,3,0,2,2,1,1,2,3,7,0,0,0,1,6,5.6,0,20.3
26,26,"2015-12-14","22-090","ATL","","MIA",-12,0,"26:13",4,10,0.4,2,5,0.4,3,4,0.75,1,3,4,7,4,0,2,3,13,14.5,0,36.5
27,27,"2015-12-16","22-092","ATL","","PHI",21,0,"23:06",6,12,0.5,2,4,0.5,3,4,0.75,0,0,0,7,3,0,1,2,17,16.7,25,34
28,28,"2015-12-18","22-094","ATL","@","BOS",8,0,"28:19",8,15,0.533,2,4,0.5,4,4,1,0,0,0,5,4,0,0,3,22,21,20,38.5
29,29,"2015-12-20","22-096","ATL","@","ORL",3,0,"20:21",1,3,0.333,0,1,0,1,1,1,0,1,1,3,0,1,4,3,3,-0.8,4,8.8
30,30,"2015-12-21","22-097","ATL","","POR",9,0,"17:21",7,10,0.7,3,4,0.75,1,2,0.5,0,1,1,3,1,0,1,1,18,15.4,11,26.8
31,31,"2015-12-23","22-099","ATL","","DET",7,0,"20:20",5,12,0.417,1,3,0.333,3,4,0.75,1,2,3,5,0,0,3,3,14,7.8,-6,24.3
32,32,"2015-12-26","22-102","ATL","","NYK",19,0,"21:21",4,9,0.444,0,1,0,2,2,1,0,4,4,6,2,0,0,0,10,12.7,24,28
33,33,"2015-12-28","22-104","ATL","@","IND",-6,0,"11:44",2,8,0.25,0,2,0,0,0,NA,0,1,1,1,0,0,2,1,4,-2.2,-12,5.8
36,34,"2016-01-05","22-112","ATL","","NYK",-6,0,"25:11",3,8,0.375,0,2,0,1,3,0.333,0,4,4,8,0,0,3,1,7,5.2,0,22.5
37,35,"2016-01-07","22-114","ATL","@","PHI",28,0,"18:55",5,7,0.714,2,3,0.667,2,2,1,1,3,4,6,2,0,4,4,14,13.3,33,31
38,36,"2016-01-09","22-116","ATL","","CHI",15,0,"21:27",5,11,0.455,2,3,0.667,1,1,1,0,5,5,8,2,1,2,2,13,14.3,18,37.3
39,37,"2016-01-13","22-120","ATL","@","CHO",-23,0,"25:55",3,13,0.231,0,2,0,0,0,NA,1,4,5,6,0,0,2,3,6,1,-7,20.3
40,38,"2016-01-15","22-122","ATL","@","MIL",-7,0,"19:09",6,10,0.6,2,3,0.667,2,2,1,1,4,5,1,0,0,3,1,16,10.6,-4,23.3
